Protein(s)	TotalCount	UniquePeptides	WAN1100427_P1A01	WAN1100427_P1A02	WAN1100427_P1A03	WAN1100427_P1A04	WAN1100427_P1A05	WAN1100427_P1A06	WAN1100427_P1A07	WAN1100427_P1A08	WAN1100427_P1A10	WAN1100427_P1A11	WAN1100427_P1A12	WAN1100427_P1B01	WAN1100427_P1B02	WAN1100427_P1B03	WAN1100427_P1B04	WAN1100427_P1B05	WAN1100427_P1B07	WAN1100427_P1B08	WAN1100427_P1B09	WAN1100427_P1B10	WAN1100427_P1B11	WAN1100427_P1B12	WAN1100427_P1C01	WAN1100427_P1C02	WAN1100427_P1C03	WAN1100427_P1C07	WAN1100427_P1C08	WAN1100427_P1C09	WAN1100427_P1C10	WAN1100427_P1C12	WAN1100427_P1D01	WAN1100427_P1D03	WAN1100427_P1D07	WAN1100427_P1D09	WAN1100427_P1D10	WAN1100427_P1D12	WAN1100427_P1E01	WAN1100427_P1E02	WAN1100427_P1E03	WAN1100427_P1E04	WAN1100427_P1E05	WAN1100427_P1E06	WAN1100427_P1E07	WAN1100427_P1E08	WAN1100427_P1E09	WAN1100427_P1E10	WAN1100427_P1E11	WAN1100427_P1F01	WAN1100427_P1F02	WAN1100427_P1F03	WAN1100427_P1F04	WAN1100427_P1F06	WAN1100427_P1F07	WAN1100427_P1F09	WAN1100427_P1F10	WAN1100427_P1F11	WAN1100427_P1F12	WAN1100427_P1G02	WAN1100427_P1G03	WAN1100427_P1G04	WAN1100427_P1G05	WAN1100427_P1G07	WAN1100427_P1G08	WAN1100427_P1G09	WAN1100427_P1G10	WAN1100427_P1G11	WAN1100427_P1G12	WAN1100427_P1H02	WAN1100427_P1H03	WAN1100427_P1H04	WAN1100427_P1H05	WAN1100427_P1H06	WAN1100427_P1H07	WAN1100427_P1H09	WAN1100427_P1H10	WAN1100427_P1H12	WAN1100427_P2A01	WAN1100427_P2A02	WAN1100427_P2A03	WAN1100427_P2A04	WAN1100427_P2A06	WAN1100427_P2A07	WAN1100427_P2A08	WAN1100427_P2A09	WAN1100427_P2A10	WAN1100427_P2A11	WAN1100427_P2A12	WAN1100427_P2B01	WAN1100427_P2B02	WAN1100427_P2B03	WAN1100427_P2B04	WAN1100427_P2B05	WAN1100427_P2B06	WAN1100427_P2B07	WAN1100427_P2B08	WAN1100427_P2B10	WAN1100427_P2B11	WAN1100429_P1E12	WAN1100429_Decoys	WAN1100504_PSM	WAN1100504_Decoys	WAN1100504_Decoys	WAN110427_Decoys	WAN110427_Decoys	WAN110701_PSM	WAN110701_Decoys	WAN110701_Decoys	WAN110701_Decoys	WAN110701_Decoys
O46002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C43E11.11.2_1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D2045.6_6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q23312	361	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	13	8	8	14	14	13	8	0	13	20	14	14	10	17	17	13	14	9	10	7	8	13	6	11	9	6	1	8	7	1	5	0	4	5	7	0	1	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2	0	3	2	0	0	0	0	0	0	0
O46003	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T07D1.4.1_2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q23315	186	44	0	0	0	0	0	9	0	4	0	0	0	0	13	4	4	3	6	5	0	0	0	3	5	0	0	15	28	56	29	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q21534	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P91340	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NAI5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
