Protein(s)	TotalCount	UniquePeptides	WAN120208_P1A01	WAN120208_P1A05	WAN120208_P1A07	WAN120208_P1A11	WAN120208_P1A12	WAN120208_P1B01	WAN120208_P1B03	WAN120208_P1B05	WAN120208_P1B06	WAN120208_P1B08	WAN120208_P1B10	WAN120208_P1B10	WAN120208_P1B11	WAN120208_P1B12	WAN120208_P1C01	WAN120208_P1C04	WAN120208_P1C06	WAN120220_P1C07	WAN120220_P1C08	WAN120220_P1C09	WAN120220_P1C10	WAN120220_P1C11	WAN120220_P1C12	WAN120220_P1D01	WAN120220_P1D02	WAN120220_P1D03	WAN120220_P1D05	WAN120220_P1D07	WAN120220_P1D08	WAN120220_P1D09	WAN120220_P1D10	WAN120220_P1D11	WAN120220_P1E01	WAN120220_P1E02	WAN120220_P1E03	WAN120220_P1E04	WAN120220_P1E05	WAN120220_P1E07	WAN120220_P1E08	WAN120220_P1E09	WAN120220_P1E10	WAN120220_P1E11	WAN120220_P1E12	WAN120220_P1F01	WAN120220_P1F02	WAN120220_P1F03	WAN120220_P1F04	WAN120220_P1F06	WAN120220_P1F07	WAN120220_P1F08	WAN120220_P1F09	WAN120220_P1F10	WAN120220_P1F11	WAN120220_P1F12	WAN120220_P1G01	WAN120220_P1G02	WAN120220_P1G03	WAN120220_P1G04	WAN120220_P1G05	WAN120220_P1G06	WAN120220_P1G07	WAN120220_P1G09	WAN120220_P1G11	WAN120220_P1H01	WAN120220_P1H03	WAN120220_P1H04	WAN120220_P1H05	WAN120220_P1H06	WAN120220_P1H08	WAN120220_P1H10	WAN120220_P1H11	WAN120220_P1H12	WAN120220_P2A01	WAN120220_P2A02	WAN120220_P2A03	WAN120220_P2A04	WAN120220_P2A05	WAN120220_P2A06	WAN120220_P2A07	WAN120220_P2A08	WAN120220_P2A09	WAN120220_P2A10	WAN120220_P2A11	WAN120220_P2A12	WAN120220_P2B01	WAN120220_P2B02	WAN120220_P2B03	WAN120220_P2B05	WAN120220_P2B07	WAN120220_P2B09
Q23312	198	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	28	8	108	20	6	16	4	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Q20641	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B2FDA8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q23315	29	7	0	0	0	0	4	0	3	0	2	1	0	0	0	0	0	4	0	4	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Q9GYR4_REVERSED	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
W02H5.1_1_REVERSED	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q21534	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P91340	18	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P54811	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y66D12A.1_1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
