Protein number	Spectral Counts
1532	1
464	2
207	3
158	4
118	5
95	6
81	7
79	8
78	9
61	10
49	11
42	12
36	13
38	14
40	15
38	16
35	17
33	18
30	19
29	20
20	21
20	22
28	23
18	24
26	25
18	26
24	27
22	28
16	29
15	30
17	31
9	32
18	33
5	34
25	35
21	36
19	37
13	38
16	39
9	40
22	41
13	42
18	43
10	44
15	45
8	46
7	47
11	48
5	49
15	50
10	51
12	52
6	53
8	54
5	55
15	56
4	57
10	58
11	59
3	60
7	61
12	62
10	63
15	64
7	65
7	66
4	67
14	68
8	69
9	70
11	71
6	72
8	73
8	74
4	75
12	76
7	77
8	78
7	79
5	80
8	81
8	82
7	83
5	84
5	85
6	86
6	87
4	88
5	89
3	90
2	91
4	92
5	93
9	94
5	95
2	96
5	97
8	98
3	99
3	100
3	101
4	102
3	103
5	104
2	105
5	106
2	107
3	108
2	109
2	110
3	111
2	112
2	113
5	114
2	115
6	116
5	117
1	118
5	119
4	120
1	121
2	122
2	123
4	124
3	125
1	126
2	127
2	128
3	129
3	130
3	131
2	132
6	133
5	134
2	135
2	136
1	137
4	138
4	139
2	140
4	141
2	142
4	143
1	145
2	146
1	147
1	148
1	149
3	150
3	151
1	152
1	153
1	154
1	155
1	156
1	157
1	158
2	159
4	160
2	161
3	162
1	164
2	165
2	166
2	168
2	169
1	170
1	171
2	172
2	173
2	174
2	175
2	176
1	177
2	179
2	180
1	181
1	183
1	184
2	185
1	186
1	188
5	189
1	190
2	191
2	193
1	194
1	195
2	196
2	197
3	198
3	199
1	200
1	201
2	203
2	204
1	205
1	207
1	208
1	209
1	210
2	211
1	212
3	213
1	214
1	215
2	218
1	221
2	224
1	226
3	227
3	228
1	230
1	231
2	232
1	233
2	235
1	236
1	237
1	238
2	241
1	244
1	245
1	246
1	247
1	249
2	250
2	251
1	253
2	255
1	258
1	259
3	260
3	261
1	267
1	269
1	271
3	272
1	274
1	275
1	278
1	279
1	281
1	282
2	285
1	288
1	289
1	292
1	293
1	294
1	296
2	297
2	298
1	301
1	304
2	305
1	308
1	310
1	311
1	312
1	313
1	314
1	315
1	317
1	319
2	321
1	324
2	325
1	326
1	328
1	329
2	330
3	337
1	339
1	342
1	344
1	347
3	349
1	355
1	356
1	357
1	359
1	364
2	368
2	370
1	374
2	380
1	381
2	382
1	383
1	387
1	392
1	394
1	407
1	409
1	416
1	424
2	425
1	432
1	435
1	436
2	437
1	453
1	455
1	458
1	465
1	470
1	473
1	488
1	490
1	491
1	504
1	505
1	513
1	522
1	534
1	536
1	537
1	546
1	547
1	553
1	555
1	556
1	580
2	581
3	584
1	587
1	591
1	592
1	593
2	602
1	651
1	655
1	667
1	669
1	671
1	675
1	678
1	708
1	716
1	726
1	732
1	733
1	735
1	749
1	780
1	796
1	804
1	822
1	832
1	840
1	862
1	872
2	920
1	929
1	935
1	955
1	972
1	981
1	1019
1	1094
1	1105
1	1136
1	1281
2	1472
1	1554
1	1599
1	1822
1	2052
1	2115
1	2822
1	3161
1	3380
1	3719
1	9555
1	39396
