protein	count
O60841	1
O14733	1
P40123	1
Q9Y3A5	4
Q9BTC0	7
Q9UHD9	9
P17174	5
P35573	2
Q14CN4	2
P62263	15
Q96FQ6	1
Q8IYB3	2
Q9UBQ0	8
P30405	1
P15259	7
Q9ULA0	1
P40222	8
P20265	1
Q9BZV1	1
Q96P11	1
Q68CQ4	2
Q9UQR0	4
O94760	10
O95630	2
Q92973	17
Q08257	3
Q9UKJ3	1
P49674	2
P49720	1
P28347	1
P40818	2
P80723	7
Q96KP1	4
Q14151	4
Q3YEC7	2
Q9BV38	11
Q9NSV4	5
O43491	5
O96033	1
O60869	4
Q9H5V9	6
Q9UMR2	2
Q8WZA9	2
P60866	3
P48382	3
Q96KP4	9
P08621	21
Q9UP83	1
O94822	2
O15514	1
Q92572	7
P63173	1
P49840	3
Q14258	2
Q15436	4
P51948	2
P55795	19
Q8IWP9	1
Q9BWS9	3
P33991	7
Q9BZL1	11
Q13547	17
Q13330	9
P67936	31
P41250	2
Q6NSI4	3
Q04760	18
P15104	3
Q9UBV8	4
Q9NZU5	5
P25787	3
Q99729	36
Q96I24	10
O75367	1
O95602	1
Q00403	2
P29218	3
Q13158	10
Q9Y3A3	1
Q9H2J4	3
O43583	2
P50395	25
Q16513	1
Q01469	1
P00568	12
Q02880	8
Q8N3C0	2
P15924	6
P26196	2
P80303	2
Q15287	12
Q9UJ70	1
P46109	17
O43488	15
Q9NWV4	4
Q9P0V9	10
Q9UNE7	2
Q9Y6E0	3
CYC_HUMAN	12
P42574	4
Q9UBQ5	3
P41208	2
Q7LBR1	3
Q99459	7
O43768	6
P62140	5
Q9Y6B6	1
Q96JJ3	1
P00558	7
P55081	2
P18754	15
P22087	13
O94888	1
P26641	50
Q8NFW8	7
Q9Y6V7	1
Q9NPA8	1
Q7Z4H3	12
Q9Y263	21
P00505	2
Q9NVD7	6
K1C9_HUMAN	26
Q9UBD5	5
P31350	3
Q8IYI6	3
P27824	1
Q6ZSJ8	3
P68363	74
P61970	13
P08670	28
P23284	2
Q9NXF1	4
Q13895	4
P61353	1
Q8NE71	5
Q15819	8
P10599	20
Q08752	9
O95486	3
P06744	5
Q96C90	2
Q9Y2W2	5
P82979	6
P60174	8
Q96Q83	2
Q14204	22
Q8WVY7	2
O14757	3
Q9BY44	2
Q9H446	1
