protein	count
Q8N7H5	31
O43865; P23526; Q96HN2	1
Q13085	1
Q9Y224	15
P35250	27
Q86TI2	6
Q6SJ93	2
O75828	2
NM_005847_1; NM_152685_1	1
P51991	42
Q9Y5B9	131
P19525	3
Q96AQ9	1
P35249	37
O00487	10
Q9UP83	2
K22E_HUMAN; O95678; P02538; P04259; P12036; P13647; P35908; P48668; Q01546; Q7RTS7; Q86Y46	11
Q2TAL6	1
P22392	10
Q99717	1
Q13867	4
Q9UGI8	30
Q9UJU6	16
P36507	13
P0DME0; Q01105	25
Q96BP3	19
O43660	18
P40855	2
Q8TDI0	3
O94880	3
P20585	15
O94804; Q9H2G2	1
Q8WWH5	1
O14737	11
Q16527	4
Q92688	14
Q92973	17
Q9BUL5	8
Q9Y6G9	17
Q86VM9	24
P02533; P08779; P13646; P19012; P35900; Q04695	5
P27361	2
Q15369	9
Q5VZK9	1
P62633	26
K2M2_SHEEP; KRHB1_HUMAN; KRHB3_HUMAN; KRHB5_HUMAN; KRHB6_HUMAN; O43790; P78385; P78386; Q14533	1
Q15014; Q9UBU8	1
Q9BZJ0	1
O15372	27
P78317	1
P15311; P26038; P35241	65
P56856	1
NM_181806_3	1
NM_001098414_2; NM_198484_3	1
P42785	1
O75663	2
NM_024099_3	1
P49137	2
Q9H211	2
Q9P289; Q9Y6E0	5
Q9UKD1	1
Q05682	10
Q9NZN4	2
O95402	1
P29218	5
Q08945	116
Q6PIJ6	9
Q4KMP7	1
Q14166	10
Q9Y4X0	3
P60520	1
K2C1_HUMAN; P04264; P05787; P08729; P14136; P19013; Q6KB66	1
A6NNY8; Q70EK9; Q9UPT9	1
P49773	13
Q3MII6	1
Q9Y3C0	2
NM_001383_1; Q8WZ82	6
Q9Y5A9	1
P14625	18
Q8NHZ8	17
P09417	5
NM_001460_1	1
Q9P2J5	11
NM_015229_5	3
Q9BQC3	7
P14735	19
P04350; P07437; P68371; Q13885; Q9BVA1	28
P40938	51
Q13630	1
Q9NZZ3	2
O75145; O75334; Q13136	1
Q13185	37
Q99848	4
O43150; Q00535; Q9ULH1	1
Q86WQ0	12
O43390	43
O60701	6
Q9UQ80	29
K22E_HUMAN; O95678; P02538; P04259; P13647; P35908; P48668; Q5XKE5	12
Q96KP1	8
O15371	29
O95602	9
P62487	1
Q13042	36
Q9NRX4	13
P05114	17
O00410	15
P11441	2
Q06124	44
O00429	111
Q9Y2A7	6
P50452; P50453	2
P52272	30
P48729; Q8N752	4
P28070	8
Q12899	1
P47755; P52907	2
P09884	32
Q15004	8
Q9P2D7	3
Q96SI1	2
P49959	26
P49770	6
Q9NZ08	2
P46940	149
Q15149	11
P09874	156
Q16204	3
Q9NQS1	1
Q9Y5X3	2
A6NNZ2; P04350; P07437; P68371; Q13509; Q13885; Q3ZCM7; Q9BUF5; Q9BVA1; Q9H4B7	31
O15116	1
Q14194; Q16555	1
P07992	2
O43913	8
Q14141	11
Q7Z794	3
Q9BZZ5	27
Q9GZN1	2
Q86U86	49
O60361; P22392	30
P08107; P17066	38
Q8TEQ6	2
P25786	27
O00203	3
Q13303	11
P68400	21
P62841	3
Q8TDP1	5
P15311	54
O15405; O94842; O94900	4
Q01780	20
Q9BSJ2	8
O43314	6
NM_000441_1	1
P31949	9
P67936	17
P35520	6
O15143	20
Q08J23	77
Q7Z6Z7	134
O00139	27
Q9UJY4	1
O60936	1
Q96E14	1
Q8WVB6	40
Q96CP2	11
P57076	16
Q5VW32	5
Q9NQR4	5
P51003; Q9BWT3	1
O60870	1
P10589; P24468	1
P20042	37
P17655	4
