protein	count
Q5T1M5	3
P55265	1
P62318	5
Q9UFC0	4
P05556	1
Q92759	3
P51948	3
P60866	6
P35606	2
Q9NV56	3
P31942	5
P53621	4
Q9H583	2
P11908	1
Q9BSD7	1
Q14764	13
P61326	1
Q9BXB5	1
P35908	2
Q16555	1
Q9H9A6	2
Q16666	6
Q9BV86	2
Q9BW85	1
Q8NFC6	8
P09382	19
P10412	4
O43707	21
P15121	1
Q9P013	2
Q16531	15
P31350	2
O00148	7
O00764	1
O75792	2
Q9H1B7	4
Q9P2J5	2
NQO1_HUMAN	3
Q15797	1
KRHB1_HUMAN	1
Q6NZY4	3
O14497	4
Q96EY4	1
P78371	11
Q9Y2W2	8
Q86UV5	1
Q8WUB8	1
Q13151	1
P10586	2
Q9NW82	2
O14744	1
O95456	2
Q9Y2A7	1
Q9H1A4	8
Q8IV38	1
Q9NWY4	1
P49005	2
P49903	1
Q9P206	1
Q9UQ13	1
P18669	21
Q96RE7	1
Q6IN85	3
P18206	3
Q14019	1
P22087	2
Q9Y6X9	1
O75351	1
P41236	2
Q07157	2
P80723	16
K1H4_HUMAN	1
Q16527	1
Q9H1I8	1
Q96HC4	4
O15143	4
O60493	1
Q9UKM9	2
P59998	3
P62829	1
P57076	4
Q02790	3
Q9BTC0	3
P26641	44
Q9H2P0	6
Q9H270	1
Q16513	3
Q9P258	16
P46781	5
P47897	3
O15347	3
P27694	2
Q9NVM9	3
O00139	4
Q9NR12	8
P63208	5
O15372	9
Q9H5V9	1
Q8IX12	2
Q15723	1
Q9NQT4	2
Q9UKK9	1
Q13428	10
Q9H7Z3	1
Q8WZA0	1
Q92783	1
P48637	2
Q15046	4
P68104	70
P61586	2
P28066	6
Q04323	1
O00499	2
Q6P2E9	8
Q15291	1
P42330	2
Q96FX7	1
Q13177	2
O76075	1
O75694	3
Q9BXS5	2
Q9UBW8	4
Q9NQG5	1
Q8IYD1	6
Q9BQ61	2
P53999	27
Q9H6F5	2
Q9UKD2	1
Q9NQ29	1
P49770	2
P50990	8
Q92905	2
P48200	2
P36915	1
P62266	8
Q15042	1
P28070	3
O14686	1
P62158	2
P17812	1
Q9H9T3	2
P25098	1
Q13492	2
Q86V81	2
Q13347	10
P13798	1
P58546	2
P39019	3
Q9NZL4	1
Q8N8S7	3
Q8NHQ9	1
Q8WWY3	1
P80217	1
Q9Y6N7	1
P52564	6
Q9UDY4	1
P30086	4
P04183	3
O43852	1
Q9H6S3	1
Q9NVH2	1
Q8IYB3	10
P30260	7
P48643	7
P16949	15
