	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q8WXA9				59.34501049295324	88.39	10.24	165.36471135095118					Single Protein		Q8WXA9	3	4	4	3	4	3	3	5	100.0	Confident
2	Q9UKV3				151.77079068994243	77.11	0.89	66.66554917762252					Single Protein		Q9UKV3	1	3	3	1	3	1	2	4	100.0	Doubtful
3	P68104				50.10910826932214	60.61	28.14	766.0448160803772	Oxidation of M(M276, M404, M410)	Oxidation of M(3)			Related Proteins	Q5VTE0	P68104, Q5VTE0	9	9	9	9	9	9	20	20	100.0	Confident
4	P31943				49.19840896001632	71.71	2.23	216.5739097615277					Related Proteins	P52597, P55795	P31943, P52597, P55795	1	1	1	1	1	1	2	2	100.0	Doubtful
5	Q9BTT0				30.67384802276165	45.15	5.97	228.8097238723485					Single Protein		Q9BTT0	1	1	1	1	1	1	1	1	100.0	Doubtful
6	Q14204				532.0718395312898	83.49	0.32	9.429411204983861					Single Protein		Q14204	1	1	1	1	1	1	1	1	100.0	Doubtful
7	P21127				92.65030386123267	82.01	19.75	328.8213046603132	Oxidation of M(M674, M700)	Oxidation of M(2)			Related Proteins	Q9UQ88	P21127, Q9UQ88	13	16	16	13	16	13	22	27	100.0	Confident
8	P22314				117.77432920492443	73.44	1.42	44.26155314251987					Single Protein		P22314	1	1	1	1	1	1	1	1	100.0	Doubtful
9	P68363				50.119604615111854	68.51	23.06	409.10127823099083					Related Proteins	P68366	P68363, P68366	10	11	0	0	0	0	20	23	100.0	Confident
10	Q9NPF5				52.95979608595446	86.72	7.71	264.396489681988					Single Protein		Q9NPF5	3	3	3	3	3	3	4	4	100.0	Confident
11	P43243				94.56479778685481	75.56	11.92	197.05899537925643					Single Protein		P43243	7	10	10	7	10	7	10	14	100.0	Confident
12	P61978				50.94440274865072	77.11	2.59	106.0191652497531					Single Protein		P61978	1	1	1	1	1	1	1	1	100.0	Doubtful
13	Q9BV38				47.37500670859233	57.18	13.66	630.320316535113					Single Protein		Q9BV38	5	6	6	5	6	5	10	11	100.0	Confident
14	Q7Z4V5				74.27222971678142	88.97	28.02	441.89118234550165	Oxidation of M(M126, M459)	Oxidation of M(2)			Single Protein		Q7Z4V5	21	26	24	19	26	21	45	55	100.0	Confident
15	O95983				32.82332978686719	76.98	5.15	321.42318353496574					Single Protein		O95983	1	3	3	1	3	1	2	4	100.0	Doubtful
16	Q07955				27.727814961380233	100.0	9.68	408.2592855383637					Single Protein		Q07955	2	2	2	2	2	2	3	3	100.0	Confident
17	Q92541				80.26460941650468	81.83	3.52	123.09824050275284					Single Protein		Q92541	2	4	4	2	4	2	3	5	100.0	Confident
18	P27348				27.746766754682028	89.39	18.37	468.35949600809295					Single Protein		P27348	3	5	4	3	4	3	4	6	100.0	Confident
19	Q9UK58				59.59719161427358	80.61	1.9	89.9984913897904					Single Protein		Q9UK58	1	2	2	1	2	1	2	2	100.0	Doubtful
20	O95218				37.3820216872587	100.0	4.85	122.72521553153238					Single Protein		O95218	1	1	1	1	1	1	1	1	100.0	Doubtful
21	Q9Y4W2				83.01279738797442	71.39	1.23	64.48936484937211					Single Protein		Q9Y4W2	1	1	1	1	1	1	1	1	100.0	Doubtful
22	B5ME19				105.40676263426224	69.8	1.09	105.32983387621763					Related Proteins	Q99613	B5ME19, Q99613	1	4	4	1	4	1	2	5	100.0	Doubtful
23	P52272				77.46431371933258	84.66	12.47	373.53742785568346	Oxidation of M(M592, M596)	Oxidation of M(2)			Single Protein		P52272	6	8	8	6	8	6	10	13	100.0	Confident
24	Q14974				97.1080146943779	59.13	7.76	284.4433925195717	Oxidation of M(M842)	Oxidation of M(1)			Single Protein		Q14974	6	7	7	6	7	6	10	10	100.0	Confident
25	Q14978				73.55963598521475	95.99	2.86	144.84735738700172					Single Protein		Q14978	2	3	3	2	3	2	3	5	100.0	Confident
26	Q14980				238.11522374594037	93.05	4.02	63.12607286960458					Single Protein		Q14980	6	8	8	6	8	6	8	10	100.0	Confident
27	O75643				244.35261769115783	76.03	0.7	21.060489404787152					Single Protein		O75643	1	2	2	1	2	1	1	2	100.0	Doubtful
28	P81605				11.27682755014452	63.64	10.0	1157.1234607258766					Single Protein		P81605	1	1	1	1	1	1	2	2	100.0	Doubtful
29	Q6NYC1				46.43314226606706	71.71	7.44	420.4081777723773					Single Protein		Q6NYC1	2	2	2	2	2	2	4	4	100.0	Confident
30	Q9Y5B9				119.83841950983168	77.84	20.25	255.01583093571344	Oxidation of M(M183, M203, M330, M352)	Oxidation of M(4)			Single Protein		Q9Y5B9	21	27	27	21	27	21	38	47	100.0	Confident
31	P10412				21.85200430480146	100.0	22.83	543.0691294499541					Single Protein		P10412	11	12	2	2	2	2	24	25	100.0	Confident
32	P08107				70.00903707472403	70.2	7.18	145.72294590315803					Single Protein		P08107	4	4	3	3	3	3	5	5	100.0	Confident
33	P08238				83.21210205664808	82.46	1.66	43.26850547586077					Related Proteins	P14625, Q58FF6, Q58FF7, Q58FF8	P08238, P14625, Q58FF6, Q58FF7, Q58FF8	1	1	0	0	1	1	2	2	100.0	Doubtful
34	Q13547				55.067726781189066	75.52	2.49	96.88832805120975					Related Proteins	Q92769	Q13547, Q92769	1	2	0	0	2	1	2	3	100.0	Doubtful
35	P62244				14.82996742629307	100.0	39.23	1318.8240469042366	Oxidation of M(M4, M111)	Oxidation of M(2)			Single Protein		P62244	6	6	6	6	6	6	12	12	100.0	Confident
36	P67936				28.504491022601155	100.0	18.15	386.48545697631766	Oxidation of M(M105, M110)	Oxidation of M(2)			Single Protein		P67936	4	5	4	3	4	3	5	7	100.0	Confident
37	P62249				16.43504092989139	100.0	25.34	947.7580856972792					Single Protein		P62249	4	4	4	4	4	4	6	7	100.0	Confident
38	P62258				29.155415999021855	100.0	16.86	344.1118788433163	Oxidation of M(M1)	Oxidation of M(1)			Single Protein		P62258	3	5	4	3	4	3	4	6	100.0	Confident
39	P62266				15.797717185215934	81.12	21.68	1109.247140381158					Single Protein		P62266	4	4	4	4	4	4	7	7	100.0	Confident
40	P62263				16.262532812805947	73.51	7.28	364.8587488775287					Single Protein		P62263	1	1	1	1	1	1	1	1	100.0	Doubtful
41	P04350				49.5539008224435	54.5	51.58	398.37531308396376	Oxidation of M(M147, M164, M257, M267, M293, M363, M388)	Oxidation of M(7)			Single Protein		P04350	23	24	1	1	1	1	48	52	100.0	Confident
42	Q8WVC0				75.35929358700905	74.92	13.51	234.77867319075753					Single Protein		Q8WVC0	6	8	8	6	8	6	9	12	100.0	Confident
43	P29692				31.10278320777167	73.67	24.91	773.4745790261344	Oxidation of M(M135)	Oxidation of M(1)			Single Protein		P29692	5	6	5	5	5	5	10	11	100.0	Confident
44	P07437				49.63897134453148	54.5	61.04	771.0005396723542	Oxidation of M(M73, M147, M164, M257, M267, M330, M363, M388)	Oxidation of M(8)			Single Protein		P07437	25	25	4	4	4	4	60	63	100.0	Confident
45	P15880				31.304595167946374	100.0	36.86	765.7211745267825	Oxidation of M(M215, M216)	Oxidation of M(2)			Single Protein		P15880	11	11	11	11	11	11	23	23	100.0	Confident
46	P09132				16.14543155066998	82.64	17.36	281.245285593095					Single Protein		P09132	1	1	1	1	1	1	1	1	100.0	Doubtful
47	P68371				49.799001993036754	54.38	60.9	609.7274705541242	Oxidation of M(M147, M164, M257, M267, M293, M330, M363, M388)	Oxidation of M(8)			Single Protein		P68371	26	27	2	2	2	2	60	64	100.0	Confident
48	Q9GZN1				45.780761809717006	65.91	7.58	194.70827464137346					Single Protein		Q9GZN1	2	3	3	2	3	2	2	3	100.0	Doubtful
49	O43719				85.80056134063028	84.24	5.56	180.975227251209					Single Protein		O43719	4	8	8	4	8	4	5	12	100.0	Confident
50	P19338				76.568358644663	79.15	1.41	68.52677009374904					Single Protein		P19338	1	1	1	1	1	1	1	1	100.0	Doubtful
51	P08670				53.61907865427834	92.7	2.15	93.74842853103168					Single Protein		P08670	1	2	2	1	2	1	1	2	100.0	Doubtful
52	Q6ZRS2				343.34284332792527	42.69	2.57	68.62097249509276					Single Protein		Q6ZRS2	6	8	8	6	8	6	7	10	100.0	Confident
53	Q9UHR5				33.84966976838422	77.6	18.51	477.29325454627343					Single Protein		Q9UHR5	5	6	6	5	6	5	7	8	100.0	Confident
54	P62316				13.518226785859794	100.0	15.25	686.4291716170455					Single Protein		P62316	1	1	1	1	1	1	2	2	100.0	Doubtful
55	Q9Y383				46.485591345862105	100.0	18.11	377.0982706829866	Oxidation of M(M10, M15)	Oxidation of M(2)			Single Protein		Q9Y383	6	8	8	6	8	6	10	13	100.0	Confident
56	Q9Y2W1				108.6010168388624	94.76	1.36	44.750631077796335					Single Protein		Q9Y2W1	1	3	3	1	3	1	1	3	100.0	Doubtful
57	P26641				50.08714232857586	78.95	7.78	272.0357422361423					Single Protein		P26641	3	3	3	3	3	3	5	5	100.0	Confident
58	Q9UQ35				299.4380101693397	87.79	1.13	24.06853474172287					Single Protein		Q9UQ35	2	5	5	2	5	2	3	6	100.0	Confident
59	Q9NU22				632.4201560754761	73.8	0.86	31.001568015272277					Single Protein		Q9NU22	3	6	6	3	6	3	6	9	100.0	Confident
60	P16403				21.35174752800027	100.0	23.47	491.2961283150913					Single Protein		P16403	10	11	1	1	1	1	23	24	100.0	Confident
61	Q6PD62				133.41987069121302	80.31	4.94	113.83127329383245	Oxidation of M(M890)	Oxidation of M(1)			Single Protein		Q6PD62	4	8	8	4	8	4	5	10	100.0	Confident
62	Q16576				47.79017950716614	44.0	5.88	737.382597521392					Single Protein		Q16576	2	2	1	1	1	1	5	5	100.0	Confident
63	P60709				41.709730139029176	76.8	37.33	633.1068588555369	Oxidation of M(M44, M47)	Oxidation of M(2)			Related Proteins	P63261	P60709, P63261	13	13	5	5	5	5	21	22	100.0	Confident
64	P07477				26.54108894082115	57.49	4.05	588.6529233343849	Oxidation of M(M109)	Oxidation of M(1)			Single Protein		P07477	2	2	2	2	2	2	3	4	97.03703703703704	Doubtful
65	Q08945				81.02442027045807	78.42	24.54	342.13374478153895	Oxidation of M(M306)	Oxidation of M(1)			Single Protein		Q08945	16	19	19	16	19	16	26	31	100.0	Confident
