	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	O45431_REVERSED	Uncharacterized protein (O45431_REVERSED_CAEEL)-REVERSED			40.580540326003735	86.08	0.0	0.0				Single Protein		O45431_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
2	Q18238_REVERSED	Uncharacterized protein (Q18238_REVERSED_CAEEL)-REVERSED			18.86437509101302	43.62	0.0	0.0				Single Protein		Q18238_REVERSED	0	2	1	0	1	0	2	0.0	1	Doubtful
3	ZK546.17.1_3	ref_frame-3|ZK546.17alt_frame-2			8.624240908326446	100.0	0.0	0.0				Single Protein		ZK546.17.1_3	0	1	1	0	1	0	2	0.0	0	Doubtful
4	G5EF07	BTAF (TBP-associated factor) homolog (G5EF07_CAEEL)	btf-1	II	185.71621146980925	78.47	0.0	0.0				Single Protein		G5EF07	0	1	1	0	1	0	1	0.0	0	Doubtful
5	G5EF06	LIN-46 (G5EF06_CAEEL)	lin-46	V	42.55712336848408	60.1	0.0	0.0				Single Protein		G5EF06	0	1	1	0	1	0	1	0.0	0	Doubtful
6	F43G6.5_3	ref_frame-1|F43G6.5alt_frame-3			4.81633996606734	100.0	0.0	0.0				Single Protein		F43G6.5_3	0	2	2	0	2	0	2	0.0	0	Doubtful
7	T01B11.7.1_2	ref_frame-2|T01B11.7alt_frame-1			6.777090182869901	100.0	0.0	0.0				Single Protein		T01B11.7.1_2	0	1	1	0	1	0	1	0.0	0	Doubtful
8	T04G9.1_1	ref_frame-2|T04G9.1alt_frame-1			6.5771614906099	100.0	0.0	0.0				Single Protein		T04G9.1_1	0	1	1	0	1	0	1	0.0	0	Doubtful
9	Q8MXR8	Uncharacterized protein (Q8MXR8_CAEEL)	CELE_Y73B3A.18		23.24858066503756	100.0	15.58	576.2896501775681				Related Proteins	Q95XE4	Q8MXR8, Q95XE4	4	6	1	0	1	10	13	0.0	0	Doubtful
10	Q9NAA2_REVERSED	Uncharacterized protein (Q9NAA2_REVERSED_CAEEL)-REVERSED			36.85694962291344	51.76	0.0	0.0				Single Protein		Q9NAA2_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
11	Q9U2C2	Yeast MCM (Licensing factor) related (Q9U2C2_CAEEL)	mcm-10	III	76.00488773533279	77.42	0.0	0.0				Single Protein		Q9U2C2	0	1	1	0	1	0	1	0.0	0	Doubtful
12	F52C12.1.1_3_REVERSED	ref_frame-1|F52C12.1alt_frame-3-REVERSED			5.355646346271131	100.0	0.0	0.0				Single Protein		F52C12.1.1_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
13	Y38C1BA.3.2_1_REVERSED	ref_frame-1|Y38C1BA.3alt_frame-2-REVERSED			23.232107944329368	54.31	0.0	0.0				Single Protein		Y38C1BA.3.2_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
14	ZK617.1e.1_22	ref_frame-1|ZK617.1alt_frame-2			37.42378376707574	76.0	0.0	0.0				Single Protein		ZK617.1e.1_22	0	1	1	0	1	0	1	0.0	0	Doubtful
15	Q9N5V6_REVERSED	Zinc finger putative Transcription Factor family (Q9N5V6_REVERSED_CAEEL)-REVERSED			38.404211842479974	69.05	0.0	0.0				Related Proteins	V6CLJ4_REVERSED, V6CLN7_REVERSED, V6CLP3_REVERSED	Q9N5V6_REVERSED, V6CLJ4_REVERSED, V6CLN7_REVERSED, V6CLP3_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
16	Q22627	CUTiclin-Like (Q22627_CAEEL)	cutl-15	II	42.89344377453064	50.39	0.0	0.0				Single Protein		Q22627	0	1	1	0	1	0	1	0.0	0	Doubtful
17	Q09261_REVERSED	28S ribosomal protein S31, mitochondrial (RT31_CAEEL)-REVERSED			43.146270993135566	72.58	0.0	0.0				Single Protein		Q09261_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
18	C6KRI9_REVERSED	Uncharacterized protein (C6KRI9_REVERSED_CAEEL)-REVERSED			263.9990871533381	81.0	0.0	0.0				Related Proteins	Q22847_REVERSED, X5M5W2_REVERSED, X5M900_REVERSED	C6KRI9_REVERSED, Q22847_REVERSED, X5M5W2_REVERSED, X5M900_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
19	Q22629	DystroGlycaN (Q22629_CAEEL)	dgn-1	X	65.60635385648386	69.35	0.0	0.0				Single Protein		Q22629	0	1	1	0	1	0	1	0.0	0	Doubtful
20	Q9XXR9_REVERSED	PaTched Related family (Q9XXR9_REVERSED_CAEEL)-REVERSED			112.18415683802046	44.17	0.0	0.0				Single Protein		Q9XXR9_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
21	F26H11.2b_6_REVERSED	ref_frame-1|F26H11.2alt_frame-3-REVERSED			5.400381628216941	100.0	0.0	0.0				Single Protein		F26H11.2b_6_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
22	T22B11.4b_2	ref_frame-2|T22B11.4alt_frame-3			7.977125516779816	70.42	0.0	0.0				Single Protein		T22B11.4b_2	0	1	1	0	1	0	1	0.0	0	Doubtful
23	C17E7.4_3	ref_frame-1|C17E7.4alt_frame-2			15.37017175038923	79.41	0.0	0.0				Single Protein		C17E7.4_3	0	1	1	0	1	0	1	0.0	0	Doubtful
24	F07A5.5_2_REVERSED	ref_frame-1|F07A5.5alt_frame-2-REVERSED			7.354029872507986	54.1	0.0	0.0				Single Protein		F07A5.5_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
25	P48162	60S ribosomal protein L23a 1 (R23A1_CAEEL)	rpl-25.1	X	16.686265661204988	100.0	14.29	780.1472135056874				Single Protein		P48162	2	2	2	2	2	3	3	100.0	0	Confident
26	G5EEN6	Uncharacterized protein (G5EEN6_CAEEL)	rad-54	I	92.32507275910883	83.25	0.0	0.0				Single Protein		G5EEN6	0	2	2	0	2	0	2	0.0	0	Doubtful
27	O62055_REVERSED	Uncharacterized protein (O62055_REVERSED_CAEEL)-REVERSED			181.18771854507327	66.08	0.0	0.0				Single Protein		O62055_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
28	P48166	Ribosomal protein rpl-41 (RL44_CAEEL)	rpl-41	II	12.358713545584092	100.0	21.9	2140.7239538596064				Single Protein		P48166	5	6	6	5	6	11	12	100.0	0	Confident
29	Q10655	Transcription factor elt-2 (ELT2_CAEEL)	elt-2	X	47.08649762558481	43.65	0.0	0.0				Single Protein		Q10655	0	1	1	0	1	0	1	0.0	0	Doubtful
30	T19A6.2b.2_3_REVERSED	ref_frame-1|T19A6.2alt_frame-2-REVERSED			5.3367914453267815	100.0	0.0	0.0				Single Protein		T19A6.2b.2_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
31	G5EEN8	t-SNARE protein aex-4 (AEX4_CAEEL)	aex-4	X	27.080827500675987	75.64	0.0	0.0				Single Protein		G5EEN8	0	1	1	0	1	0	1	0.0	0	Doubtful
