	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	O14556				44.47278994794948	74.02	5.88	194.41449054620045					Single Protein		O14556	2	3	1	1	1	1	10	11	100.0	Confident
2	P54819				26.460771885631072	100.0	5.44	67.51632935286457					Single Protein		P54819	1	4	4	1	4	1	3	10	100.0	Doubtful
3	P31150				50.550142699300075	85.23	4.47	19.775003327615977					Related Proteins	P50395	P31150, P50395	1	2	0	0	2	1	3	3	100.0	Doubtful
4	Q5VW32				46.44665015773616	84.18	5.84	93.27400413488229					Single Protein		Q5VW32	1	1	1	1	1	1	2	2	100.0	Doubtful
5	P17858				84.96415970347064	69.74	2.31	25.613337643388313					Single Protein		P17858	1	1	1	1	1	1	1	1	100.0	Doubtful
6	P36952				42.073395916909256	93.07	20.27	395.8797466162097					Single Protein		P36952	6	8	8	6	8	6	17	29	100.0	Confident
7	P00966				46.50096354242852	91.5	11.89	274.6469958180299					Single Protein		P00966	4	5	5	4	5	4	12	14	100.0	Confident
8	Q96AE4				67.5184714874304	65.37	23.6	867.6720337258132					Single Protein		Q96AE4	10	13	12	9	12	9	56	65	100.0	Confident
9	Q14914				35.84672895068976	81.16	3.34	55.073046810015825					Single Protein		Q14914	1	2	2	1	2	1	1	3	100.0	Doubtful
10	P17931				26.136053217437922	48.8	19.6	1234.478896255109					Single Protein		P17931	4	4	4	4	4	4	14	14	100.0	Confident
11	A6NHG4				14.186267249157597	71.64	8.96	336.1750565694716					Related Proteins	P30046	A6NHG4, P30046	1	1	1	1	1	1	2	2	100.0	Doubtful
12	P35754				11.768179596871672	72.64	11.32	152.23021429560978					Single Protein		P35754	1	2	2	1	2	1	1	2	100.0	Doubtful
13	Q9Y617				40.39681092152717	82.7	14.32	219.01704284286538					Single Protein		Q9Y617	5	8	8	5	8	5	16	17	100.0	Confident
14	P40261				29.55506002205863	73.48	12.12	235.66911182189762					Single Protein		P40261	3	5	5	3	5	3	7	8	100.0	Confident
15	NQO1_HUMAN				30.848008225426106	67.88	11.31	187.63258971319345					Related Proteins	P15559	NQO1_HUMAN, P15559	2	3	3	2	3	2	3	4	100.0	Doubtful
16	P31949				11.732825092726639	70.48	23.81	3707.011434603903					Single Protein		P31949	2	2	2	2	2	2	21	23	100.0	Confident
17	P22102				107.69899963821013	74.65	2.48	233.18501033720574					Single Protein		P22102	2	2	2	2	2	2	13	15	100.0	Confident
18	TRY1_BOVIN				25.408419297583514	71.6	8.23	242.04604073001957					Single Protein		TRY1_BOVIN	2	2	2	2	2	2	4	4	100.0	Confident
19	P15121				35.83049371410672	79.43	5.7	57.42492069514106					Single Protein		P15121	1	1	1	1	1	1	1	1	100.0	Doubtful
20	P40121				38.47447311669611	64.37	10.63	396.7967880819993					Single Protein		P40121	2	3	3	2	3	2	9	10	100.0	Confident
21	P04406				36.03039786921083	80.3	54.03	4979.746712008556	Oxidation of M(M231)	Oxidation of M(1)			Single Protein		P04406	16	21	19	15	19	15	270	339	100.0	Confident
22	Q8WUM4				95.96312053654198	74.42	3.34	33.06639900683328					Single Protein		Q8WUM4	2	3	3	2	3	2	2	3	100.0	Confident
23	P23526				47.68520377095517	70.6	11.34	484.97385210022145					Single Protein		P23526	4	9	9	4	9	4	15	23	100.0	Confident
24	P23528				18.490657770592385	100.0	54.22	1480.0960321939897					Single Protein		P23528	8	10	10	8	10	8	44	59	100.0	Confident
25	P22234				47.04913676015042	76.71	2.59	90.90931107230782					Single Protein		P22234	1	4	4	1	4	1	2	8	100.0	Doubtful
26	Q13404				16.484326778844846	100.0	12.93	146.36192939079038					Single Protein		Q13404	2	2	1	1	1	1	2	2	100.0	Confident
27	Q9Y3C8				19.44601767942593	83.23	11.38	289.8754978802629					Single Protein		Q9Y3C8	2	2	2	2	2	2	4	4	100.0	Confident
28	P15088				48.63878635153954	93.53	3.12	386.96409389291694					Single Protein		P15088	1	1	1	1	1	1	10	16	100.0	Doubtful
29	Q92945				73.07002403537254	60.48	21.52	261.04729056967983					Single Protein		Q92945	10	11	10	9	10	9	30	39	100.0	Confident
30	P63313				5.022552956910162	100.0	31.82	1100.2092760455434	Oxidation of M(M7)	Oxidation of M(1)			Single Protein		P63313	2	3	3	2	3	2	5	5	100.0	Confident
31	P07195				36.61514296895986	84.73	21.56	2590.5673617198013					Single Protein		P07195	7	8	7	6	7	6	90	95	100.0	Confident
32	P32119				21.87823782783635	82.83	5.05	196.78539896749558					Single Protein		P32119	1	3	2	1	2	1	4	10	100.0	Doubtful
33	P07108				10.038020942858253	100.0	11.49	185.4758932797085					Single Protein		P07108	1	1	1	1	1	1	1	1	100.0	Doubtful
34	Q96EP5				43.35605580613451	48.16	11.06	1459.2710975751054					Single Protein		Q96EP5	3	4	4	3	4	3	24	26	100.0	Confident
35	P60763				21.36504911191747	59.38	14.06	984.8508699500014					Related Proteins	P63000	P60763, P63000	3	3	3	3	3	3	11	13	100.0	Confident
36	P09960				69.24123745121057	86.25	5.56	219.43874660322246					Single Protein		P09960	3	3	3	3	3	3	12	15	100.0	Confident
37	P63167				10.359108001124186	100.0	12.36	362.6157913558345					Related Proteins	Q96FJ2	P63167, Q96FJ2	1	1	1	1	1	1	2	2	100.0	Doubtful
38	P26447				11.720732061372276	70.3	8.91	1278.1309081453178					Single Protein		P26447	1	4	4	1	4	1	13	15	100.0	Doubtful
39	Q9UMY4				19.71809252868353	80.81	5.23	116.0892281678751					Single Protein		Q9UMY4	1	1	1	1	1	1	1	2	100.0	Doubtful
40	P14174				12.468219306490504	52.17	7.83	1344.7002262778865					Single Protein		P14174	1	3	3	1	3	1	9	9	100.0	Doubtful
41	P23919				23.804460647284372	100.0	5.66	76.11510714780489					Single Protein		P23919	1	4	4	1	4	1	1	4	100.0	Doubtful
42	P0CG47				25.745838190769668	100.0	44.54	916.0403288181227					Related Proteins	P0CG48, P62979, P62987, RS27A_HUMAN	P0CG47, P0CG48, P62979, P62987, RS27A_HUMAN	3	3	3	3	3	3	49	69	100.0	Confident
43	PRDX1_HUMAN				22.096278847426646	100.0	55.28	1520.1322825991842					Related Proteins	Q06830	PRDX1_HUMAN, Q06830	9	12	11	9	11	9	43	54	100.0	Confident
44	P21291				20.55376279588531	100.0	46.11	760.0392988791958					Single Protein		P21291	7	7	7	7	7	7	25	27	100.0	Confident
45	ALDOA_RABIT				38.8330631618425	76.39	6.39	44.82334087592955					Related Proteins	P04075	ALDOA_RABIT, P04075	1	1	1	1	1	1	1	1	100.0	Doubtful
46	P52565				23.192705365827848	64.71	15.69	366.7364253485145					Single Protein		P52565	2	3	3	2	3	2	4	5	100.0	Confident
47	Q9Y6W3				92.59383725123094	86.35	1.72	59.543921458799396					Single Protein		Q9Y6W3	1	1	1	1	1	1	3	3	100.0	Doubtful
48	P15531				17.137671231368294	100.0	34.21	2208.1393189405285					Single Protein		P15531	5	6	1	1	6	5	33	38	100.0	Confident
49	P68036				17.850239077792654	100.0	5.84	1152.600193952474					Single Protein		P68036	1	1	1	1	1	1	11	14	100.0	Doubtful
50	P60981				18.49347608207146	100.0	7.27	195.5927601858744					Single Protein		P60981	1	2	2	1	2	1	3	3	100.0	Doubtful
51	Q96C01				15.630660458123161	100.0	13.04	233.8609089178933					Single Protein		Q96C01	1	1	1	1	1	1	2	2	100.0	Doubtful
52	P60903				11.19551123367067	73.2	17.53	665.4186686735933					Single Protein		P60903	1	2	2	1	2	1	4	5	100.0	Doubtful
53	O75828				30.83071954782364	89.17	10.47	87.38124214080129					Related Proteins	P16152	O75828, P16152	2	2	2	2	2	2	2	2	100.0	Confident
