	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	G5EDM0	Uncharacterized protein (G5EDM0_CAEEL)	CELE_K08F9.4		59.57315236537177	73.11	0.0	0.0					Single Protein		G5EDM0	0	1	1	0	1	0	0	1	9.999999999999998	Doubtful
2	Q966F4	Uncharacterized protein (Q966F4_CAEEL)	CELE_T13G4.5		28.23756945389606	53.33	0.0	0.0					Single Protein		Q966F4	0	1	1	0	1	0	0	1	9.999999999999998	Doubtful
3	A0A168H3U5	Uncharacterized protein (A0A168H3U5_CAEEL)	C49G7.10	V	30.35014313187726	80.63	0.0	0.0					Related Proteins	O16222	A0A168H3U5, O16222	0	1	1	0	1	0	0	1	9.999999999999998	Doubtful
4	Q09415	SET domain-containing protein 14 (SET14_CAEEL)	set-14	II	48.51404126116438	82.28	0.0	0.0					Single Protein		Q09415	0	1	1	0	1	0	0	1	9.999999999999998	Doubtful
5	F20H11.4_2	ref_frame-3|F20H11.4alt_frame-2			5.799784070724169	100.0	0.0	0.0					Single Protein		F20H11.4_2	0	2	2	0	2	0	0	2	27.083333333333336	Doubtful
6	P91913	60S acidic ribosomal protein P1 (RLA1_CAEEL)	rla-1	I	11.276604026002351	45.05	37.84	1910.4920045186661					Single Protein		P91913	3	3	3	3	3	3	4	4	27.083333333333336	Doubtful
7	Q18010	Uncharacterized protein (Q18010_CAEEL)	C15C7.4	X	17.935462726982475	100.0	0.0	0.0					Single Protein		Q18010	0	1	1	0	1	0	0	1	9.999999999999998	Doubtful
8	Q21774	Adenylosuccinate lyase (PUR8_CAEEL)	adsl-1	I	53.534777522797164	87.45	0.0	0.0					Single Protein		Q21774	0	2	2	0	2	0	0	4	27.083333333333336	Doubtful
9	Q21536	Uncharacterized protein (Q21536_CAEEL)	CELE_M117.4		74.69875368597164	86.4	0.0	0.0					Single Protein		Q21536	0	1	1	0	1	0	0	1	9.999999999999998	Doubtful
10	T03F7.7a_1	ref_frame-1|T03F7.7alt_frame-2			6.328400085614331	100.0	0.0	0.0					Single Protein		T03F7.7a_1	0	1	1	0	1	0	0	1	9.999999999999998	Doubtful
11	Q9XXE5	Tyrosine-protein kinase (Q9XXE5_CAEEL)	CELE_Y43C5B.2		28.115707695310633	100.0	0.0	0.0					Single Protein		Q9XXE5	0	1	1	0	1	0	0	1	9.999999999999998	Doubtful
12	F30F8.3.1_1	ref_frame-2|F30F8.3alt_frame-2			5.412788063840623	100.0	0.0	0.0					Single Protein		F30F8.3.1_1	0	1	1	0	1	0	0	1	9.999999999999998	Doubtful
13	F52D2.6_2	ref_frame-1|F52D2.6alt_frame-2			11.629750122136125	7.92	0.0	0.0					Single Protein		F52D2.6_2	0	1	1	0	1	0	0	2	9.999999999999998	Doubtful
14	C35D10.6_1	ref_frame-2|C35D10.6alt_frame-3			5.693233486633181	100.0	0.0	0.0					Single Protein		C35D10.6_1	0	1	1	0	1	0	0	1	10.954063604240282	Doubtful
15	P48162	60S ribosomal protein L23a 1 (R23A1_CAEEL)	rpl-25.1	X	16.686265661204988	100.0	25.17	3221.5433989329927	Oxidation of M(M78)	Oxidation of M(1)			Single Protein		P48162	4	4	3	3	3	3	12	12	27.083333333333336	Doubtful
16	P50140	Chaperonin homolog Hsp-60, mitochondrial (CH60_CAEEL)	hsp-60	III	60.06375039887312	76.76	14.79	588.2280985279343	Oxidation of M(M505)	Oxidation of M(1)			Single Protein		P50140	7	8	8	7	8	7	13	14	27.083333333333336	Doubtful
17	G5EBH7	CALUmenin (Calcium-binding protein) homolog (G5EBH7_CAEEL)	calu-1	X	36.05508385951951	76.11	29.62	1010.7006837371728	Oxidation of M(M251, M256)	Oxidation of M(2)			Single Protein		G5EBH7	7	7	7	7	7	7	12	13	27.083333333333336	Doubtful
18	Q09643	PhosphatidylSerine SYnthase (Q09643_CAEEL)	pssy-1	X	58.704038532182906	50.69	0.0	0.0					Single Protein		Q09643	0	1	1	0	1	0	0	1	9.999999999999998	Doubtful
19	H2KYA5	Uncharacterized protein (H2KYA5_CAEEL)	unc-82	IV	202.72156171232993	73.45	0.0	0.0					Single Protein		H2KYA5	0	1	1	0	1	0	0	1	9.999999999999998	Doubtful
20	Q65XX5	Uncharacterized protein (Q65XX5_CAEEL)	CELE_Y39A3CL.7		45.87927349545049	52.35	0.0	0.0					Related Proteins	Q965X1	Q65XX5, Q965X1	0	1	1	0	1	0	0	1	9.999999999999998	Doubtful
21	R11F4.2b_2	ref_frame-2|R11F4.2alt_frame-1			13.24856832724451	77.59	0.0	0.0					Single Protein		R11F4.2b_2	0	1	1	0	1	0	0	2	9.999999999999998	Doubtful
22	G5EBX6	Cell death-related nuclease 3 (G5EBX6_CAEEL)	crn-3	II	100.86107813999087	86.19	0.0	0.0					Related Proteins	Q8I129	G5EBX6, Q8I129	0	1	1	0	1	0	0	1	27.083333333333336	Doubtful
23	Q20655	14-3-3-like protein 2 (14332_CAEEL)	ftt-2	X	28.049969110758244	89.92	9.27	810.6554163094091					Related Proteins	Q95ZT1, W6EKY2	Q20655, Q95ZT1, W6EKY2	2	2	2	2	2	2	4	4	27.083333333333336	Doubtful
24	P48150	40S ribosomal protein S14 (RS14_CAEEL)	rps-14	III	16.238649831593868	81.58	13.82	1102.2069256838456					Single Protein		P48150	2	2	2	2	2	2	3	3	27.083333333333336	Doubtful
25	P48156	40S ribosomal protein S8 (RS8_CAEEL)	rps-8	IV	23.735784034386555	100.0	60.58	1868.9203660151572	Oxidation of M(M82)	Oxidation of M(1)			Single Protein		P48156	10	10	10	10	10	10	20	21	27.083333333333336	Doubtful
