	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q86XI2				130.87607918483545	85.21	1.49	14.693111929211657					Single Protein		Q86XI2	1	2	2	1	2	1	2	3	100.0	Doubtful
2	Q8WXE1				85.78346656023143	65.11	1.39	29.357693543997662					Single Protein		Q8WXE1	1	1	1	1	1	1	2	3	97.87234042553192	Doubtful
3	P68104				50.10910826932214	65.8	27.27	451.49575387594496					Related Proteins	Q5VTE0	P68104, Q5VTE0	9	9	9	9	9	9	106	111	100.0	Confident
4	P40227				57.987597263605494	86.44	3.95	32.93946007659869					Single Protein		P40227	1	2	2	1	2	1	2	3	100.0	Doubtful
5	Q9Y678				97.65546641266018	87.99	2.86	12.646768862533497					Single Protein		Q9Y678	2	2	1	1	2	2	2	2	100.0	Confident
6	Q8WX92				65.6554114594879	80.86	32.41	80.83603676870491					Single Protein		Q8WX92	14	15	15	14	15	14	26	30	100.0	Confident
7	P46379				119.3339775156768	42.14	1.15	14.96951700510772					Single Protein		P46379	1	1	1	1	1	1	1	1	100.0	Doubtful
8	Q96QR8				33.22047814138894	66.35	4.17	36.519836171881146					Single Protein		Q96QR8	1	1	1	1	1	1	1	1	100.0	Doubtful
9	P61981				28.28491273516427	100.0	23.48	134.324984462162					Single Protein		P61981	4	4	3	3	3	3	9	10	100.0	Confident
10	Q5VW36				199.94371755902534	64.69	0.78	5.783937327910786					Single Protein		Q5VW36	1	1	1	1	1	1	1	1	100.0	Doubtful
11	P60660				16.91913314499716	82.12	19.21	150.19084942210725					Single Protein		P60660	2	2	2	2	2	2	4	4	100.0	Confident
12	Q96A49				39.90886348129711	59.09	4.26	64.06445836931694					Single Protein		Q96A49	1	1	1	1	1	1	2	2	100.0	Doubtful
13	P22314				117.77432920492443	78.26	5.67	29.60501473277906					Single Protein		P22314	4	4	4	4	4	4	6	6	100.0	Confident
14	P61978				50.94440274865072	82.51	9.72	65.96514910627747					Single Protein		P61978	3	5	5	3	5	3	5	7	100.0	Confident
15	Q9BUQ8				95.52389390005519	96.22	2.44	19.162499588287446					Single Protein		Q9BUQ8	2	4	4	2	4	2	3	5	100.0	Confident
16	Q01780				100.76767313881624	86.67	14.35	32.27378999054936					Single Protein		Q01780	8	9	9	8	9	8	11	12	100.0	Confident
17	Q96RE7				57.2218150043571	68.5	5.5	45.11273880055907					Single Protein		Q96RE7	2	2	1	1	2	2	3	3	100.0	Confident
18	Q9H568				41.33374636843982	78.69	7.38	78.74589674561872					Single Protein		Q9H568	2	3	3	2	3	2	4	5	100.0	Confident
19	Q3B726				37.40882846161325	55.03	15.09	145.8257347141088					Single Protein		Q3B726	4	5	5	4	5	4	10	10	100.0	Confident
20	O75534				88.82887199839485	92.36	1.5	19.76367604595921					Single Protein		O75534	1	2	2	1	2	1	2	3	100.0	Doubtful
21	Q9UKY1				98.03719459441594	67.24	2.98	24.62412406377654					Single Protein		Q9UKY1	1	1	1	1	1	1	2	2	100.0	Doubtful
22	Q86XP3				102.91186957670797	78.78	17.8	61.66851939543884					Single Protein		Q86XP3	13	16	16	13	16	13	29	32	100.0	Confident
23	Q9H583				242.21531456542715	85.31	2.43	14.489574309700886					Single Protein		Q9H583	4	7	7	4	7	4	8	13	100.0	Confident
24	Q92598				96.80365728513797	88.58	5.01	41.51874910795613					Single Protein		Q92598	3	3	3	3	3	3	6	6	100.0	Confident
25	P27348				27.746766754682028	100.0	32.24	162.505817937081					Single Protein		P27348	7	8	6	6	6	6	20	21	100.0	Confident
26	IP_200833_1				6.32925465016726	100.0	16.67	279.9854106510888					Single Protein		IP_200833_1	1	1	1	1	1	1	2	2	100.0	Doubtful
27	Q9UK59				61.51626222462637	65.99	6.25	84.42859032519945					Single Protein		Q9UK59	3	3	3	3	3	3	7	7	100.0	Confident
28	P53618				107.0737488352521	79.43	1.15	17.398402963358798					Single Protein		P53618	1	2	2	1	2	1	3	3	100.0	Doubtful
29	P53621				138.25788661556308	85.54	1.06	6.847469282227716					Single Protein		P53621	1	1	1	1	1	1	1	1	100.0	Doubtful
30	Q7Z406				227.73176987016345	94.54	0.85	4.008274701791834					Single Protein		Q7Z406	1	3	3	1	3	1	1	3	100.0	Doubtful
31	Q99873				41.48853521712523	89.2	3.32	23.477037539066455					Single Protein		Q99873	1	1	1	1	1	1	1	1	100.0	Doubtful
