	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Y71D11A.1_5	ref_frame-1|Y71D11A.1alt_frame-2			4.62362301295417	100.0	0.0	0.0					Single Protein		Y71D11A.1_5	0	1	1	0	1	0	0	1	0.0	Doubtful
2	G5EF07	BTAF (TBP-associated factor) homolog (G5EF07_CAEEL)	btf-1	II	185.71621146980925	86.66	0.0	0.0					Single Protein		G5EF07	0	1	1	0	1	0	0	1	0.0	Doubtful
3	R13A5.9_4	ref_frame-3|R13A5.9alt_frame-1			4.840487541817821	100.0	0.0	0.0					Single Protein		R13A5.9_4	0	1	1	0	1	0	0	1	0.0	Doubtful
4	Q9TYS3	Ferritin (Q9TYS3_CAEEL)	ftn-2	I	19.58070075291597	100.0	0.0	0.0					Single Protein		Q9TYS3	0	1	1	0	1	0	0	1	0.0	Doubtful
5	T22B11.4b_1	ref_frame-2|T22B11.4alt_frame-3			10.782996882071139	100.0	0.0	0.0					Single Protein		T22B11.4b_1	0	1	1	0	1	0	0	1	0.0	Doubtful
6	G5EEN3	CED-5 (G5EEN3_CAEEL)	ced-5	IV	203.67301790841435	86.47	0.0	0.0					Single Protein		G5EEN3	0	1	1	0	1	0	0	1	0.0	Doubtful
7	Q17474	Uncharacterized protein (Q17474_CAEEL)	B0334.3	II	69.10873969082684	78.23	7.73	27.508149035270264					Related Proteins	Q17475	Q17474, Q17475	4	5	0	0	0	0	5	6	100.0	Confident
8	C35D10.6_2	ref_frame-2|C35D10.6alt_frame-3			6.070426238754273	100.0	0.0	0.0					Single Protein		C35D10.6_2	0	1	1	0	1	0	0	1	0.0	Doubtful
9	F52D2.6_4	ref_frame-1|F52D2.6alt_frame-2			5.7360339586882905	100.0	0.0	0.0					Single Protein		F52D2.6_4	0	1	1	0	1	0	0	1	0.0	Doubtful
10	Q8STF6	Dystrophin-like protein 1 (DYC1_CAEEL)	dyc-1	X	99.50484821648094	70.12	0.0	0.0					Single Protein		Q8STF6	0	1	1	0	1	0	0	2	0.0	Doubtful
11	Q9TYT3	SHC-transforming protein homolog 1 (SHCH1_CAEEL)	shc-1	I	35.14786930416041	80.06	0.0	0.0					Single Protein		Q9TYT3	0	1	1	0	1	0	0	1	0.0	Doubtful
12	O61786	Innexin (O61786_CAEEL)	inx-15	I	44.578672927267924	65.97	0.0	0.0					Single Protein		O61786	0	1	1	0	1	0	0	1	0.0	Doubtful
13	Q21304	Uncharacterized protein (Q21304_CAEEL)	CELE_K07G5.5		39.42219541591134	73.85	0.0	0.0					Single Protein		Q21304	0	1	1	0	1	0	0	1	0.0	Doubtful
14	Q10661	Dosage compensation protein dpy-30 (DPY30_CAEEL)	dpy-30	V	12.829283745964556	60.16	16.26	166.9606574650381					Single Protein		Q10661	1	1	1	1	1	1	1	1	100.0	Doubtful
15	Q93805	TransThyretin-Related family domain (Q93805_CAEEL)	ttr-31	X	16.70764930758516	82.43	12.16	83.48032873251906					Single Protein		Q93805	1	1	1	1	1	1	1	1	100.0	Doubtful
16	Q10663	Bifunctional glyoxylate cycle protein (GCP_CAEEL)	icl-1	V	108.56069269664299	86.16	19.32	91.4768298436842	Oxidation of M(M332, M951)	Oxidation of M(2)			Single Protein		Q10663	17	20	20	17	20	17	30	33	100.0	Confident
17	Q10667	RNA-binding protein rnp-1 (RNP1_CAEEL)	rnp-1	V	33.02863028961304	51.48	0.0	0.0					Single Protein		Q10667	0	1	1	0	1	0	0	1	0.0	Doubtful
18	Q10669	Mediator of RNA polymerase II transcription subunit 23 (MED23_CAEEL)	sur-2	I	183.78762621521415	64.59	0.0	0.0					Single Protein		Q10669	0	1	1	0	1	0	0	1	0.0	Doubtful
19	U4PCA0	Uncharacterized protein (U4PCA0_CAEEL)	CELE_T05C7.7		4.463255216300531	100.0	0.0	0.0					Single Protein		U4PCA0	0	1	1	0	1	0	0	1	0.0	Doubtful
20	A5Z2U5	Uncharacterized protein (A5Z2U5_CAEEL)	C27A7.5	V	71.45004292026896	76.04	0.0	0.0					Related Proteins	A5Z2U6, P90758, Q9U3P0	A5Z2U5, A5Z2U6, P90758, Q9U3P0	0	1	1	0	1	0	0	1	0.0	Doubtful
21	C29F3.1_2	ref_frame-1|C29F3.1alt_frame-2			7.306713376425752	100.0	0.0	0.0					Single Protein		C29F3.1_2	0	1	1	0	1	0	0	1	0.0	Doubtful
22	ZK512.5_1	ref_frame-1|ZK512.5alt_frame-2			4.7234178075754905	100.0	0.0	0.0					Single Protein		ZK512.5_1	0	1	1	0	1	0	0	1	0.0	Doubtful
23	Y57A10B.3_1	ref_frame-1|Y57A10B.3alt_frame-2			6.45058846354763	100.0	0.0	0.0					Single Protein		Y57A10B.3_1	0	1	1	0	1	0	0	1	0.0	Doubtful
24	G5EF13	Uncharacterized protein (G5EF13_CAEEL)	AH10.2	V	27.61543955647232	62.45	0.0	0.0					Single Protein		G5EF13	0	1	1	0	1	0	0	1	0.0	Doubtful
25	B6EU63	Protein containing ALS2cr12 (ALS2CR12) domain (B6EU63_CAEEL)	pals-37		87.27276688466361	86.24	0.0	0.0					Related Proteins	J7SEY3	B6EU63, J7SEY3	0	1	1	0	1	0	0	1	0.0	Doubtful
26	K09C4.10_6	ref_frame-1|K09C4.10alt_frame-2			8.254853398782348	100.0	0.0	0.0					Single Protein		K09C4.10_6	0	1	1	0	1	0	0	1	0.0	Doubtful
27	Q09624	Location of vulva defective 1 (PKD1_CAEEL)	lov-1	II	355.2700456493554	44.67	0.0	0.0					Single Protein		Q09624	0	3	3	0	3	0	0	4	0.0	Doubtful
28	Q09622	Pumilio domain-containing protein 12 (PUF12_CAEEL)	puf-12	II	86.90065073781237	88.51	0.0	0.0					Single Protein		Q09622	0	1	1	0	1	0	0	1	0.0	Doubtful
29	Q94046	PIS (Pax-2, IA-1/6, Smad-2 interacting protein) homolog (Q94046_CAEEL)	pis-1	IV	120.2632403323773	62.29	0.0	0.0					Related Proteins	Q9U370	Q94046, Q9U370	0	1	1	0	1	0	0	1	0.0	Doubtful
30	C27B7.4_5	ref_frame-2|C27B7.4alt_frame-3			4.86757034284165	100.0	0.0	0.0					Single Protein		C27B7.4_5	0	1	1	0	1	0	0	1	0.0	Doubtful
