	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P52209				53.10595320852181	80.12	31.47	102.3348144052232					Single Protein		P52209	10	12	12	10	12	10	15	21	100.0	Confident
2	Q9UL33				16.134923280433917	100.0	15.71	375.0959044893233	Oxidation of M(M82)	Oxidation of M(1)			Single Protein		Q9UL33	1	1	1	1	1	1	6	18	98.9010989010989	Doubtful
3	P68104				50.10910826932214	60.61	46.32	1083.5478724827162	Oxidation of M(M276, M404)	Oxidation of M(2)			Related Proteins	Q5VTE0	P68104, Q5VTE0	23	24	24	23	24	23	193	207	100.0	Confident
4	P40222				61.85324680867071	81.87	23.63	170.0583048500159					Single Protein		P40222	14	15	14	13	14	13	35	36	100.0	Confident
5	Q5JSL3				237.51922702285245	84.61	1.06	12.20036629575542					Single Protein		Q5JSL3	2	3	2	1	3	2	4	5	100.0	Confident
6	Q9Y5X3				46.78715179215886	84.9	25.99	114.32006569744297					Single Protein		Q9Y5X3	9	9	9	9	9	9	16	18	100.0	Confident
7	Q9Y5X2				52.536116949581384	72.04	2.37	21.039033104369093					Single Protein		Q9Y5X2	1	1	1	1	1	1	1	1	100.0	Doubtful
8	Q9NWV4				18.036809179054856	80.0	50.0	346.4427451186112					Single Protein		Q9NWV4	6	6	6	6	6	6	13	13	100.0	Confident
9	Q7Z4H7				108.55278502732872	79.27	1.05	9.856123616461197					Single Protein		Q7Z4H7	1	3	3	1	3	1	1	4	100.0	Doubtful
10	Q09666				628.6993855112892	92.46	7.62	4.349077038036527					Single Protein		Q09666	13	15	15	13	15	13	18	20	100.0	Confident
11	Q9UKK9				24.312236652421767	61.19	21.46	124.52370812992439					Single Protein		Q9UKK9	4	6	6	4	6	4	5	8	100.0	Confident
12	Q14204				532.0718395312898	83.49	0.75	4.415176213753514					Single Protein		Q14204	3	5	5	3	5	3	4	6	100.0	Confident
13	P35658				213.4882520520574	41.77	0.81	16.467051310287005					Single Protein		P35658	1	1	1	1	1	1	2	2	100.0	Doubtful
14	P35637				53.39379117146102	49.05	11.6	144.83608605182695	Oxidation of M(M464)	Oxidation of M(1)			Single Protein		P35637	6	7	5	4	5	4	15	16	100.0	Confident
15	Q96IZ0				36.545442633375764	64.12	5.0	36.16627178271712					Single Protein		Q96IZ0	1	2	2	1	2	1	1	2	100.0	Doubtful
16	P22314				117.77432920492443	73.44	22.21	51.77152744566423					Single Protein		P22314	18	19	19	18	19	18	32	37	100.0	Confident
17	Q9NXV6				61.08785219820151	78.1	7.07	52.39209756047049					Single Protein		Q9NXV6	3	4	4	3	4	3	5	7	100.0	Confident
