	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9UL33				16.134923280433917	100.0	15.71	112.48411707645863	Oxidation of M(M82)	Oxidation of M(1)			Single Protein		Q9UL33	1	1	1	1	1	1	2	30	98.41269841269842	Doubtful
2	P68104				50.10910826932214	65.8	36.8	692.9532465226508	Oxidation of M(M276)	Oxidation of M(1)			Related Proteins	Q5VTE0	P68104, Q5VTE0	15	17	11	10	11	10	227	239	100.0	Confident
3	Q9UKN8				91.92346247902863	89.42	2.31	28.73681823121206					Single Protein		Q9UKN8	1	1	1	1	1	1	3	3	100.0	Doubtful
4	Q9Y5X3				46.78715179215886	91.09	3.71	21.396435313456806					Single Protein		Q9Y5X3	1	1	1	1	1	1	1	1	100.0	Doubtful
5	Q9NWV4				18.036809179054856	80.0	20.63	276.81638186784744					Single Protein		Q9NWV4	2	2	2	2	2	2	5	5	100.0	Confident
6	P17844				69.10473382539206	75.73	24.43	212.25000761860252					Single Protein		P17844	17	20	14	13	14	13	49	59	100.0	Confident
7	P22314				117.77432920492443	78.26	6.33	39.297729791010504					Single Protein		P22314	5	10	10	5	10	5	11	15	100.0	Confident
8	P61964				36.56545229372351	82.93	14.67	510.7811703571724					Single Protein		P61964	3	6	6	3	6	3	26	29	100.0	Confident
9	P61978				50.94440274865072	82.51	47.08	2875.340020358624	Oxidation of M(M27)	Oxidation of M(1)			Single Protein		P61978	23	25	25	23	25	23	743	790	100.0	Confident
10	Q9BUL8				24.685837735165908	100.0	6.13	74.28196410709533					Single Protein		Q9BUL8	1	1	1	1	1	1	2	2	100.0	Doubtful
11	Q9BV44				56.966835043871704	77.71	6.71	59.95346341638658					Single Protein		Q9BV44	2	2	2	2	2	2	4	4	100.0	Confident
12	Q9ULC4				20.541820954437807	100.0	37.02	148.632327812816					Single Protein		Q9ULC4	4	5	5	4	5	4	6	8	100.0	Confident
13	Q9Y6G9				56.54400024323288	78.97	8.8	36.29806614878629					Single Protein		Q9Y6G9	3	4	4	3	4	3	4	6	100.0	Confident
14	O75534				88.82887199839485	92.36	4.64	32.59343697422441					Single Protein		O75534	3	4	4	3	4	3	5	7	100.0	Confident
15	Q7Z572				52.17436836993338	70.15	4.26	20.39867408122307	Oxidation of M(M350)	Oxidation of M(1)			Single Protein		Q7Z572	1	1	1	1	1	1	1	1	100.0	Doubtful
16	Q92547				170.57137304809046	77.99	2.83	18.803905946667925					Single Protein		Q92547	3	6	6	3	6	3	6	8	100.0	Confident
17	Q9NXG2				39.29080339264612	88.1	6.23	75.95390542140295					Single Protein		Q9NXG2	2	2	2	2	2	2	4	4	100.0	Confident
18	Q9Y6D5				201.90913902812753	83.14	4.99	24.273495623473742					Single Protein		Q9Y6D5	5	6	4	3	6	5	9	11	100.0	Confident
19	Q9NXH9				72.18842429614473	78.0	3.64	41.29661640918937					Single Protein		Q9NXH9	1	1	1	1	1	1	3	3	100.0	Doubtful
20	P12956				69.799054271744	85.55	18.72	67.69364352795091					Single Protein		P12956	7	9	9	7	9	7	14	15	100.0	Confident
21	Q9Y6E0				49.27731588224513	77.88	8.58	108.02822451594193					Single Protein		Q9Y6E0	3	5	2	1	2	1	7	9	100.0	Confident
