	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	NM_032301_2	Homo sapiens F-box and WD repeat domain containing 9 (FBXW9), mRNA|FBXW9|frame-2			10.493017889443882	100.0	0.0	0.0					Single Protein		NM_032301_2	0	1	1	0	1	0	0	2	0.0	Doubtful
2	Q14160				174.77818983141674	70.0	0.8	5.3286463446521894					Related Proteins	Q9BTT6	Q14160, Q9BTT6	1	1	0	0	0	0	1	1	100.0	Doubtful
3	Q9UKT7				48.67567676299151	100.0	0.0	0.0					Single Protein		Q9UKT7	0	1	1	0	1	0	0	1	0.0	Doubtful
4	NM_001142290_4	Homo sapiens mahogunin, ring finger 1 (MGRN1), transcript variant 3, mRNA|MGRN1|frame-2			8.956553532769762	100.0	0.0	0.0					Related Proteins	NM_001142291_4	NM_001142290_4, NM_001142291_4	0	1	1	0	1	0	0	1	0.0	Doubtful
5	Q6YHU6				219.46505332386198	76.96	0.0	0.0					Single Protein		Q6YHU6	0	1	1	0	1	0	0	1	0.0	Doubtful
6	O60449				198.1835705879316	73.0	0.0	0.0					Single Protein		O60449	0	1	1	0	1	0	0	1	0.0	Doubtful
7	NM_020119_2	Homo sapiens zinc finger CCCH-type, antiviral 1 (ZC3HAV1), transcript variant 1, mRNA|ZC3HAV1|frame-3			8.224504898260001	100.0	0.0	0.0					Related Proteins	NM_024625_2	NM_020119_2, NM_024625_2	0	1	1	0	1	0	0	1	0.0	Doubtful
8	O60447				92.89006679110256	66.05	0.0	0.0					Single Protein		O60447	0	1	1	0	1	0	0	1	0.0	Doubtful
9	Q86XE3				60.673135583568005	76.79	0.0	0.0					Single Protein		Q86XE3	0	1	1	0	1	0	0	1	0.0	Doubtful
10	NM_016354_3	Homo sapiens solute carrier organic anion transporter family, member 4A1 (SLCO4A1), mRNA|SLCO4A1|frame-3			5.377556326288911	100.0	0.0	0.0					Single Protein		NM_016354_3	0	1	1	0	1	0	0	2	0.0	Doubtful
11	NM_020760_6	Homo sapiens HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 (HECW2), mRNA|HECW2|frame-2			10.154088424383342	100.0	0.0	0.0					Single Protein		NM_020760_6	0	1	1	0	1	0	0	1	0.0	Doubtful
12	NM_178565_4	Homo sapiens R-spondin 2 homolog (Xenopus laevis) (RSPO2), mRNA|RSPO2|frame-1			5.305489004195833	100.0	0.0	0.0					Single Protein		NM_178565_4	0	1	1	0	1	0	0	1	0.0	Doubtful
13	Q8N3U4				141.23542813358532	78.64	12.51	59.535247244403294					Single Protein		Q8N3U4	9	12	12	9	12	9	14	19	100.0	Confident
14	NM_004376_2	Homo sapiens COX15 homolog, cytochrome c oxidase assembly protein (yeast) (COX15), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA|COX15|frame-2			13.342848330630767	66.67	0.0	0.0					Related Proteins	NM_078470_2	NM_004376_2, NM_078470_2	0	1	1	0	1	0	0	1	0.0	Doubtful
15	P48163				64.10906861395647	72.2	0.0	0.0					Single Protein		P48163	0	1	1	0	1	0	0	1	0.0	Doubtful
16	Q9UL68				132.95945472010249	83.64	0.0	0.0					Single Protein		Q9UL68	0	1	1	0	1	0	0	1	0.0	Doubtful
17	NM_198993_2	Homo sapiens SH3 and cysteine rich domain 2 (STAC2), mRNA|STAC2|frame-2			11.79594988048407	100.0	0.0	0.0					Single Protein		NM_198993_2	0	1	1	0	1	0	0	1	0.0	Doubtful
18	NM_001130059_1	Homo sapiens activating transcription factor 7 (ATF7), transcript variant 1, mRNA|ATF7|frame-2			5.903198673027962	100.0	0.0	0.0					Related Proteins	NM_001130060_1	NM_001130059_1, NM_001130060_1	0	1	1	0	1	0	0	1	0.0	Doubtful
19	NM_001855_4	Homo sapiens collagen, type XV, alpha 1 (COL15A1), mRNA|COL15A1|frame-1			5.995999617253053	100.0	0.0	0.0					Single Protein		NM_001855_4	0	1	1	0	1	0	0	2	0.0	Doubtful
20	P52209				53.10595320852181	80.12	0.0	0.0					Single Protein		P52209	0	1	1	0	1	0	0	1	0.0	Doubtful
21	Q8NE71				95.86647554074207	78.82	1.3	17.133647477420116					Single Protein		Q8NE71	1	1	1	1	1	1	1	1	92.3076923076923	Doubtful
22	Q8NDV7				210.1685204774121	56.98	0.0	0.0					Single Protein		Q8NDV7	0	1	1	0	1	0	0	1	0.0	Doubtful
23	NM_001017520_2	Homo sapiens deoxynucleotidyltransferase, terminal (DNTT), transcript variant 2, mRNA|DNTT|frame-1			6.3144468080413905	100.0	0.0	0.0					Related Proteins	NM_004088_2	NM_001017520_2, NM_004088_2	0	1	1	0	1	0	0	1	0.0	Doubtful
24	B2MG_HUMAN				13.705910892344157	100.0	0.0	0.0					Related Proteins	P61769	B2MG_HUMAN, P61769	0	1	1	0	1	0	0	1	0.0	Doubtful
