	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q22344_REVERSED	Uncharacterized protein (Q22344_REVERSED_CAEEL)-REVERSED			21.907860984814267	100.0	0.0	0.0				Single Protein		Q22344_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
2	O45431_REVERSED	Uncharacterized protein (O45431_REVERSED_CAEEL)-REVERSED			40.580540326003735	100.0	0.0	0.0				Single Protein		O45431_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
3	Q9TYS1	Uncharacterized protein (Q9TYS1_CAEEL)	CELE_D1037.1		89.6548989764535	94.91	0.0	0.0				Single Protein		Q9TYS1	0	3	3	0	3	0	3	0.0	0	Doubtful
4	O44731_REVERSED	GoNadotropin-Releasing hormone Receptor (GnRHR) related (O44731_REVERSED_CAEEL)-REVERSED			46.17215946027179	70.32	0.0	0.0				Related Proteins	F54D7.3b_2_REVERSED	F54D7.3b_2_REVERSED, O44731_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
5	O17013_REVERSED	Nuclear Hormone Receptor family (O17013_REVERSED_CAEEL)-REVERSED			45.0488801479841	91.73	0.0	0.0				Single Protein		O17013_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
6	F23B12.7.2_3	ref_frame-3|F23B12.7alt_frame-1			6.968747116888573	100.0	0.0	0.0				Single Protein		F23B12.7.2_3	0	1	1	0	1	0	1	0.0	0	Doubtful
7	Q9TYS4	SeMaPhorin related (Q9TYS4_CAEEL)	smp-2	I	71.81613121239266	89.52	0.0	0.0				Single Protein		Q9TYS4	0	1	1	0	1	0	1	0.0	0	Doubtful
8	Q18183	Uncharacterized protein (Q18183_CAEEL)	C25H3.8	II	266.44098950301947	87.79	0.0	0.0				Related Proteins	R12C12.8a_2	Q18183, R12C12.8a_2	0	1	1	0	1	0	1	0.0	0	Doubtful
9	F13B12.6.2_3_REVERSED	ref_frame-2|F13B12.6alt_frame-3-REVERSED			12.854289378096718	100.0	0.0	0.0				Single Protein		F13B12.6.2_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
10	A7YNZ7	Uncharacterized protein (A7YNZ7_CAEEL)	CELE_F32H2.12		29.02977718578078	81.42	0.0	0.0				Single Protein		A7YNZ7	0	1	1	0	1	0	1	0.0	0	Doubtful
11	Q93575_REVERSED	Regulator of telomere elongation helicase 1 homolog (RTEL1_CAEEL)-REVERSED			112.87338902006272	92.86	0.0	0.0				Single Protein		Q93575_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
12	Q6BES3	TWiK family of potassium channels (Q6BES3_CAEEL)	twk-24	V	67.61582164845007	81.87	0.0	0.0				Single Protein		Q6BES3	0	1	1	0	1	0	1	0.0	0	Doubtful
13	T10B11.5_1_REVERSED	ref_frame-2|T10B11.5alt_frame-3-REVERSED			6.823516163106004	100.0	0.0	0.0				Single Protein		T10B11.5_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
14	F45G2.1_1	ref_frame-1|F45G2.1alt_frame-2			9.102602938197187	100.0	0.0	0.0				Single Protein		F45G2.1_1	0	1	1	0	1	0	1	0.0	0	Doubtful
