	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q86GC1	Uncharacterized protein (Q86GC1_CAEEL)	CELE_T04B2.7		40.52313000422442	100.0	0.0	0.0					Single Protein		Q86GC1	0	1	1	0	1	0	0	1	11.92752893809763	Doubtful
2	R13A5.9_7	ref_frame-3|R13A5.9alt_frame-2			10.404843915860125	100.0	0.0	0.0					Single Protein		R13A5.9_7	0	1	1	0	1	0	0	1	11.92752893809763	Doubtful
3	H8W3Y6	Uncharacterized protein (H8W3Y6_CAEEL)	CELE_F18E9.7		44.07865205455656	87.09	0.0	0.0					Related Proteins	H8W3Y7	H8W3Y6, H8W3Y7	0	1	1	0	1	0	0	1	11.92752893809763	Doubtful
4	T23G7.4_1	ref_frame-3|T23G7.4alt_frame-1			6.311235537432122	100.0	0.0	0.0					Single Protein		T23G7.4_1	0	1	1	0	1	0	0	1	11.92752893809763	Doubtful
5	F58H1.5.1_1	ref_frame-3|F58H1.5alt_frame-2			7.516579919728053	100.0	0.0	0.0					Single Protein		F58H1.5.1_1	0	1	1	0	1	0	0	1	11.92752893809763	Doubtful
6	Q9U2C2	Yeast MCM (Licensing factor) related (Q9U2C2_CAEEL)	mcm-10	III	76.00488773533279	94.79	0.0	0.0					Single Protein		Q9U2C2	0	1	1	0	1	0	0	1	11.92752893809763	Doubtful
7	T22B11.4b_1	ref_frame-2|T22B11.4alt_frame-3			10.782996882071139	100.0	0.0	0.0					Single Protein		T22B11.4b_1	0	4	4	0	4	0	0	4	12.927756653992395	Doubtful
8	Q17474	Uncharacterized protein (Q17474_CAEEL)	B0334.3	II	69.10873969082684	82.65	0.0	0.0					Related Proteins	Q17475	Q17474, Q17475	0	1	1	0	1	0	0	1	11.92752893809763	Doubtful
9	Q10651	Beta-amyloid-like protein (A4_CAEEL)	apl-1	X	79.38454208655673	86.01	0.0	0.0					Single Protein		Q10651	0	1	1	0	1	0	0	4	11.92752893809763	Doubtful
10	P48166	Ribosomal protein rpl-41 (RL44_CAEEL)	rpl-41	II	12.358713545584092	100.0	0.0	0.0					Single Protein		P48166	0	1	1	0	1	0	0	1	11.92752893809763	Doubtful
11	Q86GB8	Serpentine receptor class gamma (Q86GB8_CAEEL)	srg-54	V	35.28883053113964	88.67	0.0	0.0					Single Protein		Q86GB8	0	1	1	0	1	0	0	1	11.92752893809763	Doubtful
12	Q8STF6	Dystrophin-like protein 1 (DYC1_CAEEL)	dyc-1	X	99.50484821648094	76.44	0.0	0.0					Single Protein		Q8STF6	0	1	1	0	1	0	0	1	11.92752893809763	Doubtful
13	Q09643	PhosphatidylSerine SYnthase (Q09643_CAEEL)	pssy-1	X	58.704038532182906	75.94	0.0	0.0					Single Protein		Q09643	0	2	2	0	2	0	0	2	12.927756653992395	Doubtful
