	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q14160				174.77818983141674	70.0	0.8	5.3551893899013026				Related Proteins	Q9BTT6	Q14160, Q9BTT6	1	1	0	0	1	1	1	100.0	0	Doubtful
2	Q8N3U4				141.23542813358532	78.64	3.33	20.74577539368623				Single Protein		Q8N3U4	2	2	1	1	2	3	3	100.0	0	Doubtful
3	Q8NE71				95.86647554074207	78.82	6.86	45.056366525854216				Single Protein		Q8NE71	5	7	7	5	7	6	8	100.0	0	Confident
4	P61163				42.5869055223644	76.86	6.91	53.5803789489593				Single Protein		P61163	2	3	3	2	3	2	3	100.0	0	Confident
5	O14579				34.460340462443604	73.7	14.94	140.99448636554428				Single Protein		O14579	5	5	5	5	5	9	9	100.0	0	Confident
6	Q06587				42.402766636496466	52.22	2.71	111.92345824893722				Single Protein		Q06587	1	1	1	1	1	2	2	100.0	0	Doubtful
7	O14519				12.357258345209399	46.96	26.96	363.7512393090459				Single Protein		O14519	3	3	3	3	3	4	4	100.0	0	Confident
8	P68104				50.10910826932214	65.8	29.22	240.65804188304347				Related Proteins	Q5VTE0	P68104, Q5VTE0	14	15	11	10	11	31	33	100.0	0	Confident
9	Q9UL45				19.73125699583625	73.26	11.05	106.59376976089258				Single Protein		Q9UL45	1	1	1	1	1	1	1	100.0	0	Doubtful
10	Q9UKL0				52.99551049292243	81.74	2.9	34.08836291845803				Single Protein		Q9UKL0	1	1	1	1	1	1	1	100.0	0	Doubtful
11	Q9Y678				97.65546641266018	87.99	27.69	100.64132073387732				Single Protein		Q9Y678	19	20	18	17	18	31	32	100.0	0	Confident
12	Q9UKN8				91.92346247902863	89.42	4.62	35.401580468033664				Single Protein		Q9UKN8	3	4	4	3	4	4	5	100.0	0	Confident
13	Q9Y5X1				66.54961520841876	65.21	19.5	130.56039442687677				Single Protein		Q9Y5X1	8	8	8	8	8	14	15	100.0	0	Confident
14	Q9Y5Q9				101.20763783236904	78.56	7.9	55.17151215351974				Single Protein		Q9Y5Q9	6	6	6	6	6	9	9	100.0	0	Confident
15	Q9Y5Q8				59.533103733799756	86.71	10.21	94.05332625961111				Single Protein		Q9Y5Q8	4	6	6	4	6	6	8	100.0	0	Confident
16	Q9UBW8				30.25802892421038	89.09	8.0	97.67865447179975				Single Protein		Q9UBW8	1	1	1	1	1	2	2	100.0	0	Doubtful
17	P60660				16.91913314499716	82.12	25.17	252.01308479893152				Single Protein		P60660	3	3	3	3	3	4	4	100.0	0	Confident
18	P13489				49.94108720369384	86.77	2.39	31.380408854842205				Single Protein		P13489	1	1	1	1	1	1	1	100.0	0	Doubtful
19	Q14204				532.0718395312898	87.71	1.18	6.51475309947248				Single Protein		Q14204	4	6	6	4	6	4	6	100.0	0	Confident
20	P35659				42.6479204774305	100.0	15.2	133.71122478806367				Single Protein		P35659	5	5	5	5	5	8	8	100.0	0	Confident
21	P61962				38.90106241860374	65.5	12.57	144.90090576871333				Single Protein		P61962	4	4	4	4	4	5	5	100.0	0	Confident
22	P22314				117.77432920492443	75.8	2.84	22.017729491594206				Single Protein		P22314	2	2	2	2	2	2	2	100.0	0	Confident
23	P68363				50.119604615111854	73.84	28.38	114.5791412195539				Related Proteins	P68366	P68363, P68366	9	9	0	0	0	20	20	100.0	0	Confident
24	Q14241				89.85327686655339	81.33	8.4	57.617401583772406				Single Protein		Q14241	6	6	6	6	6	8	8	100.0	0	Confident
25	P43243				94.56479778685481	78.51	23.97	126.28579035836793				Single Protein		P43243	16	18	18	16	18	30	37	100.0	0	Confident
26	P61978				50.94440274865072	82.51	2.59	70.31840308833752				Single Protein		P61978	1	1	1	1	1	2	2	100.0	0	Doubtful
27	Q14247				61.548531657824725	80.18	33.82	162.03493167870744				Single Protein		Q14247	16	16	16	16	16	31	32	100.0	0	Confident
28	O75582				89.8087792315392	76.06	1.75	37.25607486788479	Oxidation of M(M525)	Oxidation of M(1)		Single Protein		O75582	1	2	2	1	2	2	3	99.69788519637463	0	Doubtful
29	Q9BUR4				59.27207911851189	52.55	3.28	36.201657654642766				Single Protein		Q9BUR4	1	1	1	1	1	1	2	100.0	0	Doubtful
30	Q9BUQ8				95.52389390005519	96.22	12.44	62.81466825136502				Single Protein		Q9BUQ8	9	11	11	9	11	13	15	100.0	0	Confident
31	P61923				20.185466194186752	61.02	11.86	373.078194163124				Single Protein		P61923	2	2	2	2	2	4	4	100.0	0	Confident
32	O14602				16.432268405296124	78.47	6.94	186.539097081562				Related Proteins	P47813	O14602, P47813	1	2	2	1	2	2	3	100.0	0	Doubtful
33	Q9NXR7				43.52382822824044	70.23	3.66	90.44319858499976				Single Protein		Q9NXR7	1	2	2	1	2	2	3	100.0	0	Doubtful
34	Q8IWS0				41.263967504718664	92.33	6.3	55.19513009536629				Single Protein		Q8IWS0	2	3	3	2	3	2	3	100.0	0	Confident
35	Q3B726				37.40882846161325	55.03	21.3	242.50082620603067				Single Protein		Q3B726	6	6	6	6	6	11	11	100.0	0	Confident
