	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	NM_001025357_3	Homo sapiens chromosome 8 open reading frame 85 (C8orf85), mRNA|C8orf85|frame-3			5.067809978860051	100.0	28.89	221.6595716446517					Single Protein		NM_001025357_3	1	1	1	1	1	1	1	3	100.0	Doubtful
2	P68104				50.10910826932214	65.8	27.92	764.3544852192329	Oxidation of M(M276)	Oxidation of M(1)			Related Proteins	Q5VTE0	P68104, Q5VTE0	10	12	7	7	7	7	207	220	100.0	Confident
3	P40222				61.85324680867071	81.87	8.24	87.49719933341515					Single Protein		P40222	4	6	6	4	6	4	10	10	100.0	Confident
4	P17812				66.64798976976122	73.77	2.71	22.8777080825902					Single Protein		P17812	1	1	1	1	1	1	1	1	100.0	Doubtful
5	Q9H4A5				32.746976882439924	89.82	3.16	69.99775946673212					Single Protein		Q9H4A5	1	3	3	1	3	1	2	4	100.0	Doubtful
6	P17844				69.10473382539206	71.5	3.91	50.66504494734897					Single Protein		P17844	2	2	1	1	1	1	4	4	100.0	Confident
7	Q9UKK9				24.312236652421767	61.19	20.09	983.2764534846593					Single Protein		Q9UKK9	4	5	5	4	5	4	32	33	100.0	Confident
8	P22314				117.77432920492443	75.8	7.47	44.331914328930345					Single Protein		P22314	5	7	7	5	7	5	9	11	100.0	Confident
9	P61964				36.56545229372351	82.93	4.79	29.864313544938103					Single Protein		P61964	1	1	1	1	1	1	1	1	100.0	Doubtful
10	P61978				50.94440274865072	82.51	33.26	3345.1279188800863					Single Protein		P61978	13	14	14	13	14	13	210	219	100.0	Confident
11	Q9BUL8				24.685837735165908	87.74	6.13	94.10076154725779					Single Protein		Q9BUL8	1	2	2	1	2	1	2	3	100.0	Doubtful
12	Q9BV44				56.966835043871704	77.71	2.17	25.316448538094736					Single Protein		Q9BV44	1	2	2	1	2	1	1	2	100.0	Doubtful
13	Q9ULC4				20.541820954437807	100.0	6.63	55.108733281819475					Single Protein		Q9ULC4	1	1	1	1	1	1	1	1	100.0	Doubtful
14	Q86XK3				28.244231230640047	64.9	14.29	81.42596509395369					Single Protein		Q86XK3	2	2	2	2	2	2	3	3	100.0	Confident
15	Q9Y6D9				83.01560960969881	95.82	11.7	68.07233363181854					Single Protein		Q9Y6D9	6	6	6	6	6	6	12	12	100.0	Confident
16	Q9NXH9				72.18842429614473	78.0	3.64	87.1912650700116					Single Protein		Q9NXH9	1	2	2	1	2	1	5	7	100.0	Doubtful
17	P12956				69.799054271744	85.55	21.18	65.50864481018193					Single Protein		P12956	9	11	11	9	11	9	14	16	100.0	Confident
18	Q9Y6E0				49.27731588224513	77.88	21.22	158.05291195531692					Single Protein		Q9Y6E0	6	8	8	6	8	6	16	20	100.0	Confident
19	Q7KZF4				101.93350953374157	87.14	8.9	70.96765766689023					Single Protein		Q7KZF4	5	7	7	5	7	5	12	14	100.0	Confident
20	A5YKK6				266.76789655556075	70.71	0.8	5.415136115097354					Single Protein		A5YKK6	1	1	1	1	1	1	1	1	100.0	Doubtful
21	Q86WB0				55.22606983060394	84.86	6.77	46.82948696717994					Single Protein		Q86WB0	2	2	2	2	2	2	3	3	100.0	Confident
22	Q9BTA9				70.68113983740794	68.47	3.4	105.88833040349603					Single Protein		Q9BTA9	2	3	3	2	3	2	6	7	100.0	Confident
23	Q13619				87.62439596910623	91.17	4.22	34.682478178057465					Single Protein		Q13619	2	3	2	2	3	2	3	4	100.0	Confident
24	Q13616				89.6219785085094	90.72	9.28	52.42374812334447					Single Protein		Q13616	6	8	8	6	8	6	11	13	100.0	Confident
25	P26038				67.77778967478379	90.12	21.84	158.7052375210856					Single Protein		P26038	14	17	12	9	12	9	50	55	100.0	Confident
26	Q8WVV9				60.04487467721004	78.6	4.8	39.5036860356805					Single Protein		Q8WVV9	2	2	2	2	2	2	3	3	100.0	Confident
27	Q9Y570				42.28820103997392	74.87	11.66	195.58197498057498					Single Protein		Q9Y570	3	3	3	3	3	3	8	8	100.0	Confident
28	O43143				90.87516566013836	74.34	7.67	49.0397282399672					Single Protein		O43143	4	5	5	4	5	4	7	7	100.0	Confident
29	XM_001717914_3	PREDICTED: Homo sapiens similar to hCG1645909 (LOC388553), mRNA|LOC388553|frame-2			5.1846598011494205	100.0	34.09	226.69728918203015					Related Proteins	XM_373809_3, XM_944980_3	XM_001717914_3, XM_373809_3, XM_944980_3	1	1	1	1	1	1	1	19	97.1731448763251	Doubtful
30	P15311				69.36973778207663	87.2	14.68	98.7561499366534					Single Protein		P15311	9	9	3	3	3	3	26	27	100.0	Confident
31	P83436				86.28896209790616	76.62	7.27	61.971274082175725					Single Protein		P83436	3	4	4	3	4	3	6	7	100.0	Confident
32	Q9Y530				17.013677698841345	100.0	16.45	196.86869850018405					Single Protein		Q9Y530	2	3	3	2	3	2	4	6	100.0	Confident
33	P47756				31.330769221309122	90.25	12.27	414.1112935960551					Single Protein		P47756	2	2	2	2	2	2	14	16	100.0	Confident
34	Q9Y5K6				71.40732601418689	92.8	2.19	33.64141896799098					Single Protein		Q9Y5K6	1	1	1	1	1	1	2	2	100.0	Doubtful
35	Q9Y5K5				37.58299279707521	81.76	7.9	135.24990812216035					Single Protein		Q9Y5K5	2	3	3	2	3	2	5	6	100.0	Confident
36	O75676				85.55225020066105	78.89	6.35	58.74811955243589					Single Protein		O75676	4	4	4	4	4	4	7	7	100.0	Confident
37	Q9BTE3				72.93378404920057	72.9	1.71	37.85457580269194					Single Protein		Q9BTE3	1	2	2	1	2	1	2	3	100.0	Doubtful
38	Q9Y5A7				70.4941242825082	85.04	4.55	85.82421273048178					Single Protein		Q9Y5A7	2	2	2	2	2	2	7	7	100.0	Confident
39	P08133				75.82557669066856	95.39	2.38	31.07377172588575					Single Protein		P08133	1	2	2	1	2	1	2	4	100.0	Doubtful
40	P53582				43.187249923864265	74.87	11.14	42.87112059029796					Single Protein		P53582	2	2	2	2	2	2	2	2	100.0	Confident
41	Q9H3U1				103.01148902530687	83.47	2.65	34.35596116191502					Single Protein		Q9H3U1	2	2	2	2	2	2	4	4	100.0	Confident
42	P08107				70.00903707472403	77.69	10.92	78.67192050600333					Single Protein		P08107	5	6	6	5	6	5	10	11	100.0	Confident
43	Q5VTR2				113.59230301445135	91.69	9.54	45.038301974830894					Single Protein		Q5VTR2	6	8	7	5	7	5	10	13	100.0	Confident
44	Q01518				51.868692610887614	85.68	7.37	91.5108323303608					Single Protein		Q01518	2	3	3	2	3	2	5	6	100.0	Confident
45	Q9NUQ8				79.69514877972468	84.2	4.09	25.062011869370163					Single Protein		Q9NUQ8	2	6	6	2	6	2	3	6	100.0	Confident
46	P58107				555.2789744304341	85.36	21.41	8.214602885211365					Single Protein		P58107	18	23	21	16	23	18	43	56	100.0	Confident
47	Q86UX6				54.95963251951609	70.78	4.94	53.91719310275312					Single Protein		Q86UX6	1	2	2	1	2	1	2	3	100.0	Doubtful
48	Q99801				26.334473230411604	88.03	8.55	42.62684070089457					Single Protein		Q99801	1	1	1	1	1	1	1	2	100.0	Doubtful
49	Q86VP6				136.28865971404403	71.71	2.68	15.456633353320237					Single Protein		Q86VP6	2	2	2	2	2	2	2	2	100.0	Confident
50	O75369				277.9900580055979	77.9	3.04	21.000941435212507					Single Protein		O75369	6	10	9	6	9	6	13	18	100.0	Confident
51	Q7Z2Z2				125.34997792659044	74.55	3.48	26.092214150995996					Single Protein		Q7Z2Z2	3	4	4	3	4	3	4	5	100.0	Confident
52	O75340				21.85478539004197	68.59	5.76	126.26178131657375					Single Protein		O75340	1	1	1	1	1	1	2	2	100.0	Doubtful
53	P46108				33.81001946864706	73.03	5.59	79.16413273023275					Single Protein		P46108	1	1	1	1	1	1	2	2	100.0	Doubtful
54	Q9NVM9				80.17430833620048	90.65	2.97	29.953996168196173					Single Protein		Q9NVM9	1	1	1	1	1	1	2	2	100.0	Doubtful
55	Q8WW12				18.913399832438486	100.0	8.99	168.1125964720673					Single Protein		Q8WW12	1	1	1	1	1	1	3	3	100.0	Doubtful
56	P41252				144.4060351667167	78.29	4.6	40.56306282258035					Single Protein		P41252	5	5	5	5	5	5	9	9	100.0	Confident
57	P41250				83.11261040955712	85.52	1.35	26.995076384328357					Single Protein		P41250	1	1	1	1	1	1	2	2	100.0	Doubtful
58	Q13535				301.1718986774208	80.03	2.34	17.286504204588436					Single Protein		Q13535	4	4	4	4	4	4	7	7	100.0	Confident
