	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	NM_080723_4	Homo sapiens neurensin 1 (NRSN1), mRNA|NRSN1|frame-2			9.586766685982264	100.0	0.0	0.0					Single Protein		NM_080723_4	0	1	1	0	1	0	0	1	0.0	Doubtful
2	Q9UKT6				49.120089697317184	63.36	0.0	0.0					Single Protein		Q9UKT6	0	1	1	0	1	0	0	1	0.0	Doubtful
3	NM_012104_2	Homo sapiens beta-site APP-cleaving enzyme 1 (BACE1), transcript variant a, mRNA|BACE1|frame-1			4.592422907845661	100.0	0.0	0.0					Related Proteins	NM_138971_1, NM_138972_2, NM_138973_1	NM_012104_2, NM_138971_1, NM_138972_2, NM_138973_1	0	1	1	0	1	0	0	1	0.0	Doubtful
4	P28562				39.27265807708235	56.95	0.0	0.0					Single Protein		P28562	0	1	1	0	1	0	0	1	0.0	Doubtful
5	P51531				181.16629630031673	71.19	0.0	0.0					Related Proteins	P51532	P51531, P51532	0	1	1	0	1	0	0	1	0.0	Doubtful
6	NM_004693_3	Homo sapiens keratin 75 (KRT75), mRNA|KRT75|frame-3			4.731280494128611	100.0	0.0	0.0					Single Protein		NM_004693_3	0	1	1	0	1	0	0	1	0.0	Doubtful
7	Q8NE79				41.424134238557116	91.11	0.0	0.0					Single Protein		Q8NE79	0	1	1	0	1	0	0	1	0.0	Doubtful
8	NM_006391_3	Homo sapiens importin 7 (IPO7), mRNA|IPO7|frame-3			12.698860323885855	100.0	0.0	0.0					Single Protein		NM_006391_3	0	1	1	0	1	0	0	1	0.0	Doubtful
9	NM_015347_1	Homo sapiens RIMS binding protein 2 (RIMBP2), mRNA|RIMBP2|frame-1			8.76338889288947	100.0	0.0	0.0					Single Protein		NM_015347_1	0	1	1	0	1	0	0	1	0.0	Doubtful
10	Q8N461				51.62449626500407	67.64	0.0	0.0					Single Protein		Q8N461	0	1	1	0	1	0	0	2	0.0	Doubtful
11	Q9UL63				84.71349245069409	90.07	0.0	0.0					Single Protein		Q9UL63	0	1	1	0	1	0	0	1	0.0	Doubtful
12	P48163				64.10906861395647	81.64	42.66	138.74047268848457	Oxidation of M(M76, M167, M394)	Oxidation of M(3)			Single Protein		P48163	21	21	21	21	21	21	44	44	100.0	Confident
13	Q9UL68				132.95945472010249	88.2	0.0	0.0					Single Protein		Q9UL68	0	1	1	0	1	0	0	2	0.0	Doubtful
14	NM_032291_1	Homo sapiens SH3-domain GRB2-like (endophilin) interacting protein 1 (SGIP1), mRNA|SGIP1|frame-3			12.409715896569521	100.0	0.0	0.0					Single Protein		NM_032291_1	0	1	1	0	1	0	0	1	0.0	Doubtful
15	Q9NXC5				98.52091917610424	92.8	1.71	12.58897978796059					Single Protein		Q9NXC5	1	1	1	1	1	1	1	1	100.0	Doubtful
16	NM_001855_4	Homo sapiens collagen, type XV, alpha 1 (COL15A1), mRNA|COL15A1|frame-1			5.995999617253053	100.0	0.0	0.0					Single Protein		NM_001855_4	0	1	1	0	1	0	0	2	0.0	Doubtful
17	Q8IWJ2				195.78871166783256	96.26	0.0	0.0					Single Protein		Q8IWJ2	0	1	1	0	1	0	0	1	0.0	Doubtful
18	Q7Z4N2				182.0622402206764	86.53	0.0	0.0					Single Protein		Q7Z4N2	0	1	1	0	1	0	0	1	0.0	Doubtful
19	Q8WXA9				59.34501049295324	88.39	0.0	0.0					Single Protein		Q8WXA9	0	2	2	0	2	0	0	2	0.0	Doubtful
20	NM_001988_5	Homo sapiens envoplakin (EVPL), mRNA|EVPL|frame-2			14.255131641931957	100.0	0.0	0.0					Single Protein		NM_001988_5	0	1	1	0	1	0	0	1	0.0	Doubtful
21	Q86XD8				80.30719826815744	87.21	0.0	0.0					Single Protein		Q86XD8	0	1	1	0	1	0	0	1	0.0	Doubtful
22	Q567U6				73.15190051221317	95.09	0.0	0.0					Single Protein		Q567U6	0	1	1	0	1	0	0	1	0.0	Doubtful
23	NM_000959_5	Homo sapiens prostaglandin F receptor (FP) (PTGFR), transcript variant 1, mRNA|PTGFR|frame-2			5.45583189607309	100.0	0.0	0.0					Related Proteins	NM_001039585_6	NM_000959_5, NM_001039585_6	0	1	1	0	1	0	0	1	0.0	Doubtful
24	Q8N3T6				121.71131603774408	86.46	0.0	0.0					Single Protein		Q8N3T6	0	1	1	0	1	0	0	1	0.0	Doubtful
