	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q9UL58				59.99598879165774	89.56	0.0	0.0				Single Protein		Q9UL58	0	1	1	0	1	0	1	16.738567730802412	0	Doubtful
2	NM_001135170_1	Homo sapiens C1q and tumor necrosis factor related protein 7 (C1QTNF7), transcript variant 1, mRNA|C1QTNF7|frame-3			5.8507837363710005	50.0	0.0	0.0				Related Proteins	NM_001135171_1, NM_031911_2	NM_001135170_1, NM_001135171_1, NM_031911_2	0	1	1	0	1	0	1	16.738567730802412	0	Doubtful
3	NM_001142936_5	Homo sapiens diacylglycerol lipase, beta (DAGLB), transcript variant 2, mRNA|DAGLB|frame-2			7.263756484914083	100.0	0.0	0.0				Related Proteins	NM_139179_6	NM_001142936_5, NM_139179_6	0	1	1	0	1	0	1	66.15384615384615	0	Doubtful
4	NM_018052_1	Homo sapiens Vac14 homolog (S. cerevisiae) (VAC14), mRNA|VAC14|frame-2			6.335976991040972	100.0	0.0	0.0				Single Protein		NM_018052_1	0	1	1	0	1	0	1	16.738567730802412	0	Doubtful
5	Q93088_REVERSED				44.96984867656717	81.03	0.0	0.0				Single Protein		Q93088_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
6	NM_023007_1_REVERSED	Homo sapiens jumonji domain containing 4 (JMJD4), mRNA|JMJD4|frame-2-REVERSED			6.8002165226651705	64.18	0.0	0.0				Single Protein		NM_023007_1_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
7	Q6YHU6				219.46505332386198	73.22	0.0	0.0				Single Protein		Q6YHU6	0	1	1	0	1	0	1	16.738567730802412	0	Doubtful
8	NM_001042383_4_REVERSED	Homo sapiens centrosomal protein 63kDa (CEP63), transcript variant 3, mRNA|CEP63|frame-3-REVERSED			4.792205484694941	100.0	0.0	0.0				Related Proteins	NM_001042400_3_REVERSED, NM_025180_4_REVERSED	NM_001042383_4_REVERSED, NM_001042400_3_REVERSED, NM_025180_4_REVERSED	0	1	1	0	1	0	2	16.738567730802412	1	Doubtful
9	NM_014415_6_REVERSED	Homo sapiens zinc finger and BTB domain containing 11 (ZBTB11), mRNA|ZBTB11|frame-1-REVERSED			6.07894678567028	49.06	0.0	0.0				Single Protein		NM_014415_6_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
10	O60443				54.5203513021725	61.09	0.0	0.0				Single Protein		O60443	0	1	1	0	1	0	1	21.53846153846154	0	Doubtful
11	NM_015050_5_REVERSED	Homo sapiens FtsJ methyltransferase domain containing 2 (FTSJD2), mRNA|FTSJD2|frame-3-REVERSED			10.396053883223392	55.21	0.0	0.0				Single Protein		NM_015050_5_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
12	NM_015347_2	Homo sapiens RIMS binding protein 2 (RIMBP2), mRNA|RIMBP2|frame-1			13.287462000599216	100.0	0.0	0.0				Single Protein		NM_015347_2	0	1	1	0	1	0	1	16.738567730802412	0	Doubtful
13	Q8N3U4				141.23542813358532	74.57	0.0	0.0				Single Protein		Q8N3U4	0	1	1	0	1	0	1	33.87096774193549	0	Doubtful
14	Q8WXX5_REVERSED				29.891093536494292	100.0	0.0	0.0				Single Protein		Q8WXX5_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
15	NM_007345_3	Homo sapiens zinc finger protein 236 (ZNF236), mRNA|ZNF236|frame-2			5.9713127316937635	100.0	0.0	0.0				Single Protein		NM_007345_3	0	1	1	0	1	0	1	16.738567730802412	0	Doubtful
16	XM_002343790_1_REVERSED	PREDICTED: Homo sapiens hypothetical protein LOC284889 (LOC284889), mRNA|LOC284889|frame-3-REVERSED			20.642562007087633	85.19	0.0	0.0				Related Proteins	XM_002345496_1_REVERSED, XM_002348117_1_REVERSED	XM_002343790_1_REVERSED, XM_002345496_1_REVERSED, XM_002348117_1_REVERSED	0	1	1	0	1	0	1	21.53846153846154	1	Doubtful
17	Q9UL63				84.71349245069409	83.54	0.0	0.0				Single Protein		Q9UL63	0	1	1	0	1	0	1	16.738567730802412	0	Doubtful
18	Q9H4L7				117.32797618478314	70.57	0.0	0.0				Single Protein		Q9H4L7	0	1	1	0	1	0	1	16.129032258064512	0	Doubtful
19	NM_014640_7_REVERSED	Homo sapiens tubulin tyrosine ligase-like family, member 4 (TTLL4), mRNA|TTLL4|frame-1-REVERSED			8.709428164060933	64.94	0.0	0.0				Single Protein		NM_014640_7_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
20	XM_001717543_4_REVERSED	PREDICTED: Homo sapiens similar to Fc fragment of IgG binding protein (LOC100133944), mRNA|LOC100133944|frame-3-REVERSED			14.180584852982253	100.0	6.02	164.9999936655283				Single Protein		XM_001717543_4_REVERSED	1	1	1	1	1	2	2	96.62337662337663	1	Doubtful
21	NM_001855_4	Homo sapiens collagen, type XV, alpha 1 (COL15A1), mRNA|COL15A1|frame-1			5.995999617253053	100.0	0.0	0.0				Single Protein		NM_001855_4	0	1	1	0	1	0	2	50.60240963855422	0	Doubtful
22	Q96RN1_REVERSED				108.9354120468599	50.41	0.0	0.0				Single Protein		Q96RN1_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
23	NM_022166_4_REVERSED	Homo sapiens xylosyltransferase I (XYLT1), mRNA|XYLT1|frame-3-REVERSED			5.18967628154551	100.0	0.0	0.0				Single Protein		NM_022166_4_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
24	Q96MC2_REVERSED				87.07996828582613	84.05	0.0	0.0				Single Protein		Q96MC2_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
25	Q99698_REVERSED				428.8662863442912	65.93	0.0	0.0				Single Protein		Q99698_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
26	A6NN14_REVERSED				144.9264573005643	100.0	0.0	0.0				Single Protein		A6NN14_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
27	O95613_REVERSED				377.8055060829507	83.09	0.0	0.0				Single Protein		O95613_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
28	Q8NDV7				210.1685204774121	52.04	0.0	0.0				Single Protein		Q8NDV7	0	1	1	0	1	0	1	89.70588235294117	0	Doubtful
29	Q86WK7_REVERSED				55.214449326048424	63.1	0.0	0.0				Single Protein		Q86WK7_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
30	NM_001007157_3	Homo sapiens PHD finger protein 14 (PHF14), transcript variant 1, mRNA|PHF14|frame-2			6.285369269512781	100.0	0.0	0.0				Related Proteins	NM_014660_3	NM_001007157_3, NM_014660_3	0	1	1	0	1	0	1	16.738567730802412	0	Doubtful
31	NM_001145446_1	Homo sapiens zinc finger protein 200 (ZNF200), transcript variant 4, mRNA|ZNF200|frame-3			7.6392360615245956	100.0	0.0	0.0				Related Proteins	NM_001145447_2, NM_001145448_1, NM_003454_2, NM_198087_1, NM_198088_1	NM_001145446_1, NM_001145447_2, NM_001145448_1, NM_003454_2, NM_198087_1, NM_198088_1	0	1	1	0	1	0	1	16.738567730802412	0	Doubtful
32	Q9Y4J8_REVERSED				83.84794512486216	76.04	0.0	0.0				Single Protein		Q9Y4J8_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
33	P42858				347.38278202173234	65.31	0.0	0.0				Single Protein		P42858	0	1	1	0	1	0	1	16.738567730802412	0	Doubtful
34	NM_005843_7	Homo sapiens signal transducing adaptor molecule (SH3 domain and ITAM motif) 2 (STAM2), mRNA|STAM2|frame-1			8.522739672431465	65.28	0.0	0.0				Single Protein		NM_005843_7	0	1	1	0	1	0	1	16.738567730802412	0	Doubtful
35	Q96HA7_REVERSED				150.83438169276073	57.62	0.0	0.0				Single Protein		Q96HA7_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
36	Q567U6				73.15190051221317	90.81	0.0	0.0				Single Protein		Q567U6	0	1	1	0	1	0	1	16.738567730802412	0	Doubtful
37	NM_014856_5_REVERSED	Homo sapiens DENN/MADD domain containing 4B (DENND4B), mRNA|DENND4B|frame-1-REVERSED			5.306232266692601	100.0	0.0	0.0				Single Protein		NM_014856_5_REVERSED	0	1	1	0	1	0	1	16.738567730802412	1	Doubtful
