	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P02794				21.21229163262616	87.98	11.48	1601.646934557279					Single Protein		P02794	2	2	2	2	2	2	3	3	100.0	Doubtful
2	K1C9_HUMAN				62.09190997979053	48.8	2.57	688.0314296337608					Related Proteins	P35527	K1C9_HUMAN, P35527	1	3	3	1	3	1	3	5	100.0	Doubtful
3	KRHB4_HUMAN				64.85455456800703	81.83	26.0	1495.3807391102125					Related Proteins	Q9NSB2	KRHB4_HUMAN, Q9NSB2	11	12	12	11	12	11	20	22	100.0	Doubtful
4	P08107				70.00903707472403	63.18	17.94	1054.006937212586					Single Protein		P08107	10	11	6	6	9	8	16	18	100.0	Doubtful
5	P62258				29.155415999021855	100.0	4.71	1149.4172118587533					Single Protein		P62258	1	1	1	1	1	1	2	2	100.0	Doubtful
6	P31946				28.064830628249755	90.65	5.69	595.7345305365491					Single Protein		P31946	1	1	1	1	1	1	1	1	100.0	Doubtful
7	O75369				277.9900580055979	67.18	2.77	281.52507782386476					Single Protein		O75369	6	8	6	4	6	4	10	12	100.0	Doubtful
8	P02538				60.00827426891604	72.16	34.57	1149.1694556993373					Single Protein		P02538	19	25	5	3	5	3	37	46	100.0	Doubtful
9	P02533				51.52938407421822	77.75	24.79	1929.150933007582					Single Protein		P02533	11	12	4	4	4	4	24	24	100.0	Doubtful
10	Q04695				48.07604411698762	84.49	10.88	1389.125998953867					Single Protein		Q04695	6	7	1	1	1	1	13	13	100.0	Doubtful
11	O43707				104.78847372042017	83.1	6.59	685.3090031136272					Single Protein		O43707	5	5	4	4	4	4	9	9	100.0	Doubtful
12	K22E_HUMAN				65.82539290353346	68.22	14.11	516.363396966023					Related Proteins	P35908	K22E_HUMAN, P35908	9	10	0	0	4	3	16	18	100.0	Doubtful
13	TRY1_BOVIN				25.408419297583514	71.6	61.32	19015.587031521787					Single Protein		TRY1_BOVIN	12	13	13	12	13	12	85	100	100.0	Doubtful
14	P62318				13.907304175913728	100.0	7.94	2326.201500190334					Single Protein		P62318	1	1	1	1	1	1	2	2	100.0	Doubtful
15	P62314				13.273363994901741	100.0	10.92	2463.036882554471					Single Protein		P62314	1	1	1	1	1	1	2	2	100.0	Doubtful
16	K1C10_HUMAN				59.48287701205572	57.84	11.13	1752.641893654855					Related Proteins	P13645	K1C10_HUMAN, P13645	6	7	7	6	7	6	11	13	100.0	Doubtful
17	P60709				41.709730139029176	64.53	8.27	911.870988074611					Related Proteins	P63261	P60709, P63261	2	3	1	1	3	2	3	4	100.0	Doubtful
18	P12814				102.99263258935731	84.19	2.58	286.0083811709427					Single Protein		P12814	2	2	1	1	1	1	3	3	100.0	Doubtful
19	P08779				51.236202521320465	77.17	23.89	1540.4828819969305					Single Protein		P08779	11	13	6	5	6	5	21	23	100.0	Doubtful
20	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	305.3139468999814					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	0	0	1	1	1	2	100.0	Doubtful
21	A6NMY6				38.63482708398095	92.63	2.65	864.6058673273808					Related Proteins	P07355	A6NMY6, P07355	1	1	1	1	1	1	2	2	100.0	Doubtful
22	P04259				60.03029098160933	72.16	34.57	1204.630631983793					Single Protein		P04259	19	23	2	2	2	2	36	43	100.0	Doubtful
23	P63104				27.727728395027338	90.2	4.9	598.1661000489431					Single Protein		P63104	1	1	1	1	1	1	1	1	100.0	Doubtful
24	K2C1_HUMAN				65.84694613410919	65.16	20.06	901.4566534674151					Related Proteins	P04264	K2C1_HUMAN, P04264	14	18	0	0	13	9	26	30	100.0	Doubtful
25	P11142				70.8542234932565	66.56	22.45	1375.3707601586202					Single Protein		P11142	12	13	7	6	11	10	23	24	100.0	Doubtful
26	P68104				50.10910826932214	55.63	2.16	753.4740077737328					Related Proteins	Q05639, Q5VTE0	P68104, Q05639, Q5VTE0	1	1	1	1	1	1	2	2	100.0	Doubtful
27	P21333				280.56387321173065	61.73	23.91	569.6951368500725					Single Protein		P21333	48	51	49	46	49	46	90	93	100.0	Doubtful
