	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Y71F9AL.10.2_1	ref_frame-3|Y71F9AL.10alt_frame-1			4.744530920557821	100.0	0.0	0.0					Single Protein		Y71F9AL.10.2_1	0	1	1	0	1	0	0	1	0.0	Doubtful
2	Q9TYS0	Intracelllar PhosphoLipase A family (Q9TYS0_CAEEL)	ipla-4	I	63.00899528278563	93.18	0.0	0.0					Single Protein		Q9TYS0	0	1	1	0	1	0	0	1	0.0	Doubtful
3	Q9TYS3	Ferritin (Q9TYS3_CAEEL)	ftn-2	I	19.58070075291597	100.0	0.0	0.0					Single Protein		Q9TYS3	0	1	1	0	1	0	0	1	0.0	Doubtful
4	F23B12.7.2_4	ref_frame-3|F23B12.7alt_frame-1			12.359327958873614	100.0	0.0	0.0					Single Protein		F23B12.7.2_4	0	1	1	0	1	0	0	1	0.0	Doubtful
5	F30H5.3_2	ref_frame-1|F30H5.3alt_frame-2			24.81163204416632	78.41	0.0	0.0					Single Protein		F30H5.3_2	0	1	1	0	1	0	0	1	0.0	Doubtful
6	F30H5.3_9	ref_frame-1|F30H5.3alt_frame-3			6.372358237885696	100.0	0.0	0.0					Single Protein		F30H5.3_9	0	1	1	0	1	0	0	1	0.0	Doubtful
7	F30H5.3_6	ref_frame-1|F30H5.3alt_frame-2			8.773371950092576	100.0	0.0	0.0					Single Protein		F30H5.3_6	0	1	1	0	1	0	0	2	0.0	Doubtful
8	F56H6.1_1	ref_frame-1|F56H6.1alt_frame-3			4.62129920637083	100.0	0.0	0.0					Single Protein		F56H6.1_1	0	1	1	0	1	0	0	2	0.0	Doubtful
9	Q6BES8	Uncharacterized protein (Q6BES8_CAEEL)	CELE_F53F4.16		7.437913756317785	100.0	0.0	0.0					Single Protein		Q6BES8	0	1	1	0	1	0	0	1	0.0	Doubtful
10	DY3.1_2	ref_frame-3|DY3.1alt_frame-2			8.581263288095654	100.0	0.0	0.0					Single Protein		DY3.1_2	0	1	1	0	1	0	0	1	0.0	Doubtful
11	Q17474	Uncharacterized protein (Q17474_CAEEL)	B0334.3	II	69.10873969082684	82.65	0.0	0.0					Related Proteins	Q17475	Q17474, Q17475	0	1	1	0	1	0	0	1	0.0	Doubtful
12	F56E3.4_2	ref_frame-3|F56E3.4alt_frame-2			4.48315611139595	100.0	0.0	0.0					Single Protein		F56E3.4_2	0	1	1	0	1	0	0	1	0.0	Doubtful
13	Q9TZ50	Uncharacterized protein (Q9TZ50_CAEEL)	CELE_K01A2.10		28.82576180369235	100.0	0.0	0.0					Single Protein		Q9TZ50	0	1	1	0	1	0	0	1	0.0	Doubtful
14	Q9TYT4	CUTiclin-Like (Q9TYT4_CAEEL)	cutl-20	I	39.50967994887139	69.72	0.0	0.0					Single Protein		Q9TYT4	0	1	1	0	1	0	0	1	0.0	Doubtful
15	T16H12.3a_2	ref_frame-3|T16H12.3alt_frame-3			6.2382414873111935	100.0	0.0	0.0					Related Proteins	A0A0K3ARA8, P34566	A0A0K3ARA8, P34566, T16H12.3a_2	0	1	1	0	1	0	0	1	0.0	Doubtful
16	Q6BET0	Ligand-Gated ion Channel (Q6BET0_CAEEL)	lgc-36	V	62.348016689574756	93.84	0.0	0.0					Single Protein		Q6BET0	0	2	2	0	2	0	0	5	0.0	Doubtful
17	Q6BET3	Serpentine Receptor, class Z (Q6BET3_CAEEL)	srz-3	I	37.711947454598494	64.11	0.0	0.0					Single Protein		Q6BET3	0	1	1	0	1	0	0	1	0.0	Doubtful
18	Q6BET5	RNA interference defective protein 11 (RDE11_CAEEL)	rde-11	IV	36.39199175235579	66.77	0.0	0.0					Single Protein		Q6BET5	0	1	1	0	1	0	0	1	0.0	Doubtful
19	A0A061AD47	Uncharacterized protein (A0A061AD47_CAEEL)	tag-273	IV	100.51490861976345	95.51	0.0	0.0					Related Proteins	A0A061AE99, H2L2L1, Q86CZ7	A0A061AD47, A0A061AE99, H2L2L1, Q86CZ7	0	2	2	0	2	0	0	2	0.0	Doubtful
20	Q2XN18	SaPosin-like Protein family (Q2XN18_CAEEL)	spp-14	X	11.184455354055478	66.02	0.0	0.0					Single Protein		Q2XN18	0	1	1	0	1	0	0	1	0.0	Doubtful
21	Y66D12A.1_1	ref_frame-1|Y66D12A.1alt_frame-2			6.2564581843795315	100.0	0.0	0.0					Single Protein		Y66D12A.1_1	0	1	1	0	1	0	0	1	0.0	Doubtful
22	Q9TZ60	Uncharacterized protein (Q9TZ60_CAEEL)	CELE_H09G03.1		34.671843073446304	100.0	0.0	0.0					Single Protein		Q9TZ60	0	1	1	0	1	0	0	1	0.0	Doubtful
23	Y6B3B.11_1	ref_frame-1|Y6B3B.11alt_frame-2			4.9884629601373005	100.0	0.0	0.0					Single Protein		Y6B3B.11_1	0	1	1	0	1	0	0	2	0.0	Doubtful
24	Q9TYU4	Uncharacterized protein (Q9TYU4_CAEEL)	CELE_VC5.2		67.3665333088533	85.88	0.0	0.0					Single Protein		Q9TYU4	0	1	1	0	1	0	0	1	0.0	Doubtful
25	U4PCA0	Uncharacterized protein (U4PCA0_CAEEL)	CELE_T05C7.7		4.463255216300531	100.0	0.0	0.0					Single Protein		U4PCA0	0	1	1	0	1	0	0	1	0.0	Doubtful
26	C29F3.1_3	ref_frame-1|C29F3.1alt_frame-2			5.350759693899642	100.0	0.0	0.0					Single Protein		C29F3.1_3	0	1	1	0	1	0	0	2	0.0	Doubtful
27	A0A0M7RDU5	KETtiN (Drosophila actin-binding) homolog (A0A0M7RDU5_CAEEL)	ketn-1	V	377.5500626836331	77.27	0.0	0.0					Related Proteins	A0A0M9JJ85, H2L075, Q5PY59, Q8MXD8, Q9NL87, V6CJB8, V6CKH1, V6CLP5, V6CLT3, V6CLU0, V6CLU5	A0A0M7RDU5, A0A0M9JJ85, H2L075, Q5PY59, Q8MXD8, Q9NL87, V6CJB8, V6CKH1, V6CLP5, V6CLT3, V6CLU0, V6CLU5	0	1	1	0	1	0	0	1	0.0	Doubtful
28	Y62E10A.6.2_1	ref_frame-1|Y62E10A.6alt_frame-2			6.116188069645733	100.0	0.0	0.0					Single Protein		Y62E10A.6.2_1	0	1	1	0	1	0	0	1	0.0	Doubtful
29	K09C4.10_1	ref_frame-1|K09C4.10alt_frame-2			10.003681050618749	100.0	0.0	0.0					Single Protein		K09C4.10_1	0	1	1	0	1	0	0	1	0.0	Doubtful
