	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q8N3U4				141.23542813358532	63.44	9.42	65.74405779516238					Single Protein		Q8N3U4	11	15	13	9	15	11	19	26	100.0	Confident
2	Q8NE71				95.86647554074207	76.21	29.82	228.52615108496587					Single Protein		Q8NE71	28	31	31	28	31	28	60	63	100.0	Confident
3	P61163				42.5869055223644	65.43	9.84	91.64764306147511					Single Protein		P61163	3	3	3	3	3	3	4	4	100.0	Confident
4	Q8NDT2				97.14651113807244	81.35	3.82	29.022611278311036					Single Protein		Q8NDT2	2	3	3	2	3	2	2	3	100.0	Confident
5	O14579				34.460340462443604	66.56	3.57	51.637633053618345					Single Protein		O14579	1	2	2	1	2	1	1	2	100.0	Doubtful
6	NM_018209_1	Homo sapiens ADP-ribosylation factor GTPase activating protein 1 (ARFGAP1), transcript variant 1, mRNA|ARFGAP1|frame-3			8.599439288669554	100.0	13.16	418.53660475038026					Related Proteins	NM_175609_1	NM_018209_1, NM_175609_1	1	1	1	1	1	1	2	2	80.0	Doubtful
7	Q06587				42.402766636496466	52.22	5.67	99.40244362821531					Single Protein		Q06587	2	2	2	2	2	2	2	2	100.0	Confident
8	P68104				50.10910826932214	55.63	20.13	251.769228420067	Oxidation of M(M276)	Oxidation of M(1)			Related Proteins	Q5VTE0	P68104, Q5VTE0	9	11	11	9	11	9	19	22	100.0	Confident
9	Q7Z4Q2				74.53498432741988	58.68	1.91	30.179110019951516					Single Protein		Q7Z4Q2	1	2	2	1	2	1	1	2	100.0	Doubtful
10	Q9Y678				97.65546641266018	82.61	8.7	59.865963540204945					Single Protein		Q9Y678	6	7	5	4	5	4	9	10	100.0	Confident
11	O95163				150.15896046811685	58.48	6.08	44.28583444937437					Single Protein		O95163	7	7	7	7	7	7	8	8	100.0	Confident
12	Q96QR8				33.22047814138894	66.35	9.94	217.69295222926382					Single Protein		Q96QR8	3	4	4	3	4	3	5	5	100.0	Confident
13	Q9BTT6				59.20486152508485	67.18	5.34	43.813749257615555					Single Protein		Q9BTT6	2	2	1	1	2	2	2	2	100.0	Confident
14	Q9Y5X1				66.54961520841876	65.21	9.92	151.38999199428125					Single Protein		Q9Y5X1	5	5	5	5	5	5	9	11	100.0	Confident
15	P60660				16.91913314499716	82.12	19.21	210.65418517237683					Single Protein		P60660	2	2	2	2	2	2	3	3	100.0	Confident
16	P13489				49.94108720369384	72.23	2.39	37.159792010547775					Single Protein		P13489	1	2	2	1	2	1	2	2	100.0	Doubtful
17	Q09666				628.6993855112892	92.07	0.65	1.3765268288484032					Single Protein		Q09666	1	3	3	1	3	1	2	3	98.18181818181819	Doubtful
18	Q6SPF0				56.0176601435601	53.72	1.86	101.62550147293578					Single Protein		Q6SPF0	1	1	1	1	1	1	2	2	98.52941176470588	Doubtful
19	Q15555				37.00819799112354	65.75	14.68	204.95349201693875					Single Protein		Q15555	3	5	4	2	4	2	5	8	100.0	Confident
20	P22314				117.77432920492443	58.6	4.82	31.866721454582684					Single Protein		P22314	3	3	3	3	3	3	3	3	100.0	Confident
21	P61964				36.56545229372351	69.16	3.29	47.61793706740853					Single Protein		P61964	1	1	1	1	1	1	1	1	100.0	Doubtful
22	P68363				50.119604615111854	68.51	19.07	170.11406618801482					Related Proteins	P68366	P68363, P68366	8	8	0	0	0	0	16	18	100.0	Confident
23	P43243				94.56479778685481	75.56	34.71	201.15643608454923	Oxidation of M(M38, M403)	Oxidation of M(2)			Single Protein		P43243	27	30	30	27	30	27	67	70	100.0	Confident
24	P61978				50.94440274865072	72.14	4.97	41.63453136260327					Single Protein		P61978	1	1	1	1	1	1	1	1	100.0	Doubtful
25	Q14247				61.548531657824725	80.18	4.18	54.0965679609335					Single Protein		Q14247	2	3	3	2	3	2	2	3	100.0	Confident
26	Q7Z5D8				22.735503589542194	86.7	10.64	84.59782436443855					Single Protein		Q7Z5D8	1	1	1	1	1	1	1	1	100.0	Doubtful
27	P61923				20.185466194186752	61.02	30.51	454.06054496839096					Single Protein		P61923	4	4	4	4	4	4	5	5	100.0	Confident
28	Q9NXR7				43.52382822824044	51.17	3.66	53.55013798153013					Single Protein		Q9NXR7	1	1	1	1	1	1	1	1	100.0	Doubtful
29	Q3B726				37.40882846161325	47.93	11.83	251.57408572573013					Single Protein		Q3B726	4	4	4	4	4	4	6	6	100.0	Confident
30	O75533				145.73809334204142	71.86	32.98	149.50747584596613	Oxidation of M(M1006)	Oxidation of M(1)			Single Protein		O75533	38	42	42	38	42	38	98	114	100.0	Confident
31	Q8WXI9				65.21999528964584	74.2	12.31	128.12735069103294					Single Protein		Q8WXI9	5	5	5	5	5	5	8	9	100.0	Confident
32	O95983				32.82332978686719	76.98	5.15	63.112662621089086					Single Protein		O95983	1	1	1	1	1	1	1	1	100.0	Doubtful
33	Q8IX12				132.73907948075103	74.09	14.09	103.10067710880256					Single Protein		Q8IX12	16	18	18	16	18	16	27	32	100.0	Confident
34	Q07955				27.727814961380233	100.0	18.15	251.17821777022147					Single Protein		Q07955	4	6	6	4	6	4	7	9	100.0	Confident
35	P35606				102.42248428957403	69.09	11.48	76.8324368539485					Single Protein		P35606	8	8	8	8	8	8	11	11	100.0	Confident
36	Q86XP3				102.91186957670797	73.67	12.05	109.49571241171363					Single Protein		Q86XP3	10	10	10	10	10	10	18	19	100.0	Confident
37	Q8TAQ2				132.7967512662691	56.75	1.57	15.273102734168805					Related Proteins	Q92922	Q8TAQ2, Q92922	2	2	0	0	0	0	2	2	100.0	Confident
38	NM_003187_1	Homo sapiens TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa (TAF9), transcript variant 1, mRNA|TAF9|frame-3			4.266402515073879	100.0	60.98	775.8239502689976					Related Proteins	Q9Y3D8	NM_003187_1, Q9Y3D8	2	3	3	2	3	2	4	4	100.0	Confident
39	Q9UBB5				43.22790381845884	73.48	9.98	88.09078589408807					Single Protein		Q9UBB5	3	3	3	3	3	3	3	3	100.0	Confident
