	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	G5EF07	BTAF (TBP-associated factor) homolog (G5EF07_CAEEL)	btf-1	II	185.71621146980925	73.62	0.0	0.0				Single Protein		G5EF07	0	1	1	0	1	1	1	35.0	0	Doubtful
2	Q20892_REVERSED	Uncharacterized protein (Q20892_REVERSED_CAEEL)-REVERSED			43.04445903088967	68.7	0.0	0.0				Single Protein		Q20892_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
3	Q95XE0_REVERSED	SET (Trithorax/polycomb) domain containing (Q95XE0_REVERSED_CAEEL)-REVERSED			27.444006068193275	72.92	0.0	0.0				Related Proteins	Y57A10A.1_10_REVERSED	Q95XE0_REVERSED, Y57A10A.1_10_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
4	Q9TYS3	Ferritin (Q9TYS3_CAEEL)	ftn-2	I	19.58070075291597	75.88	16.47	429.01709262123336				Single Protein		Q9TYS3	3	3	3	3	3	5	5	100.0	0	Confident
5	Q6BES0	Uncharacterized protein (Q6BES0_CAEEL)	CELE_F16C3.3		45.210565103684324	89.2	0.0	0.0				Single Protein		Q6BES0	0	2	2	0	2	0	2	0.0	0	Doubtful
6	Q9U2C4	Probable N-acetylgalactosaminyltransferase 9 (GALT9_CAEEL)	gly-9	III	66.38740306859073	68.39	0.0	0.0				Single Protein		Q9U2C4	0	1	1	0	1	0	1	0.0	0	Doubtful
7	Q09649	FiZzy Related family (Q09649_CAEEL)	fzr-1	II	76.3556796218484	48.01	0.0	0.0				Single Protein		Q09649	0	1	1	0	1	0	1	0.0	0	Doubtful
8	Q22624	Uncharacterized protein (Q22624_CAEEL)	CELE_T21B10.3		135.44809076651882	64.79	0.0	0.0				Single Protein		Q22624	0	3	3	0	3	0	3	0.0	0	Doubtful
9	O62452_REVERSED	Uncharacterized protein (O62452_REVERSED_CAEEL)-REVERSED			36.70619098615791	77.23	0.0	0.0				Single Protein		O62452_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
10	Q9U2C9	Putative T-box protein 37 (TBX37_CAEEL)	tbx-37	III	36.11687699822648	61.66	0.0	0.0				Single Protein		Q9U2C9	0	1	1	0	1	0	1	0.0	0	Doubtful
11	Q6BES3	TWiK family of potassium channels (Q6BES3_CAEEL)	twk-24	V	67.61582164845007	59.59	0.0	0.0				Single Protein		Q6BES3	0	1	1	0	1	0	1	0.0	0	Doubtful
12	K02B9.2_1_REVERSED	ref_frame-3|K02B9.2alt_frame-1-REVERSED			4.751367126498651	100.0	0.0	0.0				Single Protein		K02B9.2_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
13	G5EFJ4_REVERSED	Condensin complex subunit capg-1 (CAPG1_CAEEL)-REVERSED			131.38192700124537	69.38	0.0	0.0				Single Protein		G5EFJ4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
14	G5EEN3	CED-5 (G5EEN3_CAEEL)	ced-5	IV	203.67301790841435	76.02	0.0	0.0				Single Protein		G5EEN3	0	1	1	0	1	0	2	0.0	0	Doubtful
15	F52D2.6_2	ref_frame-1|F52D2.6alt_frame-2			11.629750122136125	7.92	0.0	0.0				Single Protein		F52D2.6_2	0	1	1	0	1	0	1	0.0	0	Doubtful
16	P48162	60S ribosomal protein L23a 1 (R23A1_CAEEL)	rpl-25.1	X	16.686265661204988	100.0	25.17	950.5040347798753	Oxidation of M(M78)	Oxidation of M(1)		Single Protein		P48162	4	5	4	3	4	11	12	100.0	0	Confident
17	P48166	Ribosomal protein rpl-41 (RL44_CAEEL)	rpl-41	II	12.358713545584092	100.0	28.57	1550.052733641027				Single Protein		P48166	5	6	6	5	6	15	15	100.0	0	Confident
18	Q9TYT0	HMBOX (Mammalian HoMeoBOX gene) homolog (Q9TYT0_CAEEL)	hmbx-1	I	46.99592342589066	56.6	0.0	0.0				Single Protein		Q9TYT0	0	1	1	0	1	0	1	0.0	0	Doubtful
19	C26B2.6_1_REVERSED	ref_frame-1|C26B2.6alt_frame-2-REVERSED			7.234968726609797	100.0	0.0	0.0				Single Protein		C26B2.6_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
20	F12F6.1_3_REVERSED	ref_frame-2|F12F6.1alt_frame-3-REVERSED			6.204380018876092	100.0	0.0	0.0				Single Protein		F12F6.1_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
21	Q9U2D2	Caenorhabditis KU (Q9U2D2_CAEEL)	cku-70	III	77.83496218554711	69.81	0.0	0.0				Single Protein		Q9U2D2	0	1	1	0	1	0	1	0.0	0	Doubtful
22	T23F1.5_3	ref_frame-3|T23F1.5alt_frame-1			6.521786843890744	100.0	0.0	0.0				Single Protein		T23F1.5_3	0	1	1	0	1	0	1	0.0	0	Doubtful
23	Q9TYT7	Uncharacterized protein (Q9TYT7_CAEEL)	CELE_W05F2.6		51.06955597724904	86.59	0.0	0.0				Single Protein		Q9TYT7	0	1	1	0	1	0	1	0.0	0	Doubtful
24	O61833_REVERSED	PRotein arginine MethylTransferase (O61833_REVERSED_CAEEL)-REVERSED			28.16289003916932	68.25	0.0	0.0				Single Protein		O61833_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
