	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q09655	G patch domain and ankyrin repeat-containing protein 1 homolog (GPAN1_CAEEL)	ZK1320.7	II	41.44603711725703	91.37	0.0	0.0					Single Protein		Q09655	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
2	O16728	Protein-tyrosine-phosphatase (O16728_CAEEL)	CELE_K09F6.3		152.81615420532685	84.12	0.0	0.0					Single Protein		O16728	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
3	T27F6.1_3	ref_frame-2|T27F6.1alt_frame-3			5.613857693688752	100.0	0.0	0.0					Single Protein		T27F6.1_3	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
4	C38C3.7_1	ref_frame-1|C38C3.7alt_frame-2			10.281335530934284	100.0	0.0	0.0					Single Protein		C38C3.7_1	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
5	Q9TZ57	COLlagen (Q9TZ57_CAEEL)	col-69	II	41.36456299674041	56.85	0.0	0.0					Single Protein		Q9TZ57	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
6	Q19479	INverted Formin/formin Three-related (Q19479_CAEEL)	inft-2	V	122.00705959953868	77.77	0.0	0.0					Single Protein		Q19479	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
7	W05H9.1.1_2	ref_frame-2|W05H9.1alt_frame-3			8.021631359377455	100.0	0.0	0.0					Single Protein		W05H9.1.1_2	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
8	G5EEQ8	Splicing Factor ThreeB (3b) Subunit homolog (G5EEQ8_CAEEL)	sftb-1		147.22993779789599	87.44	0.0	0.0					Single Protein		G5EEQ8	0	3	3	0	3	0	0	3	6.521739130434778	Doubtful
9	H2L2L2	Uncharacterized protein (H2L2L2_CAEEL)	CELE_Y57G11C.33		20.019194110282946	82.08	0.0	0.0					Related Proteins	Q9U204	H2L2L2, Q9U204	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
10	O02106	Uncharacterized protein (O02106_CAEEL)	mlt-8	II	30.522188785549137	100.0	0.0	0.0					Single Protein		O02106	0	1	1	0	1	0	0	2	6.521739130434778	Doubtful
11	Q06561	Basement membrane proteoglycan (UNC52_CAEEL)	unc-52	II	368.8199016680652	75.5	0.0	0.0					Related Proteins	A0A1T5HUZ1, G5EEI5, H9G348, H9G349, H9G350, H9G351, H9G352, H9G353, H9G354, U4PS79	A0A1T5HUZ1, G5EEI5, H9G348, H9G349, H9G350, H9G351, H9G352, H9G353, H9G354, Q06561, U4PS79	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
12	Q9TYU4	Uncharacterized protein (Q9TYU4_CAEEL)	CELE_VC5.2		67.3665333088533	85.88	0.0	0.0					Single Protein		Q9TYU4	0	1	1	0	1	0	0	2	6.521739130434778	Doubtful
13	Q21796	Uncharacterized protein (Q21796_CAEEL)	CELE_R07B7.6		56.25805702453347	86.39	0.0	0.0					Single Protein		Q21796	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
14	O45284	Seven TM Receptor (O45284_CAEEL)	str-214	V	40.893175957088594	65.34	0.0	0.0					Single Protein		O45284	0	1	1	0	1	0	0	2	6.521739130434778	Doubtful
15	Q19004	Acid Alpha Glucosidase Relate (Q19004_CAEEL)	aagr-1	IV	104.176868076398	66.13	0.0	0.0					Single Protein		Q19004	0	2	2	0	2	0	0	2	6.521739130434778	Doubtful
16	X5ML99	Uncharacterized protein (X5ML99_CAEEL)	CELE_Y51F10.15		15.222335047807878	47.76	0.0	0.0					Single Protein		X5ML99	0	1	1	0	1	0	0	2	6.521739130434778	Doubtful
17	Q09624	Location of vulva defective 1 (PKD1_CAEEL)	lov-1	II	355.2700456493554	53.87	0.0	0.0					Single Protein		Q09624	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
18	Q09622	Pumilio domain-containing protein 12 (PUF12_CAEEL)	puf-12	II	86.90065073781237	95.82	0.0	0.0					Single Protein		Q09622	0	2	2	0	2	0	0	3	6.521739130434778	Doubtful
19	P90956	Uncharacterized protein (P90956_CAEEL)	CELE_T01D3.3		110.22100713899435	83.18	0.0	0.0					Single Protein		P90956	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
20	T05H4.10.1_4	ref_frame-1|T05H4.10alt_frame-3			6.504074374967931	100.0	0.0	0.0					Single Protein		T05H4.10.1_4	0	1	1	0	1	0	0	2	6.521739130434778	Doubtful
21	F20B6.5_1	ref_frame-3|F20B6.5alt_frame-1			10.744719767535955	100.0	0.0	0.0					Single Protein		F20B6.5_1	0	2	2	0	2	0	0	3	6.521739130434778	Doubtful
22	F25E2.3_1	ref_frame-3|F25E2.3alt_frame-1			6.509454598037382	100.0	0.0	0.0					Single Protein		F25E2.3_1	0	1	1	0	1	0	0	2	6.521739130434778	Doubtful
23	B0336.5a_2	ref_frame-1|B0336.5alt_frame-2			6.17821111358943	35.19	0.0	0.0					Single Protein		B0336.5a_2	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
24	O45254	Protein containing ALS2cr12 (ALS2CR12) domain (O45254_CAEEL)	pals-2		45.180367419426446	100.0	0.0	0.0					Single Protein		O45254	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
25	Q20007	Uncharacterized protein (Q20007_CAEEL)	CELE_F35A5.1		252.3216340171926	97.88	0.0	0.0					Single Protein		Q20007	0	1	1	0	1	0	0	1	6.521739130434778	Doubtful
