	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P68104				50.10910826932214	65.8	21.86	392.8474600455569					Related Proteins	Q5VTE0	P68104, Q5VTE0	6	9	9	6	9	6	26	31	100.0	Confident
2	Q9H4M9				60.58866550092089	77.15	26.78	256.8505510292338					Single Protein		Q9H4M9	14	15	10	9	15	14	27	28	100.0	Confident
3	O14818				27.86961465429308	100.0	5.65	63.96542385773594					Related Proteins	Q8TAA3	O14818, Q8TAA3	1	1	1	1	1	1	1	1	100.0	Doubtful
4	Q9H4A4				72.54946048134059	73.08	22.77	172.81414717535384					Single Protein		Q9H4A4	12	12	12	12	12	12	22	27	100.0	Confident
5	P09382				14.706199322903753	100.0	54.07	1672.5142036639027					Single Protein		P09382	6	6	6	6	6	6	22	24	100.0	Confident
6	P61970				14.469048408153427	78.74	51.97	1165.8160190764265					Single Protein		P61970	3	4	4	3	4	3	14	17	100.0	Confident
7	Q2TAL8				86.38187420825344	43.56	2.58	108.65359668985285					Single Protein		Q2TAL8	2	4	4	2	4	2	3	6	100.0	Confident
8	P12955				54.5129070696838	65.31	11.76	58.32141587028866					Single Protein		P12955	2	2	2	2	2	2	2	2	100.0	Confident
9	Q9UK76				16.004911273188526	72.73	25.97	283.2754485128306					Single Protein		Q9UK76	2	2	2	2	2	2	3	3	100.0	Confident
10	O43175				56.61440433066414	60.41	53.85	787.091647896269					Single Protein		O43175	27	29	28	27	28	27	80	89	100.0	Confident
11	Q13618				88.87345558573134	96.09	1.3	20.655501454060566					Single Protein		Q13618	1	1	1	1	1	1	1	1	100.0	Doubtful
12	O43172				58.412397328058475	91.95	3.07	33.04880232649691					Single Protein		O43172	1	1	1	1	1	1	1	1	100.0	Doubtful
13	Q96PU8				37.64672654867138	82.11	4.11	113.31017940513225					Single Protein		Q96PU8	1	4	4	1	4	1	2	5	100.0	Doubtful
14	P15311				69.36973778207663	91.64	6.14	56.12757490086625					Single Protein		P15311	3	4	3	2	4	3	4	5	100.0	Confident
15	Q86WR0				24.463113769171457	100.0	21.63	292.35478981131877					Single Protein		Q86WR0	4	4	4	4	4	4	7	7	100.0	Confident
16	O60361				15.518981266030476	100.0	19.71	308.7771312256645					Related Proteins	P22392	O60361, P22392	2	2	1	1	1	1	4	4	100.0	Confident
17	Q86X83				22.73107455348244	100.0	12.06	79.71570410411313					Single Protein		Q86X83	1	1	1	1	1	1	1	1	100.0	Doubtful
18	P46459				82.54207591413305	82.8	9.14	106.49629614385941					Single Protein		P46459	5	5	5	5	5	5	9	10	100.0	Confident
19	Q9UKB3				23.400429881016283	86.36	7.07	160.2366173405911					Single Protein		Q9UKB3	1	1	1	1	1	1	2	2	100.0	Doubtful
20	Q9Y5B8				42.46430016430016	82.98	3.19	46.384283967013204					Single Protein		Q9Y5B8	1	2	2	1	2	1	1	2	100.0	Doubtful
21	P08107				70.00903707472403	77.69	28.39	302.4993775911646					Single Protein		P08107	18	19	12	12	12	12	42	43	100.0	Confident
22	P31942				36.90308163249408	91.04	3.76	50.360079735614335					Single Protein		P31942	1	2	1	1	1	1	1	7	97.77777777777777	Doubtful
23	P31943				49.19840896001632	83.3	36.75	1056.939612302219					Single Protein		P31943	11	12	7	7	7	7	57	59	100.0	Confident
24	P31948				62.5994056613524	94.11	15.1	153.22374553609868					Single Protein		P31948	7	7	7	7	7	7	13	13	100.0	Confident
25	P31939				64.57534202226608	100.0	2.7	26.796326210673172					Single Protein		P31939	1	1	1	1	1	1	1	1	100.0	Doubtful
26	O75391				26.018236816602716	100.0	10.13	69.88293002959699					Single Protein		O75391	1	1	1	1	1	1	1	1	100.0	Doubtful
27	O75348				13.749083045087946	100.0	11.86	134.43580607388571					Single Protein		O75348	1	1	1	1	1	1	1	1	100.0	Doubtful
28	P10155				60.63120382391405	85.87	3.72	194.24602183736957					Single Protein		P10155	1	1	1	1	1	1	6	6	97.77777777777777	Doubtful
29	Q99832				59.328924128279205	89.13	9.02	56.913788742303865					Single Protein		Q99832	3	5	5	3	5	3	3	5	100.0	Confident
30	Q99829				59.02154369385524	50.09	10.99	284.0476988061742					Single Protein		Q99829	5	8	8	5	8	5	9	14	100.0	Confident
31	Q8WW12				18.913399832438486	100.0	8.43	89.12036582426131					Single Protein		Q8WW12	1	3	3	1	3	1	1	3	100.0	Doubtful
32	P42575				50.65237115596079	90.71	3.1	96.72820193121046					Single Protein		P42575	2	3	3	2	3	2	4	5	100.0	Confident
33	Q9NTZ6				97.3334010122915	43.78	2.15	305.71911359842966					Single Protein		Q9NTZ6	2	2	2	2	2	2	10	10	100.0	Confident
34	P04406				36.03039786921083	80.3	54.93	8640.526966635896	Oxidation of M(M130, M133, M175, M231, M328, M331)	Oxidation of M(6)			Single Protein		P04406	27	31	31	27	31	27	444	464	100.0	Confident
35	Q9Y2Q3				25.48029794192982	100.0	10.18	175.4803663353818					Single Protein		Q9Y2Q3	2	2	2	2	2	2	3	4	100.0	Confident
36	Q9H1B7				82.60697858154948	62.06	7.16	128.6632762329269					Single Protein		Q9H1B7	5	6	5	4	5	4	10	11	100.0	Confident
37	P09234				17.381237670978834	37.74	11.32	264.3904186119753					Single Protein		P09234	1	1	1	1	1	1	1	1	100.0	Doubtful
38	P11586				101.49530567522311	79.68	11.55	93.1954645042643					Single Protein		P11586	9	10	10	9	10	9	14	17	100.0	Confident
39	P22234				47.04913676015042	76.71	2.59	44.68570455413666					Single Protein		P22234	1	1	1	1	1	1	1	1	100.0	Doubtful
40	O95817				61.55687506183154	76.17	3.83	85.28723181031461					Single Protein		O95817	2	2	2	2	2	2	3	3	100.0	Confident
41	Q02750				43.41128368163882	64.89	2.8	110.93304277425536					Single Protein		Q02750	1	1	1	1	1	1	2	2	100.0	Doubtful
42	P53396				120.76188090461223	77.66	35.06	233.5694097646908	Oxidation of M(M957)	Oxidation of M(1)			Single Protein		P53396	34	41	41	34	41	34	86	102	100.0	Confident
43	P54652				69.97786578851715	82.32	12.52	124.15859104503875					Single Protein		P54652	9	10	1	1	1	1	23	26	100.0	Confident
44	P10809				61.01638173839332	94.76	12.74	94.58994034110808					Single Protein		P10809	4	5	5	4	5	4	6	8	100.0	Confident
45	P13051				34.623842133515865	68.69	5.11	64.74867394578986					Single Protein		P13051	1	1	1	1	1	1	1	1	100.0	Doubtful
46	Q9P000				21.805441691869962	100.0	8.08	80.11830867029555					Single Protein		Q9P000	1	1	1	1	1	1	1	1	100.0	Doubtful
47	Q9H910				20.050983201468064	85.79	14.74	125.23756671093565					Single Protein		Q9H910	2	2	2	2	2	2	2	2	100.0	Confident
48	P07195				36.61514296895986	84.73	12.28	205.5331876135497					Single Protein		P07195	3	7	7	3	7	3	7	14	100.0	Confident
49	O43488				39.56370513370725	65.18	4.18	120.63441153398111					Related Proteins	Q8NHP1	O43488, Q8NHP1	1	2	2	1	2	1	2	3	100.0	Doubtful
50	Q96EP9				46.473017974721586	23.34	3.2	122.02634705168089					Single Protein		Q96EP9	1	1	1	1	1	1	1	3	100.0	Doubtful
51	Q15102				25.71823237467032	87.01	5.19	137.3456720062209					Single Protein		Q15102	1	2	2	1	2	1	2	3	97.77777777777777	Doubtful
52	P16949				17.291953666624845	100.0	11.41	532.3297019033059					Single Protein		P16949	2	7	7	2	7	2	7	14	100.0	Confident
53	Q15126				21.98122370046395	81.77	13.54	252.60231077577254					Single Protein		Q15126	2	2	2	2	2	2	3	4	100.0	Confident
54	Q96EK9				38.591850709309334	81.07	13.56	108.76821018847083					Single Protein		Q96EK9	3	4	4	3	4	3	4	5	100.0	Confident
55	P09651				38.723049790736084	73.92	19.62	144.57835385157526					Related Proteins	Q32P51	P09651, Q32P51	7	8	0	0	0	0	21	29	100.0	Confident
56	Q9H9A6				68.20712430238501	82.72	3.82	28.582747958051378					Single Protein		Q9H9A6	1	1	1	1	1	1	1	1	100.0	Doubtful
57	P49189				53.76698181280901	74.7	16.8	161.1649403125895					Single Protein		P49189	6	7	7	6	7	6	9	12	100.0	Confident
58	P09972				39.431236979782064	76.65	21.43	235.12899865570495					Single Protein		P09972	6	8	5	3	5	3	21	35	100.0	Confident
59	O00429				81.82611245891833	96.2	26.49	98.11095535525203					Single Protein		O00429	14	15	15	14	15	14	22	25	100.0	Confident
60	O00442				39.311403984098675	84.43	8.47	108.35672893933412					Single Protein		O00442	2	2	2	2	2	2	3	3	100.0	Confident
61	P40763				88.01137655756119	82.34	1.82	22.957199879476864					Single Protein		P40763	1	4	4	1	4	1	1	6	100.0	Doubtful
62	P63167				10.359108001124186	100.0	24.72	356.48146329704525					Related Proteins	Q96FJ2	P63167, Q96FJ2	2	2	2	2	2	2	3	3	100.0	Confident
63	P34896				53.049017884824856	77.64	3.52	42.30246697791604					Single Protein		P34896	1	1	1	1	1	1	1	1	100.0	Doubtful
64	O00170				37.61207032568999	91.52	28.79	243.27352154101888					Single Protein		O00170	8	8	8	8	8	8	14	16	100.0	Confident
65	O14745				38.8446100782511	100.0	24.3	279.8993537819515					Single Protein		O14745	6	7	7	6	7	6	12	15	100.0	Confident
66	Q9H6S3				80.57012193263076	80.28	3.08	65.65987217184816					Single Protein		Q9H6S3	2	3	3	2	3	2	3	4	100.0	Confident
67	Q9BWD1				41.324387505669186	70.03	27.2	385.43663436203616					Single Protein		Q9BWD1	6	7	7	6	7	6	17	19	100.0	Confident
68	O14732				31.301057124061536	77.08	7.99	126.90740093374812					Single Protein		O14732	1	1	1	1	1	1	2	2	100.0	Doubtful
69	P10599				11.72974160591313	100.0	23.81	377.7005980171075					Single Protein		P10599	2	2	2	2	2	2	3	3	100.0	Confident
70	P21291				20.55376279588531	100.0	8.81	164.3878250437152					Single Protein		P21291	1	1	1	1	1	1	2	2	100.0	Doubtful
71	P47897				87.74287347541251	91.23	12.77	101.063211785504					Single Protein		P47897	7	8	8	7	8	7	11	12	100.0	Confident
72	Q9UNI6				37.66292369577837	82.35	14.41	205.3517814461944					Single Protein		Q9UNI6	4	4	4	4	4	4	8	8	100.0	Confident
73	Q16222				58.73184645225602	88.51	16.67	163.69590072920673					Single Protein		Q16222	6	7	7	6	7	6	12	18	100.0	Confident
74	P08243				64.3286277634822	93.05	3.57	91.16910986619837					Single Protein		P08243	2	3	3	2	3	2	4	5	100.0	Confident
75	P52564				37.468216244719734	100.0	8.98	94.99056956118872					Single Protein		P52564	2	5	5	2	5	2	3	6	100.0	Confident
76	P52565				23.192705365827848	64.71	32.35	616.9109767612757					Single Protein		P52565	5	5	5	5	5	5	12	12	100.0	Confident
77	O00231				47.434040610909165	93.36	2.84	37.59105477895383					Single Protein		O00231	1	4	4	1	4	1	2	5	100.0	Doubtful
78	O00232				52.870573107757686	100.0	2.85	34.788212975259896					Single Protein		O00232	1	2	2	1	2	1	1	2	100.0	Doubtful
79	P15531				17.137671231368294	100.0	17.76	278.3057038020792					Single Protein		P15531	2	2	1	1	1	1	4	4	100.0	Confident
80	Q7Z5L9				60.98665769520671	72.23	8.18	82.62200581624226					Single Protein		Q7Z5L9	3	3	2	2	2	2	5	5	100.0	Confident
81	Q96C19				26.68046144148386	81.25	29.17	475.64449668239837					Single Protein		Q96C19	7	8	6	5	8	7	17	20	100.0	Confident
82	P60953				21.24501722805547	64.92	43.46	506.41698602556943					Single Protein		P60953	7	8	8	7	8	7	14	17	100.0	Confident
83	P09651				38.723049790736084	73.92	22.58	238.34052282146214					Single Protein		P09651	8	9	0	0	0	0	23	31	97.77777777777777	Doubtful
84	P60903				11.19551123367067	100.0	27.84	327.0809302416189					Single Protein		P60903	2	2	2	2	2	2	3	3	100.0	Confident
85	P22626				37.406726759746874	69.97	25.78	1029.8386173086756					Single Protein		P22626	9	14	10	6	10	6	46	67	100.0	Confident
86	P11940				70.62586938277288	78.3	31.29	152.5649517723441					Single Protein		P11940	16	18	8	7	12	10	38	44	100.0	Confident
87	P23921				90.01252755123127	85.23	11.87	105.94526655842188					Single Protein		P23921	8	9	9	8	9	8	14	16	100.0	Confident
88	P35908				65.39321717101762	79.81	1.88	26.661218683560534					Single Protein		P35908	1	1	1	1	1	1	1	1	100.0	Doubtful
89	O75874				46.62951442889963	92.51	9.9	89.7408731581117					Single Protein		O75874	3	4	4	3	4	3	4	5	100.0	Confident
90	P33316				26.546602511651518	100.0	15.48	167.86693245204782					Single Protein		P33316	3	3	3	3	3	3	5	5	100.0	Confident
91	P21333				280.56387321173065	73.14	0.94	18.566742880054445					Single Protein		P21333	2	5	5	2	5	2	3	8	100.0	Doubtful
92	P48163				64.10906861395647	76.75	22.2	142.91065886743883	Oxidation of M(M315)	Oxidation of M(1)			Single Protein		P48163	8	13	13	8	13	8	15	26	100.0	Confident
93	P48147				80.64802916912808	90.85	25.49	204.48274987511957					Single Protein		P48147	14	15	15	14	15	14	32	34	100.0	Confident
