	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	NM_012104_2	Homo sapiens beta-site APP-cleaving enzyme 1 (BACE1), transcript variant a, mRNA|BACE1|frame-1			4.592422907845661	100.0	0.0	0.0					Related Proteins	NM_138971_1, NM_138972_2, NM_138973_1	NM_012104_2, NM_138971_1, NM_138972_2, NM_138973_1	0	1	1	0	1	0	0	1	0.0	Doubtful
2	NM_005188_2	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence (CBL), mRNA|CBL|frame-1			7.514778787885674	100.0	0.0	0.0					Single Protein		NM_005188_2	0	1	1	0	1	0	0	1	0.0	Doubtful
3	NM_005188_1	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence (CBL), mRNA|CBL|frame-2			14.877910529472706	66.42	0.0	0.0					Single Protein		NM_005188_1	0	1	1	0	1	0	0	1	0.0	Doubtful
4	Q674R7				100.95506262768923	62.01	0.0	0.0					Single Protein		Q674R7	0	1	1	0	1	0	0	2	0.0	Doubtful
5	NM_001539_1	Homo sapiens DnaJ (Hsp40) homolog, subfamily A, member 1 (DNAJA1), mRNA|DNAJA1|frame-2			8.693503162392654	100.0	0.0	0.0					Single Protein		NM_001539_1	0	1	1	0	1	0	0	1	0.0	Doubtful
6	Q86XE0				46.36987176934028	84.12	0.0	0.0					Single Protein		Q86XE0	0	1	1	0	1	0	0	1	0.0	Doubtful
7	Q9UL62				111.3405030812205	70.4	0.0	0.0					Single Protein		Q9UL62	0	1	1	0	1	0	0	1	0.0	Doubtful
8	NM_001145398_8	Homo sapiens thyrotrophic embryonic factor (TEF), transcript variant 2, mRNA|TEF|frame-3			7.45175657661216	46.15	0.0	0.0					Related Proteins	NM_003216_8	NM_001145398_8, NM_003216_8	0	1	1	0	1	0	0	1	0.0	Doubtful
9	O14545				64.80014510808677	59.45	0.0	0.0					Single Protein		O14545	0	1	1	0	1	0	0	1	0.0	Doubtful
10	Q9H4L7				117.32797618478314	75.54	0.0	0.0					Single Protein		Q9H4L7	0	1	1	0	1	0	0	1	0.0	Doubtful
