	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q20842	Uncharacterized protein (Q20842_CAEEL)	CELE_F55F1.2		16.03375953564882	100.0	0.0	NaN					Single Protein		Q20842	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
2	F47B7.7a_2	ref_frame-1|F47B7.7alt_frame-2			19.616824103398365	100.0	0.0	NaN					Related Proteins	F47B7.7b_1	F47B7.7a_2, F47B7.7b_1	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
3	Y55B1BR.3_2	ref_frame-1|Y55B1BR.3alt_frame-2			6.197722610411504	100.0	0.0	NaN					Single Protein		Y55B1BR.3_2	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
4	F58E6.5_2	ref_frame-2|F58E6.5alt_frame-3			5.891945565047932	100.0	0.0	NaN					Single Protein		F58E6.5_2	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
5	G5EEG7	SMU-1 (G5EEG7_CAEEL)	smu-1	I	57.21419304500979	86.67	0.0	NaN					Single Protein		G5EEG7	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
6	Q9XWS4	Ribosomal Protein, Large subunit (Q9XWS4_CAEEL)	rpl-30	I	12.429519100237318	100.0	0.0	NaN					Single Protein		Q9XWS4	0	1	1	0	1	0	0	2	62.5	Doubtful
7	H2L0I2	Lin-5 (Five) Interacting protein (H2L0I2_CAEEL)	lfi-1	X	273.7123874610974	92.32	0.0	NaN					Related Proteins	H2L0I3	H2L0I2, H2L0I3	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
8	O18196	Uncharacterized protein (O18196_CAEEL)	CELE_Y48E1B.2		88.42914075468954	100.0	0.0	NaN					Related Proteins	Q9U285	O18196, Q9U285	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
9	Q19582	Uncharacterized protein (Q19582_CAEEL)	CELE_F19B6.3		39.17134972183321	85.14	0.0	NaN					Single Protein		Q19582	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
10	F17A9.6_2	ref_frame-1|F17A9.6alt_frame-3			8.419245407779558	100.0	0.0	NaN					Single Protein		F17A9.6_2	0	1	1	0	1	0	0	2	62.5	Doubtful
11	Q19981	Putative protein tag-53 (TAG53_CAEEL)	tag-53	X	146.69554617274144	78.93	0.0	NaN					Single Protein		Q19981	0	1	1	0	1	0	0	1	32.25806451612904	Doubtful
12	Q19784	Uncharacterized protein (Q19784_CAEEL)	CELE_F25F2.1		66.63216727382296	91.22	0.0	NaN					Related Proteins	Q7YXD1	Q19784, Q7YXD1	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
13	O45622	Eukaryotic Release FActor homolog (O45622_CAEEL)	erfa-3	V	59.12512567437745	85.53	0.0	NaN					Single Protein		O45622	0	1	1	0	1	0	0	1	32.25806451612904	Doubtful
14	H2L0A8	Uncharacterized protein (H2L0A8_CAEEL)	CELE_H05C05.1		96.24239750035736	83.13	0.0	NaN					Related Proteins	Q9TXU2	H2L0A8, Q9TXU2	0	1	1	0	1	0	0	2	62.5	Doubtful
15	O45907	Nuclear hormone receptor family member nhr-65 (NHR65_CAEEL)	nhr-65	V	46.76799890892029	80.55	0.0	NaN					Single Protein		O45907	0	1	1	0	1	0	0	2	62.5	Doubtful
16	E9P860	Uncharacterized protein (E9P860_CAEEL)	CELE_ZK1067.2		280.13379112305023	89.11	0.0	NaN					Related Proteins	Q23388	E9P860, Q23388	0	1	1	0	1	0	0	1	32.25806451612904	Doubtful
17	Q18026	Kynureninase (KYNU_CAEEL)	flu-2	X	54.01470345897388	86.61	0.0	NaN					Single Protein		Q18026	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
18	ZK858.5_1	ref_frame-1|ZK858.5alt_frame-2			5.340775995586783	100.0	0.0	NaN					Single Protein		ZK858.5_1	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
19	O16979	Uncharacterized protein (O16979_CAEEL)	CELE_T03D3.5		39.61236338367874	100.0	0.0	NaN					Single Protein		O16979	0	1	1	0	1	0	0	2	62.5	Doubtful
20	Q4W5S2	Uncharacterized protein (Q4W5S2_CAEEL)	CELE_Y18H1A.15		74.86598656272137	80.73	0.0	NaN					Single Protein		Q4W5S2	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
21	F46A9.6.1_2	ref_frame-3|F46A9.6alt_frame-1			5.186820124217964	100.0	0.0	NaN					Single Protein		F46A9.6.1_2	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
22	O18650	40S ribosomal protein S19 (RS19_CAEEL)	rps-19	I	16.3117699274496	100.0	0.0	NaN					Single Protein		O18650	0	2	2	0	2	0	0	3	75.0	Doubtful
23	G5EGG8	RAD51 short isoform (G5EGG8_CAEEL)	rad-51	IV	39.168689055409025	91.32	0.0	NaN					Related Proteins	L8E822, Q95Q25	G5EGG8, L8E822, Q95Q25	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
24	Q9BL33	Uncharacterized protein (Q9BL33_CAEEL)	CELE_Y71H2AM.4		16.258295189032587	100.0	0.0	NaN					Single Protein		Q9BL33	0	1	1	0	1	0	0	1	32.25806451612904	Doubtful
25	C12D5.5_1	ref_frame-3|C12D5.5alt_frame-1			14.475722276804733	100.0	0.0	NaN					Single Protein		C12D5.5_1	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
26	C16E9.4a_4	ref_frame-2|C16E9.4alt_frame-3			4.6812452800304705	100.0	0.0	NaN					Single Protein		C16E9.4a_4	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
27	Q94056	O-ACyltransferase homolog (Q94056_CAEEL)	oac-46	II	78.27718681742125	59.47	0.0	NaN					Single Protein		Q94056	0	1	1	0	1	0	0	2	62.5	Doubtful
28	O44908	Serpentine Receptor, class H (O44908_CAEEL)	srh-60	II	38.37411217235287	53.27	0.0	NaN					Single Protein		O44908	0	1	1	0	1	0	0	1	19.999999999999996	Doubtful
