	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	F56D12.4a.2_4	ref_frame-3|F56D12.4alt_frame-1			22.06252437947449	77.3	0.0	0.0					Single Protein		F56D12.4a.2_4	0	4	4	0	4	0	0	6	11.949685534591193	Doubtful
2	G5EF07	BTAF (TBP-associated factor) homolog (G5EF07_CAEEL)	btf-1	II	185.71621146980925	91.57	0.0	0.0					Single Protein		G5EF07	0	2	2	0	2	0	0	3	11.949685534591193	Doubtful
3	F43G6.5_3	ref_frame-1|F43G6.5alt_frame-3			4.81633996606734	100.0	0.0	0.0					Single Protein		F43G6.5_3	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
4	Q9TYS1	Uncharacterized protein (Q9TYS1_CAEEL)	CELE_D1037.1		89.6548989764535	94.91	0.0	0.0					Single Protein		Q9TYS1	0	2	2	0	2	0	0	2	11.949685534591193	Doubtful
5	T01B11.7.1_2	ref_frame-2|T01B11.7alt_frame-1			6.777090182869901	100.0	0.0	0.0					Single Protein		T01B11.7.1_2	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
6	Q9TYS4	SeMaPhorin related (Q9TYS4_CAEEL)	smp-2	I	71.81613121239266	89.52	0.0	0.0					Single Protein		Q9TYS4	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
7	F30H5.3_2	ref_frame-1|F30H5.3alt_frame-2			24.81163204416632	78.41	0.0	0.0					Single Protein		F30H5.3_2	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
8	T23G11.6c_1	ref_frame-3|T23G11.6alt_frame-2			6.832527696682532	100.0	0.0	0.0					Single Protein		T23G11.6c_1	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
9	Q9U2C5	MIB (MIndBomb) ubiquitin ligase homolog (Q9U2C5_CAEEL)	mib-1	III	85.0630146153722	91.37	0.0	0.0					Single Protein		Q9U2C5	0	2	2	0	2	0	0	2	11.949685534591193	Doubtful
10	Q6BES0	Uncharacterized protein (Q6BES0_CAEEL)	CELE_F16C3.3		45.210565103684324	100.0	0.0	0.0					Single Protein		Q6BES0	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
11	Q6BES3	TWiK family of potassium channels (Q6BES3_CAEEL)	twk-24	V	67.61582164845007	81.87	0.0	0.0					Single Protein		Q6BES3	0	1	1	0	1	0	0	2	12.990790111488126	Doubtful
12	Q22629	DystroGlycaN (Q22629_CAEEL)	dgn-1	X	65.60635385648386	84.59	0.0	0.0					Single Protein		Q22629	0	1	1	0	1	0	0	2	12.990790111488126	Doubtful
13	Y53H1C.1a_2	ref_frame-3|Y53H1C.1alt_frame-1			5.609819433896431	100.0	0.0	0.0					Single Protein		Y53H1C.1a_2	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
14	Q09645	Uncharacterized protein (Q09645_CAEEL)	CELE_ZK1128.4		31.920022357329852	78.04	0.0	0.0					Single Protein		Q09645	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
15	F36H12.5_2	ref_frame-1|F36H12.5alt_frame-2			7.017990312251984	100.0	0.0	0.0					Single Protein		F36H12.5_2	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
16	R10E11.1a_1	ref_frame-3|R10E11.1alt_frame-1			7.980234990575805	100.0	0.0	0.0					Single Protein		R10E11.1a_1	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
17	Q2XN18	SaPosin-like Protein family (Q2XN18_CAEEL)	spp-14	X	11.184455354055478	66.02	0.0	0.0					Single Protein		Q2XN18	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
18	ZK617.1e.1_31	ref_frame-1|ZK617.1alt_frame-2			21.543349410406783	100.0	0.0	0.0					Single Protein		ZK617.1e.1_31	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
19	Q10666	Protein pop-1 (POP1_CAEEL)	pop-1	I	48.59506100528385	73.29	0.0	0.0					Single Protein		Q10666	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
20	O61754	Uncharacterized protein (O61754_CAEEL)	CELE_F56C3.4		37.02649276957282	100.0	0.0	0.0					Single Protein		O61754	0	1	1	0	1	0	0	1	14.806866952789699	Doubtful
