	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P01891				40.88310625717927	63.56	3.29	76.58834522263356					Related Proteins	P01892, P10314, P10316, P10321, P16188, P16189, P16190, P18463, P30453, P30459, P30460, P30462, P30466, P30479, P30480, P30492, P30493, P30499, P30504, P30505, P30508, P30510, P30512, Q07000, Q29865, Q29940, Q29960, Q29963, Q9TNN7	P01891, P01892, P10314, P10316, P10321, P16188, P16189, P16190, P18463, P30453, P30459, P30460, P30462, P30466, P30479, P30480, P30492, P30493, P30499, P30504, P30505, P30508, P30510, P30512, Q07000, Q29865, Q29940, Q29960, Q29963, Q9TNN7	1	1	0	0	1	1	1	1	89.64143426294821	Doubtful
2	Q9UKV3				151.77079068994243	73.75	15.44	103.17199000051768					Single Protein		Q9UKV3	20	25	25	20	25	20	34	42	89.64143426294821	Confident
3	Q9NXF1				105.60761109247318	67.17	3.34	52.34951297419621					Single Protein		Q9NXF1	2	4	4	2	4	2	2	4	89.64143426294821	Doubtful
4	P68104				50.10910826932214	55.63	22.51	479.4909498272015					Related Proteins	Q5VTE0	P68104, Q5VTE0	7	7	7	7	7	7	16	16	89.64143426294821	Confident
5	P25440				88.006311905524	53.68	2.87	106.48733472053436					Single Protein		P25440	2	2	1	1	1	1	4	4	89.64143426294821	Confident
6	O95197				112.54142600660994	56.59	1.07	35.53958473659582					Single Protein		O95197	1	1	1	1	1	1	1	2	89.64143426294821	Doubtful
7	P17844				69.10473382539206	71.5	11.56	153.58516161978784					Single Protein		P17844	7	8	5	4	5	4	10	11	89.64143426294821	Confident
8	Q09666				628.6993855112892	90.29	3.12	8.771871924417912					Single Protein		Q09666	5	7	7	5	7	5	6	9	89.64143426294821	Confident
9	P21127				92.65030386123267	76.35	5.91	121.6647161498664					Related Proteins	Q9UQ88	P21127, Q9UQ88	5	7	7	5	7	5	7	8	89.64143426294821	Confident
10	K1C9_HUMAN				62.09190997979053	48.8	2.57	118.29842994481896					Related Proteins	P35527	K1C9_HUMAN, P35527	1	2	2	1	2	1	2	3	89.64143426294821	Doubtful
11	P22314				117.77432920492443	56.62	4.35	64.25608708478146					Single Protein		P22314	3	4	4	3	4	3	4	5	89.64143426294821	Confident
12	P61964				36.56545229372351	69.16	6.89	113.1627196627834					Single Protein		P61964	2	2	2	2	2	2	2	2	89.64143426294821	Confident
13	P68363				50.119604615111854	58.98	21.29	446.22392506937797					Related Proteins	P68366	P68363, P68366	8	10	0	0	0	0	29	32	89.64143426294821	Confident
14	Q9NPF5				52.95979608595446	81.8	2.57	58.058906862318985					Single Protein		Q9NPF5	1	1	1	1	1	1	1	1	89.64143426294821	Doubtful
15	P43243				94.56479778685481	73.08	9.45	144.617606952843					Single Protein		P43243	5	6	6	5	6	5	8	9	89.64143426294821	Confident
16	P61978				50.94440274865072	67.82	4.54	164.90553388904738					Single Protein		P61978	2	2	2	2	2	2	3	3	89.64143426294821	Confident
17	O15047				185.92013916233606	50.97	0.7	21.666006516119037					Single Protein		O15047	1	1	1	1	1	1	1	1	89.64143426294821	Doubtful
18	Q9BV38				47.37500670859233	46.76	4.4	231.59527185888274					Single Protein		Q9BV38	2	2	2	2	2	2	3	4	89.64143426294821	Confident
19	P02786				84.81794354456795	78.03	1.84	77.41187581642532					Single Protein		P02786	1	1	1	1	1	1	2	2	89.64143426294821	Doubtful
20	O75534				88.82887199839485	75.06	1.38	32.93799421992998					Single Protein		O75534	1	1	1	1	1	1	1	1	89.64143426294821	Doubtful
21	Q7Z4V5				74.27222971678142	82.56	10.73	194.812639168358					Single Protein		Q7Z4V5	6	9	9	6	9	6	11	15	89.64143426294821	Confident
