	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P48163				64.10906861395647	72.2	26.92	107.72350162688949					Single Protein		P48163	12	15	15	12	15	12	20	24	100.0	Confident
2	P48147				80.64802916912808	87.18	6.2	43.973958737887045					Single Protein		P48147	3	3	3	3	3	3	4	4	100.0	Confident
3	P21964				30.017630824817328	59.78	5.54	93.46494550930973					Single Protein		P21964	1	1	1	1	1	1	2	2	100.0	Doubtful
4	Q92530				29.798014149229743	62.36	15.5	424.2713606871513					Single Protein		Q92530	3	3	3	3	3	3	11	11	100.0	Confident
5	P68104				50.10910826932214	65.8	24.03	204.87375326196485					Related Proteins	Q5VTE0	P68104, Q5VTE0	8	8	8	8	8	8	18	18	100.0	Confident
6	Q9H4M9				60.58866550092089	77.15	32.02	177.7124212559955					Single Protein		Q9H4M9	15	15	14	14	14	14	27	28	100.0	Confident
7	Q14195				61.9240951899085	75.61	4.74	39.08796332256625					Single Protein		Q14195	2	2	2	2	2	2	2	2	100.0	Confident
8	O14818				27.86961465429308	100.0	4.44	51.066532727868825					Related Proteins	Q8TAA3	O14818, Q8TAA3	1	1	1	1	1	1	1	1	100.0	Doubtful
9	Q9Y5Y2				28.806824673061808	59.78	9.96	58.904651704704506					Single Protein		Q9Y5Y2	1	2	2	1	2	1	1	2	100.0	Doubtful
10	Q9H4A4				72.54946048134059	73.08	50.92	219.11135384651536					Single Protein		Q9H4A4	28	31	31	28	31	28	67	74	100.0	Confident
11	Q7Z4H3				23.375649791375086	100.0	50.98	457.9204173780641					Single Protein		Q7Z4H3	7	7	7	7	7	7	17	17	100.0	Confident
12	P61956				10.864363316841555	63.16	33.68	1266.4500116511467					Single Protein		P61956	4	4	4	4	4	4	12	13	100.0	Confident
13	Q16881				70.86221675622504	95.53	3.54	19.513867667968363					Single Protein		Q16881	1	4	4	1	4	1	2	4	100.0	Doubtful
14	Q15555				37.00819799112354	80.12	8.56	90.66795616059183					Single Protein		Q15555	4	4	4	4	4	4	4	4	100.0	Confident
