	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	G5EFQ4	Kinesin-like protein (G5EFQ4_CAEEL)	klp-6	III	103.52490887288948	84.05	0.0	0.0				Single Protein		G5EFQ4	0	1	1	0	1	0	3	10.416666666666663	0	Doubtful
2	Q19336_REVERSED	Uncharacterized protein (Q19336_REVERSED_CAEEL)-REVERSED			63.2272423509267	87.61	0.0	0.0				Single Protein		Q19336_REVERSED	0	1	1	0	1	0	1	10.416666666666663	1	Doubtful
3	F55H2.6.1_4_REVERSED	ref_frame-1|F55H2.6alt_frame-2-REVERSED			5.843910197643812	100.0	0.0	0.0				Single Protein		F55H2.6.1_4_REVERSED	0	1	1	0	1	0	1	10.416666666666663	1	Doubtful
4	F23C8.4_2_REVERSED	ref_frame-2|F23C8.4alt_frame-3-REVERSED			9.297202698263007	100.0	0.0	0.0				Single Protein		F23C8.4_2_REVERSED	0	1	1	0	1	0	1	10.416666666666663	1	Doubtful
5	Q20209	Uncharacterized protein (Q20209_CAEEL)	CELE_F40F11.4		39.51520663812637	81.71	0.0	0.0				Single Protein		Q20209	0	1	1	0	1	0	1	10.416666666666663	0	Doubtful
6	Q7K7A5	Receptor Mediated Endocytosis (Q7K7A5_CAEEL)	rme-4	X	22.268950419313217	34.93	0.0	0.0				Single Protein		Q7K7A5	0	1	1	0	1	0	2	10.416666666666663	0	Doubtful
7	Q19532_REVERSED	Sorting nexin-17 homolog (SNX17_CAEEL)-REVERSED			62.860431469625865	92.22	0.0	0.0				Single Protein		Q19532_REVERSED	0	1	1	0	1	0	2	10.416666666666663	1	Doubtful
8	Y48E1B.12.1_1	ref_frame-1|Y48E1B.12alt_frame-2			11.359408971019818	100.0	0.0	0.0				Single Protein		Y48E1B.12.1_1	0	1	1	0	1	0	1	10.416666666666663	0	Doubtful
9	G4SFC1	OToPetrin-Like (G4SFC1_CAEEL)	otpl-5	V	64.93149574125476	70.1	0.0	0.0				Single Protein		G4SFC1	0	1	1	0	1	0	1	10.416666666666663	0	Doubtful
10	O01597	HIstone H1 Like (O01597_CAEEL)	hil-8	I	16.976757973958563	100.0	0.0	0.0				Single Protein		O01597	0	1	1	0	1	0	1	10.416666666666663	0	Doubtful
