	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	F56D12.4a.2_4	ref_frame-3|F56D12.4alt_frame-1			22.06252437947449	62.16	0.0	0.0					Single Protein		F56D12.4a.2_4	0	1	1	0	1	0	0	1	0.0	Doubtful
2	Q86GC1	Uncharacterized protein (Q86GC1_CAEEL)	CELE_T04B2.7		40.52313000422442	92.92	0.0	0.0					Single Protein		Q86GC1	0	1	1	0	1	0	0	1	0.0	Doubtful
3	Q9TYS3	Ferritin (Q9TYS3_CAEEL)	ftn-2	I	19.58070075291597	100.0	21.18	345.58387270468137					Single Protein		Q9TYS3	4	5	5	4	5	4	7	8	100.0	Confident
4	F30H5.3_2	ref_frame-1|F30H5.3alt_frame-2			24.81163204416632	30.84	0.0	0.0					Single Protein		F30H5.3_2	0	1	1	0	1	0	0	1	0.0	Doubtful
5	O61772	Uncharacterized protein (O61772_CAEEL)	C35E7.4	I	73.86354823093285	68.73	0.0	0.0					Single Protein		O61772	0	1	1	0	1	0	0	1	0.0	Doubtful
6	Q22623	Mitochondrial Ribosomal Protein, Large (Q22623_CAEEL)	mrpl-50	II	32.88662009125559	82.11	0.0	0.0					Single Protein		Q22623	0	1	1	0	1	0	0	1	0.0	Doubtful
7	ZK617.1e.1_21	ref_frame-1|ZK617.1alt_frame-2			17.835034104711195	76.97	0.0	0.0					Single Protein		ZK617.1e.1_21	0	1	1	0	1	0	0	2	0.0	Doubtful
8	ZK617.1e.1_22	ref_frame-1|ZK617.1alt_frame-2			37.42378376707574	76.0	0.0	0.0					Single Protein		ZK617.1e.1_22	0	1	1	0	1	0	0	1	0.0	Doubtful
9	Q6BES8	Uncharacterized protein (Q6BES8_CAEEL)	CELE_F53F4.16		7.437913756317785	100.0	0.0	0.0					Single Protein		Q6BES8	0	1	1	0	1	0	0	1	0.0	Doubtful
10	F52D2.6_2	ref_frame-1|F52D2.6alt_frame-2			11.629750122136125	7.92	0.0	0.0					Single Protein		F52D2.6_2	0	1	1	0	1	0	0	2	0.0	Doubtful
11	P48162	60S ribosomal protein L23a 1 (R23A1_CAEEL)	rpl-25.1	X	16.686265661204988	100.0	31.97	776.3507437037717	Oxidation of M(M78)	Oxidation of M(1)			Single Protein		P48162	8	9	7	6	7	6	22	23	100.0	Confident
12	ZK1307.8.1_1	ref_frame-3|ZK1307.8alt_frame-1			17.204455455397568	100.0	0.0	0.0					Single Protein		ZK1307.8.1_1	0	1	1	0	1	0	0	1	0.0	Doubtful
