	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	P68104				50.10910826932214	65.8	33.12	311.11054958419464				Related Proteins	Q5VTE0	P68104, Q5VTE0	17	19	19	17	19	30	34	100.0	0	Confident
2	P42166				75.44563063772452	80.69	3.6	35.95096126442876				Related Proteins	P42167	P42166, P42167	2	2	0	0	2	3	3	100.0	0	Confident
3	P40222				61.85324680867071	81.87	2.93	44.276447030928054				Single Protein		P40222	1	2	2	1	2	1	2	100.0	0	Doubtful
4	O95166				13.909279966840828	59.83	9.4	600.8946382768808				Single Protein		O95166	1	2	2	1	2	2	3	100.0	0	Doubtful
5	Q96A65				110.42857024859269	87.06	1.03	22.517465031788895				Single Protein		Q96A65	1	1	1	1	1	1	1	100.0	0	Doubtful
6	O75348				13.749083045087946	100.0	13.56	356.46292101170894				Related Proteins	O95670	O75348, O95670	1	1	1	1	1	2	2	100.0	0	Doubtful
7	P60660				16.91913314499716	82.12	26.49	510.6941186238391				Single Protein		P60660	3	3	3	3	3	6	6	100.0	0	Confident
8	Q9Y5S9				19.87673069226684	69.54	45.98	828.2533419010032				Single Protein		Q9Y5S9	12	12	12	12	12	25	30	100.0	0	Confident
9	P17844				69.10473382539206	71.5	6.03	134.8674632576999				Single Protein		P17844	5	8	8	5	8	9	12	100.0	0	Confident
10	Q09666				628.6993855112892	92.87	2.16	9.505815013227444				Single Protein		Q09666	3	6	6	3	6	4	7	100.0	0	Confident
11	Q14204				532.0718395312898	85.56	0.62	7.345045054606808				Single Protein		Q14204	2	7	7	2	7	2	7	100.0	0	Doubtful
12	P55265				135.98089361153657	86.13	2.94	73.02539006837094				Single Protein		P55265	3	5	5	3	5	6	8	100.0	0	Confident
13	P35658				213.4882520520574	42.92	2.15	65.94955264876397				Single Protein		P35658	3	5	5	3	5	5	7	100.0	0	Confident
14	Q96IZ0				36.545442633375764	71.18	44.41	653.114596045672				Single Protein		Q96IZ0	14	18	18	14	18	27	33	100.0	0	Confident
15	Q14240				46.37277812900458	92.38	22.6	201.62998279060227	Oxidation of M(M179, M188)	Oxidation of M(2)		Single Protein		Q14240	9	12	2	2	2	18	22	100.0	0	Confident
16	P61978				50.94440274865072	77.11	42.76	499.37926315933333				Single Protein		P61978	20	21	21	20	21	43	48	100.0	0	Confident
17	Q9Y6G9				56.54400024323288	78.97	11.85	111.12289144021038				Single Protein		Q9Y6G9	5	5	5	5	5	6	6	100.0	0	Confident
18	Q92576				229.33879865193032	74.99	2.01	36.615780000402815				Single Protein		Q92576	4	9	9	4	9	5	11	100.0	0	Confident
19	Q7Z4V5				74.27222971678142	88.97	4.02	67.51625149178436				Single Protein		Q7Z4V5	2	5	5	2	5	3	6	100.0	0	Confident
20	Q8IX18				88.50375233452795	87.16	1.54	59.66329741756263				Single Protein		Q8IX18	2	2	2	2	2	3	4	100.0	0	Confident
