	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	NM_001042422_2	Homo sapiens solute carrier family 16, member 3 (monocarboxylic acid transporter 4) (SLC16A3), transcript variant 1, mRNA|SLC16A3|frame-1			7.8359461532419035	50.68	0.0	0.0					Related Proteins	NM_001042423_2, NM_004207_2	NM_001042422_2, NM_001042423_2, NM_004207_2	0	1	1	0	1	0	0	1	0.0	Doubtful
2	Q9H4M3				29.72779608351971	89.02	0.0	0.0					Single Protein		Q9H4M3	0	1	1	0	1	0	0	1	0.0	Doubtful
3	Q6YHU6				219.46505332386198	78.29	0.0	0.0					Single Protein		Q6YHU6	0	2	2	0	2	0	0	3	0.0	Doubtful
4	O14543				24.754626053395093	68.44	0.0	0.0					Single Protein		O14543	0	1	1	0	1	0	0	1	0.0	Doubtful
5	Q9H4L5				101.1601397300788	90.08	0.0	0.0					Single Protein		Q9H4L5	0	1	1	0	1	0	0	1	0.0	Doubtful
6	Q9NXC2				43.12996478188238	75.64	0.0	0.0					Single Protein		Q9NXC2	0	1	1	0	1	0	0	1	0.0	Doubtful
7	Q7Z4N8				61.0881970249655	79.04	0.0	0.0					Single Protein		Q7Z4N8	0	2	2	0	2	0	0	2	79.41176470588236	Doubtful
8	NM_032291_1	Homo sapiens SH3-domain GRB2-like (endophilin) interacting protein 1 (SGIP1), mRNA|SGIP1|frame-3			12.409715896569521	100.0	0.0	0.0					Single Protein		NM_032291_1	0	1	1	0	1	0	0	1	0.0	Doubtful
9	NM_024103_1	Homo sapiens solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23 (SLC25A23), nuclear gene encoding mitochondrial protein, mRNA|SLC25A23|frame-3			11.704654686652152	100.0	0.0	0.0					Single Protein		NM_024103_1	0	1	1	0	1	0	0	1	0.0	Doubtful
10	Q8WXB4				91.75271811367953	83.71	0.0	0.0					Single Protein		Q8WXB4	0	1	1	0	1	0	0	1	0.0	Doubtful
11	Q5VVW2				112.78156224949764	76.01	0.0	0.0					Single Protein		Q5VVW2	0	1	1	0	1	0	0	1	0.0	Doubtful
12	Q96QZ7				164.48081035871195	72.23	0.94	0.0					Single Protein		Q96QZ7	1	1	1	1	1	1	0	10	54.28571428571429	Doubtful
13	P42858				347.38278202173234	70.31	0.0	0.0					Single Protein		P42858	0	1	1	0	1	0	0	1	0.0	Doubtful
14	Q9UKV3				151.77079068994243	88.44	0.0	0.0					Single Protein		Q9UKV3	0	1	1	0	1	0	0	1	0.0	Doubtful
15	Q86XD8				80.30719826815744	79.5	0.0	0.0					Single Protein		Q86XD8	0	2	2	0	2	0	0	4	0.0	Doubtful
16	NM_152384_1	Homo sapiens Bardet-Biedl syndrome 5 (BBS5), mRNA|BBS5|frame-3			10.638446220665415	100.0	0.0	0.0					Single Protein		NM_152384_1	0	1	1	0	1	0	0	1	0.0	Doubtful
17	Q9UKV5				72.94883997627815	56.92	0.0	0.0					Single Protein		Q9UKV5	0	1	1	0	1	0	0	2	51.35135135135135	Doubtful
18	NM_153271_3	Homo sapiens sorting nexin 33 (SNX33), mRNA|SNX33|frame-3			5.818777954687642	36.21	0.0	0.0					Single Protein		NM_153271_3	0	1	1	0	1	0	0	1	0.0	Doubtful
19	Q8WXA8				50.1867233857845	52.57	0.0	0.0					Single Protein		Q8WXA8	0	1	1	0	1	0	0	1	0.0	Doubtful
20	NM_003170_5	Homo sapiens suppressor of Ty 6 homolog (S. cerevisiae) (SUPT6H), mRNA|SUPT6H|frame-2			5.381727271572552	100.0	0.0	0.0					Single Protein		NM_003170_5	0	1	1	0	1	0	0	1	0.0	Doubtful
21	O14569				23.958059641430484	44.14	0.0	0.0					Single Protein		O14569	0	1	1	0	1	0	0	1	0.0	Doubtful
22	Q9NXE8				49.61699015371626	92.94	0.0	0.0					Single Protein		Q9NXE8	0	1	1	0	1	0	0	1	0.0	Doubtful
23	NM_001076680_1	Homo sapiens hypothetical protein LOC201229 (LOC201229), mRNA|C17orf108|frame-2			10.131256505619426	100.0	0.0	0.0					Single Protein		NM_001076680_1	0	1	1	0	1	0	0	1	0.0	Doubtful
24	NM_018923_1	Homo sapiens protocadherin gamma subfamily B, 2 (PCDHGB2), transcript variant 1, mRNA|PCDHGB2|frame-2			5.036750673078781	100.0	0.0	0.0					Related Proteins	NM_032096_1	NM_018923_1, NM_032096_1	0	1	1	0	1	0	0	1	0.0	Doubtful
25	NM_031427_8	Homo sapiens dynein, axonemal, light chain 1 (DNAL1), mRNA|DNAL1|frame-3			6.00515760657486	100.0	0.0	0.0					Single Protein		NM_031427_8	0	1	1	0	1	0	0	4	0.0	Doubtful
26	Q9UKX2				222.90603896443594	93.66	0.0	0.0					Single Protein		Q9UKX2	0	2	2	0	2	0	0	2	0.0	Doubtful
27	NM_001105531_2	Homo sapiens family with sequence similarity 135, member A (FAM135A), transcript variant 1, mRNA|FAM135A|frame-1			6.493793484091341	100.0	0.0	0.0					Related Proteins	NM_020819_2	NM_001105531_2, NM_020819_2	0	1	1	0	1	0	0	2	0.0	Doubtful
28	Q9UKP4				183.97687314216589	57.12	0.0	0.0					Single Protein		Q9UKP4	0	1	1	0	1	0	0	1	0.0	Doubtful
29	NM_080473_4	Homo sapiens GATA binding protein 5 (GATA5), mRNA|GATA5|frame-2			10.018833225311665	66.3	0.0	0.0					Single Protein		NM_080473_4	0	1	1	0	1	0	0	1	0.0	Doubtful
30	Q92538				206.3146113362693	71.17	0.59	11.027495743978191					Single Protein		Q92538	1	1	1	1	1	1	2	2	100.0	Doubtful
31	Q9UL16				65.68929249761662	100.0	0.0	0.0					Single Protein		Q9UL16	0	1	1	0	1	0	0	1	0.0	Doubtful
32	Q9H4Q3				73.93421384148398	70.72	0.0	0.0					Single Protein		Q9H4Q3	0	1	1	0	1	0	0	1	0.0	Doubtful
33	Q8WXG9				692.6371808529565	54.0	0.0	0.0					Single Protein		Q8WXG9	0	1	1	0	1	0	0	1	0.0	Doubtful
34	Q86XI2				130.87607918483545	87.58	10.24	57.733882664831135					Single Protein		Q86XI2	8	14	14	8	14	8	24	32	100.0	Confident
35	P54819				26.460771885631072	100.0	0.0	0.0					Single Protein		P54819	0	1	1	0	1	0	0	1	0.0	Doubtful
36	NM_001032279_3	Homo sapiens RCE1 homolog, prenyl protein peptidase (S. cerevisiae) (RCE1), transcript variant 2, mRNA|RCE1|frame-3			8.731073125238593	100.0	0.0	0.0					Related Proteins	NM_005133_2	NM_001032279_3, NM_005133_2	0	1	1	0	1	0	0	2	0.0	Doubtful
37	NM_002465_5	Homo sapiens myosin binding protein C, slow type (MYBPC1), transcript variant 1, mRNA|MYBPC1|frame-2			5.266539530372522	100.0	0.0	0.0					Related Proteins	NM_206819_5, NM_206820_5, NM_206821_5	NM_002465_5, NM_206819_5, NM_206820_5, NM_206821_5	0	1	1	0	1	0	0	1	0.0	Doubtful
38	O14503				45.48123632897692	73.3	0.0	0.0					Single Protein		O14503	0	1	1	0	1	0	0	1	0.0	Doubtful
39	NM_001042413_1	Homo sapiens GLIS family zinc finger 3 (GLIS3), transcript variant 1, mRNA|GLIS3|frame-1			6.9487066982706915	100.0	0.0	0.0					Single Protein		NM_001042413_1	0	1	1	0	1	0	0	2	0.0	Doubtful
40	NM_018208_5	Homo sapiens ethanolamine kinase 2 (ETNK2), mRNA|ETNK2|frame-2			5.599900678505934	100.0	0.0	0.0					Single Protein		NM_018208_5	0	1	1	0	1	0	0	1	0.0	Doubtful
41	NM_018208_4	Homo sapiens ethanolamine kinase 2 (ETNK2), mRNA|ETNK2|frame-2			4.468225164235821	100.0	0.0	0.0					Single Protein		NM_018208_4	0	1	1	0	1	0	1	2	52.77777777777778	Doubtful
42	Q9Y5Z6				37.968373559198476	67.79	0.0	0.0					Single Protein		Q9Y5Z6	0	1	1	0	1	0	0	3	0.0	Doubtful
43	P54826				35.66998519440582	64.64	0.0	0.0					Single Protein		P54826	0	1	1	0	1	0	0	2	0.0	Doubtful
44	NM_138813_1	Homo sapiens ATPase, class I, type 8B, member 3 (ATP8B3), mRNA|ATP8B3|frame-2			5.103618006264972	100.0	0.0	0.0					Single Protein		NM_138813_1	0	1	1	0	1	0	0	1	0.0	Doubtful
45	NM_173855_3	Homo sapiens MORN repeat containing 3 (MORN3), mRNA|MORN3|frame-2			10.512320259747872	100.0	0.0	0.0					Single Protein		NM_173855_3	0	1	1	0	1	0	0	1	0.0	Doubtful
46	Q86XH1				95.28113396998967	100.0	0.0	0.0					Single Protein		Q86XH1	0	1	1	0	1	0	0	2	0.0	Doubtful
47	O14511				91.62162136761552	87.53	0.0	0.0					Single Protein		O14511	0	1	1	0	1	0	0	1	0.0	Doubtful
48	NM_001099269_1	Homo sapiens zinc finger protein 506 (ZNF506), transcript variant 1, mRNA|ZNF506|frame-3			8.072722399657884	100.0	0.0	0.0					Related Proteins	NM_001145404_1	NM_001099269_1, NM_001145404_1	0	1	1	0	1	0	0	1	0.0	Doubtful
49	Q9UL36				203.57421561816534	58.59	0.0	0.0					Single Protein		Q9UL36	0	1	1	0	1	0	0	1	0.0	Doubtful
50	P68104				50.10910826932214	65.8	27.71	791.4224052891153	Oxidation of M(M276)	Oxidation of M(1)			Related Proteins	Q5VTE0	P68104, Q5VTE0	8	11	11	8	11	8	154	159	100.0	Confident
51	NM_001145453_15	Homo sapiens GDNF family receptor alpha 1 (GFRA1), transcript variant 3, mRNA|GFRA1|frame-3			7.6346244698786325	36.76	0.0	0.0					Related Proteins	NM_005264_15, NM_145793_15	NM_001145453_15, NM_005264_15, NM_145793_15	0	1	1	0	1	0	0	1	0.0	Doubtful
52	Q7Z4Q2				74.53498432741988	73.24	0.0	0.0					Single Protein		Q7Z4Q2	0	1	1	0	1	0	0	1	0.0	Doubtful
53	Q8WXE9				101.10151336513027	54.48	0.0	0.0					Single Protein		Q8WXE9	0	1	1	0	1	0	0	1	0.0	Doubtful
54	Q9H501				98.73498476094788	85.19	0.0	0.0					Single Protein		Q9H501	0	1	1	0	1	0	0	1	0.0	Doubtful
55	NM_001010978_2	Homo sapiens low density lipoprotein receptor class A domain containing 1 (LDLRAD1), mRNA|LDLRAD1|frame-2			7.420646678958531	100.0	0.0	0.0					Single Protein		NM_001010978_2	0	1	1	0	1	0	0	1	0.0	Doubtful
56	P40227				57.987597263605494	86.44	40.11	721.0781668332702					Single Protein		P40227	16	18	18	16	18	16	215	224	100.0	Confident
57	Q9UL45				19.73125699583625	73.26	0.0	0.0					Single Protein		Q9UL45	0	1	1	0	1	0	0	1	35.29411764705882	Doubtful
58	NM_000495_6	Homo sapiens collagen, type IV, alpha 5 (COL4A5), transcript variant 1, mRNA|COL4A5|frame-3			15.26962323805064	69.12	0.0	0.0					Related Proteins	NM_033380_6, NM_033381_6	NM_000495_6, NM_033380_6, NM_033381_6	0	1	1	0	1	0	0	1	0.0	Doubtful
59	NM_002711_2	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 3A (PPP1R3A), mRNA|PPP1R3A|frame-3			7.7304571730734235	100.0	0.0	0.0					Single Protein		NM_002711_2	0	1	1	0	1	0	0	1	0.0	Doubtful
60	Q9NXA8				33.85915025186294	80.32	0.0	0.0					Single Protein		Q9NXA8	0	1	1	0	1	0	0	1	0.0	Doubtful
61	Q06546				51.26311034901182	75.33	0.0	0.0					Single Protein		Q06546	0	1	1	0	1	0	2	2	50.0	Doubtful
62	Q9UL51				96.88834087019703	70.87	0.0	0.0					Single Protein		Q9UL51	0	1	1	0	1	0	0	1	0.0	Doubtful
63	Q9UL54				138.16557688046603	65.26	0.0	0.0					Single Protein		Q9UL54	0	1	1	0	1	0	0	1	0.0	Doubtful
64	Q92503				81.1980506929353	86.71	0.0	0.0					Single Protein		Q92503	0	1	1	0	1	0	0	2	0.0	Doubtful
