	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q9H4L7				117.32797618478314	68.32	2.53	31.635363779155437				Single Protein		Q9H4L7	2	2	2	2	2	2	3	100.0	0	Confident
2	Q8WXA9				59.34501049295324	88.39	7.09	120.90486468826444				Single Protein		Q8WXA9	2	4	4	2	4	4	6	100.0	0	Confident
3	P68104				50.10910826932214	55.63	20.35	271.50827965578213				Related Proteins	Q5VTE0	P68104, Q5VTE0	8	10	6	5	6	20	23	100.0	0	Confident
4	Q9Y5U2				34.30462719879434	42.86	9.73	470.56668770318214				Single Protein		Q9Y5U2	3	4	4	3	4	6	7	100.0	0	Confident
5	P17844				69.10473382539206	71.5	5.86	105.70027831836674				Single Protein		P17844	3	6	2	1	2	6	10	100.0	0	Confident
6	Q9Y5T4				16.372806280985248	100.0	6.0	120.6361872111794	Oxidation of M(M92)	Oxidation of M(1)		Single Protein		Q9Y5T4	1	2	2	1	2	1	3	98.49624060150376	0	Doubtful
7	P35659				42.6479204774305	100.0	21.07	439.61358507845347				Single Protein		P35659	9	12	12	9	12	29	33	100.0	0	Confident
8	A0JLT2				26.2565288441623	46.31	4.51	192.50455406039265				Single Protein		A0JLT2	1	1	1	1	1	2	2	100.0	0	Doubtful
9	P22314				117.77432920492443	66.92	1.7	39.55284826596046				Single Protein		P22314	1	2	2	1	2	3	3	100.0	0	Doubtful
10	P61964				36.56545229372351	75.75	4.79	108.35585677650845				Single Protein		P61964	1	1	1	1	1	2	3	100.0	0	Doubtful
11	P61978				50.94440274865072	72.14	4.1	47.37023058030605				Single Protein		P61978	1	1	1	1	1	1	1	100.0	0	Doubtful
12	Q7Z3V4_REVERSED				123.01916336735	75.66	1.03	39.63949196424296				Single Protein		Q7Z3V4_REVERSED	1	1	1	1	1	2	2	99.23076923076923	1	Doubtful
13	Q5JTH9				143.61109332804048	70.16	1.46	56.85278122609443				Single Protein		Q5JTH9	2	4	4	2	4	5	8	100.0	0	Confident
