	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q9UKT9				57.98577931559534	90.96	0.0	0.0				Single Protein		Q9UKT9	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
2	NM_001048218_4_REVERSED	Homo sapiens SCY1-like 1 (S. cerevisiae) (SCYL1), transcript variant B, mRNA|SCYL1|frame-3-REVERSED			4.8004780971393215	100.0	0.0	0.0				Related Proteins	NM_020680_4_REVERSED	NM_001048218_4_REVERSED, NM_020680_4_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
3	Q9UL58				59.99598879165774	94.58	0.0	0.0				Single Protein		Q9UL58	0	2	2	0	2	0	2	18.11594202898551	0	Doubtful
4	NM_018288_2_REVERSED	Homo sapiens PHD finger protein 10 (PHF10), transcript variant 1, mRNA|PHF10|frame-3-REVERSED			6.571934813564044	100.0	0.0	0.0				Related Proteins	NM_133325_2_REVERSED	NM_018288_2_REVERSED, NM_133325_2_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
5	Q9P0X4_REVERSED				244.94538664512393	48.94	0.0	0.0				Single Protein		Q9P0X4_REVERSED	0	2	2	0	2	0	2	18.11594202898551	1	Doubtful
6	Q6ZMS4_REVERSED				62.044019686905266	94.29	0.0	0.0				Single Protein		Q6ZMS4_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
7	NM_080723_1	Homo sapiens neurensin 1 (NRSN1), mRNA|NRSN1|frame-2			5.439567929948332	100.0	0.0	0.0				Single Protein		NM_080723_1	0	1	1	0	1	0	2	18.11594202898551	0	Doubtful
8	NM_001101669_2_REVERSED	Homo sapiens inositol polyphosphate-4-phosphatase, type II, 105kDa (INPP4B), transcript variant 2, mRNA|INPP4B|frame-3-REVERSED			7.729055454310332	100.0	0.0	0.0				Related Proteins	NM_003866_2_REVERSED	NM_001101669_2_REVERSED, NM_003866_2_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
9	P07602_REVERSED				58.073849462282354	74.05	0.0	0.0				Single Protein		P07602_REVERSED	0	2	2	0	2	0	3	18.11594202898551	1	Doubtful
10	Q7Z3C6_REVERSED				94.3870244290798	69.01	0.0	0.0				Single Protein		Q7Z3C6_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
11	NM_020697_6	Homo sapiens potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2 (KCNS2), mRNA|KCNS2|frame-2			6.7133625034474225	100.0	0.0	0.0				Single Protein		NM_020697_6	0	2	2	0	2	0	4	18.11594202898551	0	Doubtful
12	P15248				15.89791750766963	56.25	0.0	0.0				Single Protein		P15248	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
13	Q6YHU6				219.46505332386198	78.29	0.0	0.0				Single Protein		Q6YHU6	0	2	2	0	2	0	2	18.11594202898551	0	Doubtful
14	O00192_REVERSED				104.57742379776047	82.74	0.0	0.0				Single Protein		O00192_REVERSED	0	1	1	0	1	0	2	18.11594202898551	1	Doubtful
15	NM_004440_3	Homo sapiens EPH receptor A7 (EPHA7), mRNA|EPHA7|frame-1			5.221695309308032	100.0	0.0	0.0				Single Protein		NM_004440_3	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
16	NM_007345_6	Homo sapiens zinc finger protein 236 (ZNF236), mRNA|ZNF236|frame-2			8.627430363778634	100.0	0.0	0.0				Single Protein		NM_007345_6	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
17	NM_006344_3	Homo sapiens C-type lectin domain family 10, member A (CLEC10A), transcript variant 2, mRNA|CLEC10A|frame-2			11.428928192630558	100.0	0.0	0.0				Related Proteins	NM_182906_2	NM_006344_3, NM_182906_2	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
18	P49247_REVERSED				33.247977926236246	100.0	0.0	0.0				Single Protein		P49247_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
19	NM_004560_2	Homo sapiens receptor tyrosine kinase-like orphan receptor 2 (ROR2), mRNA|ROR2|frame-3			5.1176048479407505	100.0	0.0	0.0				Single Protein		NM_004560_2	0	1	1	0	1	0	2	18.11594202898551	0	Doubtful
20	Q2TAC6				111.26410254745433	92.38	0.0	0.0				Single Protein		Q2TAC6	0	2	2	0	2	0	4	18.11594202898551	0	Doubtful
21	P10696_REVERSED				57.34097539174472	81.02	0.0	0.0				Single Protein		P10696_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
22	Q9H4L7				117.32797618478314	75.54	0.0	0.0				Single Protein		Q9H4L7	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
23	P30876				133.81068609894038	81.01	1.53	102.12244123428653	Oxidation of M(M200)	Oxidation of M(1)		Single Protein		P30876	1	1	1	1	1	5	20	100.0	0	Doubtful
24	Q6ZNC4_REVERSED				45.24743934258452	66.26	0.0	0.0				Single Protein		Q6ZNC4_REVERSED	0	2	2	0	2	0	55	18.11594202898551	1	Doubtful
25	Q6V1X1_REVERSED				103.29265198565069	80.29	0.0	0.0				Single Protein		Q6V1X1_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
26	O95613_REVERSED				377.8055060829507	88.37	0.0	0.0				Single Protein		O95613_REVERSED	0	2	2	0	2	0	2	18.11594202898551	1	Doubtful
27	Q7Z4N2				182.0622402206764	81.47	0.0	0.0				Single Protein		Q7Z4N2	0	2	2	0	2	0	5	18.11594202898551	0	Doubtful
28	Q9H6P5_REVERSED				44.42719095440282	65.48	0.0	0.0				Single Protein		Q9H6P5_REVERSED	0	1	1	0	1	0	3	18.11594202898551	1	Doubtful
29	Q9UKV3				151.77079068994243	86.43	0.0	0.0				Single Protein		Q9UKV3	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
30	NM_020819_1_REVERSED	Homo sapiens family with sequence similarity 135, member A (FAM135A), transcript variant 2, mRNA|FAM135A|frame-1-REVERSED			6.391237798913085	100.0	0.0	0.0				Single Protein		NM_020819_1_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
31	Q16630_REVERSED				59.17341918917895	56.44	0.0	0.0				Single Protein		Q16630_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
32	O14556				44.47278994794948	74.02	11.03	469.9232781393578				Single Protein		O14556	7	7	3	3	3	16	19	100.0	0	Confident
33	Q9Y4D2_REVERSED				114.87857489181063	70.35	0.0	0.0				Single Protein		Q9Y4D2_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
34	NM_001005505_12_REVERSED	Homo sapiens calcium channel, voltage-dependent, alpha 2/delta subunit 2 (CACNA2D2), transcript variant 1, mRNA|CACNA2D2|frame-3-REVERSED			8.389028816304297	51.32	0.0	0.0				Related Proteins	NM_006030_12_REVERSED	NM_001005505_12_REVERSED, NM_006030_12_REVERSED	0	1	1	0	1	0	2	18.11594202898551	1	Doubtful
35	NM_001143836_6_REVERSED	Homo sapiens NADPH oxidase 4 (NOX4), transcript variant 2, mRNA|NOX4|frame-1-REVERSED			6.4242582811893305	100.0	0.0	0.0				Related Proteins	NM_001143837_6_REVERSED, NM_016931_6_REVERSED	NM_001143836_6_REVERSED, NM_001143837_6_REVERSED, NM_016931_6_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
36	P49790_REVERSED				153.84317969003024	62.17	0.0	0.0				Single Protein		P49790_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
37	NM_153610_9_REVERSED	Homo sapiens cardiomyopathy associated 5 (CMYA5), mRNA|CMYA5|frame-2-REVERSED			13.281195737450311	100.0	0.0	0.0				Single Protein		NM_153610_9_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
38	NM_145719_1	Homo sapiens tigger transposable element derived 3 (TIGD3), mRNA|TIGD3|frame-3			7.452703507889609	100.0	0.0	0.0				Single Protein		NM_145719_1	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
39	O14734_REVERSED				35.89103093560623	77.74	0.0	0.0				Single Protein		O14734_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
40	Q5VVS0				13.916930876303386	100.0	0.0	0.0				Single Protein		Q5VVS0	0	1	1	0	1	0	2	18.11594202898551	0	Doubtful
41	NM_001001664_5_REVERSED	Homo sapiens speckle-type POZ protein-like (SPOPL), mRNA|SPOPL|frame-3-REVERSED			9.173753838202414	100.0	0.0	0.0				Single Protein		NM_001001664_5_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
42	Q96QZ0				44.65449798327014	64.03	0.0	0.0				Single Protein		Q96QZ0	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
43	NM_001135914_6_REVERSED	Homo sapiens kielin/chordin-like protein (KCP), transcript variant 1, mRNA|KCP|frame-3-REVERSED			23.956444203248594	73.14	0.0	0.0				Single Protein		NM_001135914_6_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
44	NM_032876_8	Homo sapiens jub, ajuba homolog (Xenopus laevis) (JUB), transcript variant 1, mRNA|JUB|frame-1			4.706244334347	100.0	0.0	0.0				Related Proteins	NM_198086_7	NM_032876_8, NM_198086_7	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
45	NM_023073_4	Homo sapiens chromosome 5 open reading frame 42 (C5orf42), mRNA|C5orf42|frame-1			7.269849716592583	100.0	0.0	0.0				Single Protein		NM_023073_4	0	1	1	0	1	0	4	18.11594202898551	0	Doubtful
46	NM_004749_2	Homo sapiens transforming growth factor beta regulator 4 (TBRG4), transcript variant 1, mRNA|TBRG4|frame-2			5.2552532955982105	100.0	0.0	0.0				Related Proteins	NM_030900_2, NM_199122_2	NM_004749_2, NM_030900_2, NM_199122_2	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
47	NM_001263_2	Homo sapiens CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1 (CDS1), mRNA|CDS1|frame-3			13.387232537752967	100.0	0.0	0.0				Single Protein		NM_001263_2	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
48	Q06278_REVERSED				147.82182617668684	71.67	0.0	0.0				Single Protein		Q06278_REVERSED	0	2	2	0	2	0	3	18.11594202898551	1	Doubtful
49	NM_003420_3	Homo sapiens zinc finger protein 35 (ZNF35), mRNA|ZNF35|frame-1			24.362076688176955	87.33	0.0	0.0				Single Protein		NM_003420_3	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
50	Q96H55_REVERSED				109.06553550550238	74.74	0.0	0.0				Single Protein		Q96H55_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
51	NM_018328_1	Homo sapiens methyl-CpG binding domain protein 5 (MBD5), mRNA|MBD5|frame-1			9.420968765236724	100.0	0.0	0.0				Single Protein		NM_018328_1	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
52	Q9UPE1_REVERSED				61.9751838431319	70.72	0.0	0.0				Single Protein		Q9UPE1_REVERSED	0	2	2	0	2	0	2	18.11594202898551	1	Doubtful
53	Q15406_REVERSED				54.347633810148245	67.29	0.0	0.0				Single Protein		Q15406_REVERSED	0	2	2	0	2	0	13	18.11594202898551	1	Doubtful
54	NM_152527_5	Homo sapiens solute carrier family 16, member 14 (monocarboxylic acid transporter 14) (SLC16A14), mRNA|SLC16A14|frame-1			9.050343133384587	100.0	0.0	0.0				Single Protein		NM_152527_5	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
55	Q13702				46.298093681967984	100.0	0.0	0.0				Single Protein		Q13702	0	1	1	0	1	0	4	18.11594202898551	0	Doubtful
56	Q9NXE8				49.61699015371626	92.94	0.0	0.0				Single Protein		Q9NXE8	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
57	Q86XA9				221.86276015291375	74.41	0.0	0.0				Single Protein		Q86XA9	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
58	NM_001083956_1	Homo sapiens zinc finger protein 655 (ZNF655), transcript variant 7, mRNA|ZNF655|frame-1			10.584535714734034	100.0	0.0	0.0				Related Proteins	NM_001085366_1, NM_024061_1, NM_138494_1	NM_001083956_1, NM_001085366_1, NM_024061_1, NM_138494_1	0	2	2	0	2	0	2	18.11594202898551	0	Doubtful
59	P35968_REVERSED				151.43063001309736	79.72	0.0	0.0				Single Protein		P35968_REVERSED	0	3	3	0	3	0	4	18.11594202898551	1	Doubtful
60	P07205_REVERSED				44.7673297805566	100.0	0.0	0.0				Single Protein		P07205_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
61	Q05BV3				219.28673691173674	81.16	0.0	0.0				Single Protein		Q05BV3	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
62	Q9Y6B7				83.20568052139373	87.42	0.0	0.0				Single Protein		Q9Y6B7	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
63	NM_152770_1_REVERSED	Homo sapiens chromosome 4 open reading frame 22 (C4orf22), mRNA|C4orf22|frame-2-REVERSED			5.410699336664191	100.0	0.0	0.0				Single Protein		NM_152770_1_REVERSED	0	1	1	0	1	0	1	18.11594202898551	1	Doubtful
64	Q9Y5Y9				220.4835441589555	66.97	0.0	0.0				Single Protein		Q9Y5Y9	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
65	NM_007045_3	Homo sapiens FGFR1 oncogene partner (FGFR1OP), transcript variant 1, mRNA|FGFR1OP|frame-3			4.867549213474251	100.0	0.0	0.0				Related Proteins	NM_194429_3	NM_007045_3, NM_194429_3	0	1	1	0	1	0	2	18.11594202898551	0	Doubtful
66	Q92538				206.3146113362693	69.71	0.0	0.0				Single Protein		Q92538	0	3	3	0	3	0	4	18.11594202898551	0	Doubtful
67	NM_024596_5	Homo sapiens microcephalin 1 (MCPH1), mRNA|MCPH1|frame-2			7.480818778258696	100.0	0.0	0.0				Single Protein		NM_024596_5	0	1	1	0	1	0	1	18.11594202898551	0	Doubtful
