	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	F56D12.4a.2_4	ref_frame-3|F56D12.4alt_frame-1			22.06252437947449	50.27	0.0	0.0					Single Protein		F56D12.4a.2_4	0	1	1	0	1	0	0	1	0.0	Doubtful
2	Q09653	Putative cytochrome P450 CYP13A10 (C13AA_CAEEL)	cyp-13A10	II	59.978821481856976	77.07	0.0	0.0					Single Protein		Q09653	0	1	1	0	1	0	0	1	0.0	Doubtful
3	Q9TYS3	Ferritin (Q9TYS3_CAEEL)	ftn-2	I	19.58070075291597	100.0	16.47	452.0390884309315					Single Protein		Q9TYS3	3	4	4	3	4	3	5	6	100.0	Confident
4	Q09651	Coiled-coil domain-containing protein 130 homolog (CC130_CAEEL)	ZK1307.9	II	42.113897744546875	82.38	0.0	0.0					Single Protein		Q09651	0	1	1	0	1	0	0	1	0.0	Doubtful
5	Q9TYS8	CALUmenin (Calcium-binding protein) homolog (Q9TYS8_CAEEL)	calu-2	I	32.66474741795945	67.48	0.0	0.0					Single Protein		Q9TYS8	0	1	1	0	1	0	0	1	0.0	Doubtful
6	F10G7.11_1	ref_frame-1|F10G7.11alt_frame-2			8.215304158167758	68.57	0.0	0.0					Single Protein		F10G7.11_1	0	1	1	0	1	0	0	1	0.0	Doubtful
7	O61775	Very Early Transcript (O61775_CAEEL)	vet-2	I	90.03774203903373	70.57	0.0	0.0					Single Protein		O61775	0	1	1	0	1	0	0	1	0.0	Doubtful
8	Q22624	Uncharacterized protein (Q22624_CAEEL)	CELE_T21B10.3		135.44809076651882	71.88	0.0	0.0					Single Protein		Q22624	0	1	1	0	1	0	0	1	0.0	Doubtful
9	O61770	Uncharacterized protein (O61770_CAEEL)	C35E7.6	I	46.09531915994638	87.25	0.0	0.0					Single Protein		O61770	0	1	1	0	1	0	0	1	0.0	Doubtful
10	ZK617.1e.1_23	ref_frame-1|ZK617.1alt_frame-2			14.80309402378852	76.19	0.0	0.0					Single Protein		ZK617.1e.1_23	0	1	1	0	1	0	0	1	0.0	Doubtful
11	C24G7.4_1	ref_frame-1|C24G7.4alt_frame-2			7.736219414971046	100.0	0.0	0.0					Single Protein		C24G7.4_1	0	1	1	0	1	0	0	2	0.0	Doubtful
12	P48162	60S ribosomal protein L23a 1 (R23A1_CAEEL)	rpl-25.1	X	16.686265661204988	100.0	25.17	873.0197088812344	Oxidation of M(M78)	Oxidation of M(1)			Single Protein		P48162	4	4	3	3	3	3	10	10	100.0	Confident
