	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q5T750				26.21926892884959	58.4	3.2	1294.5528325820535				Single Protein		Q5T750	1	1	1	1	1	1	1	7.003891050583655	0	Doubtful
2	Q5T749				64.09324036673164	55.61	3.8	1760.9134803445324				Single Protein		Q5T749	2	3	3	2	3	4	6	7.003891050583655	0	Doubtful
3	Q5THJ4				491.6060420525409	81.52	0.48	49.98802262813537				Single Protein		Q5THJ4	1	3	3	1	3	1	4	7.003891050583655	0	Doubtful
4	Q5D862				247.9278151013042	47.76	0.46	146.97100587634512				Single Protein		Q5D862	1	2	2	1	2	1	3	7.003891050583655	0	Doubtful
5	Q9Y3X0				59.66705859160679	77.4	1.69	459.86548310700687				Single Protein		Q9Y3X0	1	1	1	1	1	1	2	7.003891050583655	0	Doubtful
6	Q8N1G0				129.44630177549257	68.15	2.1	203.66887236743514	Oxidation of M(M831)	Oxidation of M(1)		Single Protein		Q8N1G0	1	1	1	1	1	1	2	7.003891050583655	0	Doubtful
7	O00522				84.29444262479272	82.47	1.09	567.5817223933328				Single Protein		O00522	1	1	1	1	1	2	10	7.003891050583655	0	Doubtful
8	P02533				51.52938407421822	87.29	20.34	2066.536619115798	Oxidation of M(M119)	Oxidation of M(1)		Single Protein		P02533	11	12	5	4	9	21	26	7.003891050583655	0	Doubtful
9	P35527				62.02681468242336	63.72	33.23	2481.740952099294	Oxidation of M(M157, M245, M276, M286, M411)	Oxidation of M(5)		Single Protein		P35527	15	24	24	15	24	27	45	7.003891050583655	0	Doubtful
10	P07477				26.54108894082115	57.49	7.29	2197.729227406742				Single Protein		P07477	2	2	2	2	2	2	26	7.003891050583655	0	Doubtful
11	P04264				65.99900087210398	69.25	35.71	5918.07346344778	Oxidation of M(M259, M262, M296)	Oxidation of M(3)		Single Protein		P04264	31	45	36	25	37	104	152	7.003891050583655	0	Doubtful
12	P02538				60.00827426891604	76.95	12.23	2014.1232536338227				Related Proteins	P04259, P48668	P02538, P04259, P48668	8	12	3	2	3	21	28	7.003891050583655	0	Doubtful
13	Q7Z794				61.863510218429994	75.95	8.65	1223.361246986486				Single Protein		Q7Z794	4	6	3	2	3	8	14	7.003891050583655	0	Doubtful
14	P13647				62.33997694347283	73.56	19.15	2687.467525026773	Oxidation of M(M274)	Oxidation of M(1)		Single Protein		P13647	13	20	10	8	10	31	41	7.003891050583655	0	Doubtful
15	P13645				58.79169361540863	71.92	52.74	5906.198528640155	Oxidation of M(M150, M271, M291)	Oxidation of M(3)		Single Protein		P13645	33	39	36	30	36	118	143	7.003891050583655	0	Doubtful
16	P35908				65.39321717101762	84.04	46.17	4127.019012380507	Oxidation of M(M294, M467)	Oxidation of M(2)		Single Protein		P35908	27	36	25	19	27	80	114	7.003891050583655	0	Doubtful
