	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	TRY1_BOVIN				25.408419297583514	82.3	75.31	68259.46127482707	Oxidation of M(M106, M180)	Oxidation of M(2)			Single Protein		TRY1_BOVIN	79	100	85	67	85	67	2076	2245	85.71428571428572	Doubtful
2	K1C10_HUMAN				59.48287701205572	66.27	28.5	528.3080762442726	Oxidation of M(M150, M306)	Oxidation of M(2)			Related Proteins	P13645	K1C10_HUMAN, P13645	17	17	15	15	15	15	30	32	85.71428571428572	Doubtful
3	NM_000721_10	Homo sapiens calcium channel, voltage-dependent, R type, alpha 1E subunit (CACNA1E), mRNA|CACNA1E|frame-2			4.799351652949852	100.0	46.67	833.9682206496576					Single Protein		NM_000721_10	1	1	1	1	1	1	1	1	85.71428571428572	Doubtful
4	REF_HEVBR				14.71268950229706	100.0	27.54	634.5410374508266					Single Protein		REF_HEVBR	3	3	3	3	3	3	4	4	85.71428571428572	Doubtful
5	ALBU_BOVIN				69.24844068501862	100.0	1.98	61.82630960335188					Single Protein		ALBU_BOVIN	1	2	2	1	2	1	1	2	85.71428571428572	Doubtful
6	Q7Z5L2				87.82897261998046	79.04	2.9	59.94979221922459	Oxidation of M(M1, M17)	Oxidation of M(2)			Single Protein		Q7Z5L2	1	1	1	1	1	1	1	1	85.71428571428572	Doubtful
7	Q86YZ3				282.2276283698903	55.93	1.89	27.467585686390848					Single Protein		Q86YZ3	2	2	2	2	2	2	4	4	85.71428571428572	Doubtful
8	K1C9_HUMAN				62.09190997979053	68.38	22.47	562.6622292899821	Oxidation of M(M157, M245, M269)	Oxidation of M(3)			Related Proteins	P35527	K1C9_HUMAN, P35527	11	14	14	11	14	11	23	27	85.71428571428572	Doubtful
9	P02533				51.52938407421822	87.29	2.33	91.08876196416163	Oxidation of M(M391)	Oxidation of M(1)			Related Proteins	Q04695	P02533, Q04695	1	1	0	0	1	1	2	2	85.71428571428572	Doubtful
10	TRYP_PIG				24.393805244132462	81.39	38.96	1271.3104077893572					Single Protein		TRYP_PIG	13	15	1	1	3	3	37	94	85.71428571428572	Doubtful
11	P81605				11.27682755014452	63.64	10.0	536.1224275604941					Single Protein		P81605	1	1	1	1	1	1	1	1	85.71428571428572	Doubtful
12	P08709				51.56043596016683	92.27	3.43	87.2757440214758					Single Protein		P08709	1	1	1	1	1	1	1	1	85.71428571428572	Doubtful
13	CTRA_BOVIN				25.649765464359135	66.94	12.24	457.6654869418853					Single Protein		CTRA_BOVIN	2	3	3	2	3	2	4	4	85.71428571428572	Doubtful
14	K22E_HUMAN				65.82539290353346	87.6	30.7	506.4723474199436	Oxidation of M(M300, M473)	Oxidation of M(2)			Related Proteins	P35908	K22E_HUMAN, P35908	19	20	14	13	17	16	40	43	85.71428571428572	Doubtful
15	P07477				26.54108894082115	69.64	12.55	1277.966251743039	Oxidation of M(M109)	Oxidation of M(1)			Single Protein		P07477	4	6	1	0	1	0	17	71	85.71428571428572	Doubtful
16	P04264				65.99900087210398	69.25	36.65	589.0010682733993	Oxidation of M(M259, M262, M296, M469, M493)	Oxidation of M(5)			Single Protein		P04264	22	25	19	16	22	19	53	62	85.71428571428572	Doubtful
17	NM_002906_2	Homo sapiens radixin (RDX), mRNA|RDX|frame-3			6.736325257827291	100.0	25.0	670.1530344506176			Oxidation of M (M1-{M1}, M9-{M8 M9 M12})	Oxidation of M (2)	Single Protein		NM_002906_2	1	1	1	1	1	1	1	1	85.71428571428572	Doubtful
