	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P68104				50.10910826932214	55.63	30.52	278.406378622883					Related Proteins	Q5VTE0	P68104, Q5VTE0	10	13	13	10	13	10	19	24	100.0	Confident
2	P40222				61.85324680867071	77.66	1.65	76.25221383339215					Single Protein		P40222	1	2	2	1	2	1	2	3	100.0	Doubtful
3	Q06546				51.26311034901182	64.76	3.74	79.42938940978348					Single Protein		Q06546	2	2	2	2	2	2	2	3	100.0	Doubtful
4	Q9Y5X3				46.78715179215886	79.21	2.97	196.8467476677243					Single Protein		Q9Y5X3	1	2	2	1	2	1	4	5	100.0	Doubtful
5	Q9Y5X2				52.536116949581384	72.04	2.58	87.06683069918574					Single Protein		Q9Y5X2	1	1	1	1	1	1	2	2	98.77551020408163	Doubtful
6	P17844				69.10473382539206	71.5	14.01	102.55681737995465					Single Protein		P17844	8	10	6	5	6	5	11	15	100.0	Confident
7	P22314				117.77432920492443	66.92	8.32	67.8119886292862					Single Protein		P22314	7	9	9	7	9	7	9	11	100.0	Confident
8	P61978				50.94440274865072	72.14	44.28	756.7591097677237					Single Protein		P61978	15	16	16	15	16	15	62	69	100.0	Confident
9	Q9Y6G9				56.54400024323288	78.97	19.5	270.4558638067351					Single Protein		Q9Y6G9	7	7	7	7	7	7	15	15	100.0	Confident
10	Q92576				229.33879865193032	70.38	0.93	10.225805073648015					Single Protein		Q92576	1	2	2	1	2	1	1	2	100.0	Doubtful
11	O75534				88.82887199839485	80.45	5.39	63.128194459017465					Single Protein		O75534	4	6	6	4	6	4	6	11	100.0	Confident
12	Q9Y6H1				15.5027023289058	36.42	25.17	436.3831514561599					Single Protein		Q9Y6H1	2	2	2	2	2	2	3	3	100.0	Confident
13	Q9NXG2				39.29080339264612	88.1	4.53	116.46238447222274					Single Protein		Q9NXG2	1	1	1	1	1	1	2	4	100.0	Doubtful
14	Q9BUJ2				95.67929104133812	65.19	1.4	28.34100279410115					Single Protein		Q9BUJ2	1	2	2	1	2	1	1	2	100.0	Doubtful
