	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q96J01				38.74682989495591	69.52	11.97	156.92563425287193					Single Protein		Q96J01	4	5	5	4	5	4	7	8	100.0	Confident
2	P41567				12.724564269882467	78.76	77.88	909.8525680598938					Single Protein		P41567	11	11	11	11	11	11	33	33	100.0	Confident
3	P68104				50.10910826932214	60.61	32.68	176.8734129404038	Oxidation of M(M276)	Oxidation of M(1)			Related Proteins	Q5VTE0	P68104, Q5VTE0	13	13	7	7	7	7	25	26	100.0	Confident
4	P20618				26.472369794560382	88.8	39.0	374.10743097105814	Oxidation of M(M186)	Oxidation of M(1)			Single Protein		P20618	10	10	10	10	10	10	25	26	100.0	Confident
5	P40227				57.987597263605494	77.02	9.79	96.50506919294264					Single Protein		P40227	4	4	4	4	4	4	7	7	100.0	Confident
6	Q14181				65.90634433440823	57.02	22.24	180.49874857596478					Single Protein		Q14181	9	9	9	9	9	9	19	19	100.0	Confident
7	Q8WX92				65.6554114594879	76.21	12.59	90.26540062380566					Single Protein		Q8WX92	6	7	7	6	7	6	9	10	100.0	Confident
8	Q00403				34.81064212215439	100.0	9.49	79.23029002122847					Single Protein		Q00403	3	3	3	3	3	3	4	4	100.0	Confident
9	P25490				44.68472317036314	58.45	34.3	404.69193766885746					Single Protein		P25490	14	15	15	14	15	14	42	43	100.0	Confident
10	Q96A65				110.42857024859269	84.6	1.33	12.371984012539055					Single Protein		Q96A65	1	1	1	1	1	1	1	1	94.73684210526316	Doubtful
11	P60660				16.91913314499716	82.12	52.32	410.65941704683667	Oxidation of M(M36, M73)	Oxidation of M(2)			Single Protein		P60660	9	10	10	9	10	9	16	17	100.0	Confident
12	P13489				49.94108720369384	86.77	4.99	67.49668847962312					Single Protein		P13489	2	2	2	2	2	2	3	3	100.0	Confident
13	Q9Y657				29.581769095671312	100.0	8.78	132.31411909593294					Single Protein		Q9Y657	2	2	2	2	2	2	4	4	100.0	Confident
14	Q14204				532.0718395312898	83.49	1.81	7.2641837678279355					Single Protein		Q14204	6	9	9	6	9	6	7	10	100.0	Confident
15	Q9NPD3				26.366492703502374	64.9	7.35	145.35135934228273					Single Protein		Q9NPD3	2	2	2	2	2	2	3	3	100.0	Confident
16	Q15554				59.55657960681173	81.92	14.94	102.09055354654922					Single Protein		Q15554	7	7	7	7	7	7	11	11	100.0	Confident
17	P22314				117.77432920492443	73.44	5.67	42.09629532863926					Single Protein		P22314	4	5	5	4	5	4	6	7	100.0	Confident
