	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9UL58				59.99598879165774	100.0	0.0	0.0					Single Protein		Q9UL58	0	1	1	0	1	0	0	1	31.481481481481477	Doubtful
2	Q6YHU6				219.46505332386198	84.18	0.0	0.0					Single Protein		Q6YHU6	0	2	2	0	2	0	0	4	43.925233644859816	Doubtful
3	NM_015347_9	Homo sapiens RIMS binding protein 2 (RIMBP2), mRNA|RIMBP2|frame-1			7.930930430911994	100.0	0.0	0.0					Single Protein		NM_015347_9	0	1	1	0	1	0	0	1	0.0	Doubtful
4	Q9UL62				111.3405030812205	73.48	0.0	0.0					Single Protein		Q9UL62	0	1	1	0	1	0	0	2	0.0	Doubtful
5	Q8N3U4				141.23542813358532	87.65	0.0	0.0					Single Protein		Q8N3U4	0	2	2	0	2	0	0	2	0.0	Doubtful
6	NM_001031617_6	Homo sapiens COX19 cytochrome c oxidase assembly homolog (S. cerevisiae) (COX19), mRNA|COX19|frame-1			4.6452517707128695	100.0	0.0	0.0					Single Protein		NM_001031617_6	0	1	1	0	1	0	0	1	50.92592592592593	Doubtful
7	NM_020760_9	Homo sapiens HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 (HECW2), mRNA|HECW2|frame-2			5.978970749295041	100.0	0.0	0.0					Single Protein		NM_020760_9	0	1	1	0	1	0	0	1	0.0	Doubtful
8	Q9H4L5				101.1601397300788	90.08	0.0	0.0					Single Protein		Q9H4L5	0	1	1	0	1	0	0	1	0.0	Doubtful
9	P48163				64.10906861395647	86.89	0.0	0.0					Single Protein		P48163	0	1	1	0	1	0	0	1	43.11926605504587	Doubtful
10	Q2TAC6				111.26410254745433	95.19	0.0	0.0					Single Protein		Q2TAC6	0	1	1	0	1	0	0	2	45.87155963302752	Doubtful
11	NM_001012478_2	Homo sapiens U2 small nuclear RNA auxiliary factor 2 (U2AF2), transcript variant 2, mRNA|U2AF2|frame-1			9.67692257279976	100.0	0.0	0.0					Related Proteins	NM_007279_2	NM_001012478_2, NM_007279_2	0	1	1	0	1	0	0	1	0.0	Doubtful
12	Q9NXC5				98.52091917610424	96.23	0.0	0.0					Single Protein		Q9NXC5	0	1	1	0	1	0	0	1	0.0	Doubtful
