	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	NM_080723_1	Homo sapiens neurensin 1 (NRSN1), mRNA|NRSN1|frame-2			5.439567929948332	100.0	0.0	0.0					Single Protein		NM_080723_1	0	1	1	0	1	0	0	1	0.0	Doubtful
2	Q6YHU6				219.46505332386198	76.96	0.0	0.0					Single Protein		Q6YHU6	0	1	1	0	1	0	0	1	0.0	Doubtful
3	NM_020725_1	Homo sapiens ataxin 7-like 1 (ATXN7L1), transcript variant 1, mRNA|ATXN7L1|frame-3			9.686873725114387	100.0	0.0	0.0					Related Proteins	NM_152749_1	NM_020725_1, NM_152749_1	0	1	1	0	1	0	0	1	0.0	Doubtful
4	NM_004956_2	Homo sapiens ets variant 1 (ETV1), mRNA|ETV1|frame-2			11.5949137780785	72.12	0.0	0.0					Single Protein		NM_004956_2	0	1	1	0	1	0	0	1	0.0	Doubtful
5	NM_031284_1	Homo sapiens ADP-dependent glucokinase (ADPGK), transcript variant 1, mRNA|ADPGK|frame-3			6.157225383754582	100.0	0.0	0.0					Single Protein		NM_031284_1	0	1	1	0	1	0	0	1	0.0	Doubtful
6	P15259				28.747838321383377	89.33	8.7	209.89205919013486	Oxidation of M(M243)	Oxidation of M(1)			Single Protein		P15259	3	4	1	0	1	0	7	8	0.0	Doubtful
7	NM_000501_2	Homo sapiens elastin (ELN), transcript variant 1, mRNA|ELN|frame-3			20.95502444744722	46.23	0.0	0.0					Related Proteins	NM_001081752_2, NM_001081753_2, NM_001081754_2, NM_001081755_2	NM_000501_2, NM_001081752_2, NM_001081753_2, NM_001081754_2, NM_001081755_2	0	1	1	0	1	0	0	1	0.0	Doubtful
8	Q8WXA9				59.34501049295324	88.39	0.0	0.0					Single Protein		Q8WXA9	0	4	4	0	4	0	0	5	0.0	Doubtful
9	Q567U6				73.15190051221317	90.81	0.0	0.0					Single Protein		Q567U6	0	1	1	0	1	0	0	1	0.0	Doubtful
10	NM_032291_4	Homo sapiens SH3-domain GRB2-like (endophilin) interacting protein 1 (SGIP1), mRNA|SGIP1|frame-3			15.402470337897041	100.0	0.0	0.0					Single Protein		NM_032291_4	0	1	1	0	1	0	0	1	0.0	Doubtful
11	Q9UKV8				97.14587985523316	84.52	0.0	0.0					Single Protein		Q9UKV8	0	1	1	0	1	0	0	1	0.0	Doubtful
12	NM_001112717_5	Homo sapiens LIM and calponin homology domains 1 (LIMCH1), transcript variant 2, mRNA|LIMCH1|frame-3			4.97853297135676	100.0	0.0	0.0					Related Proteins	NM_001112718_5, NM_001112719_5, NM_001112720_5, NM_014988_5	NM_001112717_5, NM_001112718_5, NM_001112719_5, NM_001112720_5, NM_014988_5	0	1	1	0	1	0	0	1	0.0	Doubtful
13	Q96QZ0				44.65449798327014	64.03	0.0	0.0					Single Protein		Q96QZ0	0	1	1	0	1	0	0	9	0.0	Doubtful
14	Q9UKW4				97.71348141546703	84.77	0.0	0.0					Single Protein		Q9UKW4	0	2	2	0	2	0	0	13	0.0	Doubtful
15	P54886				87.24754303746528	81.13	0.0	0.0					Single Protein		P54886	0	1	1	0	1	0	0	1	0.0	Doubtful
16	Q9NXE8				49.61699015371626	92.94	0.0	0.0					Single Protein		Q9NXE8	0	2	2	0	2	0	0	4	0.0	Doubtful
17	NM_004168_3	Homo sapiens succinate dehydrogenase complex, subunit A, flavoprotein (Fp) (SDHA), nuclear gene encoding mitochondrial protein, mRNA|SDHA|frame-3			5.357871944576952	100.0	0.0	0.0					Single Protein		NM_004168_3	0	1	1	0	1	0	0	2	0.0	Doubtful
18	NM_000911_2	Homo sapiens opioid receptor, delta 1 (OPRD1), mRNA|OPRD1|frame-1			25.766435544521574	73.77	0.0	0.0					Single Protein		NM_000911_2	0	1	1	0	1	0	0	1	0.0	Doubtful
19	NM_005963_4	Homo sapiens myosin, heavy chain 1, skeletal muscle, adult (MYH1), mRNA|MYH1|frame-3			8.501160347912455	100.0	0.0	0.0					Single Protein		NM_005963_4	0	1	1	0	1	0	0	1	0.0	Doubtful
20	NM_001142617_4	Homo sapiens stimulated by retinoic acid gene 6 homolog (mouse) (STRA6), transcript variant 1, mRNA|STRA6|frame-2			12.034173923814363	75.45	0.0	0.0					Related Proteins	NM_001142618_5, NM_001142619_4, NM_022369_4	NM_001142617_4, NM_001142618_5, NM_001142619_4, NM_022369_4	0	1	1	0	1	0	0	1	0.0	Doubtful
21	NM_138790_2	Homo sapiens phospholipase D family, member 4 (PLD4), mRNA|PLD4|frame-2			18.019688561961996	62.58	0.0	0.0					Single Protein		NM_138790_2	0	1	1	0	1	0	0	1	0.0	Doubtful
22	NM_005460_4	Homo sapiens synuclein, alpha interacting protein (SNCAIP), mRNA|SNCAIP|frame-1			6.0422334783135545	100.0	0.0	0.0					Single Protein		NM_005460_4	0	1	1	0	1	0	0	1	0.0	Doubtful
23	P21217				42.090238716166446	84.49	0.0	0.0					Related Proteins	Q11128	P21217, Q11128	0	1	1	0	1	0	0	1	0.0	Doubtful
24	Q9UKX7				50.11316358276398	80.77	0.0	0.0					Single Protein		Q9UKX7	0	2	2	0	2	0	0	2	0.0	Doubtful
25	Q05BV3				219.28673691173674	79.84	0.0	0.0					Single Protein		Q05BV3	0	1	1	0	1	0	0	1	0.0	Doubtful
26	NM_006531_1	Homo sapiens intraflagellar transport 88 homolog (Chlamydomonas) (IFT88), transcript variant 2, mRNA|IFT88|frame-1			6.619781375100724	100.0	0.0	0.0					Related Proteins	NM_175605_1	NM_006531_1, NM_175605_1	0	1	1	0	1	0	0	1	0.0	Doubtful
27	Q9UKP6				42.10353171329137	49.1	0.0	0.0					Single Protein		Q9UKP6	0	1	1	0	1	0	0	1	0.0	Doubtful
28	Q7Z4S6				187.06283431498255	81.18	0.0	0.0					Single Protein		Q7Z4S6	0	2	2	0	2	0	0	2	0.0	Doubtful
29	Q8WXG9				692.6371808529565	47.73	0.0	0.0					Single Protein		Q8WXG9	0	1	1	0	1	0	0	1	0.0	Doubtful
30	NM_002439_2	Homo sapiens mutS homolog 3 (E. coli) (MSH3), mRNA|MSH3|frame-3			5.246867753629962	100.0	0.0	0.0					Single Protein		NM_002439_2	0	1	1	0	1	0	0	2	0.0	Doubtful
31	NM_014146_4	Homo sapiens linker for activation of T cells family, member 2 (LAT2), transcript variant 3, mRNA|LAT2|frame-3			11.272619855364157	100.0	0.0	0.0					Related Proteins	NM_032463_4, NM_032464_4	NM_014146_4, NM_032463_4, NM_032464_4	0	1	1	0	1	0	0	1	0.0	Doubtful
