	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	P02768				69.32149565531064	100.0	9.36	9559.42070611452				Single Protein		P02768	6	9	9	6	9	35	51	2.180685358255452	0	Doubtful
2	P81605				11.27682755014452	63.64	10.0	5908.842638948229				Single Protein		P81605	1	1	1	1	1	2	2	2.180685358255452	0	Doubtful
3	O00522				84.29444262479272	90.49	1.09	931.5742899242705				Single Protein		O00522	1	1	1	1	1	3	17	2.180685358255452	0	Doubtful
4	P35527				62.02681468242336	68.38	17.34	1449.4696144837792	Oxidation of M(M269)	Oxidation of M(1)		Single Protein		P35527	7	9	9	7	9	9	15	2.180685358255452	0	Doubtful
5	P07477				26.54108894082115	69.64	9.31	1803.5711543301284				Single Protein		P07477	2	3	3	2	3	2	22	2.180685358255452	0	Doubtful
6	P08779				51.236202521320465	86.68	9.94	1430.5724370109417				Single Protein		P08779	5	6	1	1	6	7	9	2.180685358255452	0	Doubtful
7	P04264				65.99900087210398	69.25	34.47	3727.9597712884265	Oxidation of M(M259, M262, M296)	Oxidation of M(3)		Single Protein		P04264	27	35	27	20	28	65	96	2.180685358255452	0	Doubtful
8	P02538				60.00827426891604	76.95	17.38	1743.834703545205				Related Proteins	P04259, P48668	P02538, P04259, P48668	10	12	0	0	0	17	23	2.180685358255452	0	Doubtful
9	Q14CN4				55.842437763397974	92.37	2.35	1314.4671124778902				Related Proteins	Q3SY84, Q7RTS7, Q86Y46	Q14CN4, Q3SY84, Q7RTS7, Q86Y46	1	1	1	1	1	3	3	2.180685358255452	0	Doubtful
10	P13647				62.33997694347283	73.56	8.98	1240.5800026355323	Oxidation of M(M274)	Oxidation of M(1)		Single Protein		P13647	7	12	3	2	3	13	23	2.180685358255452	0	Doubtful
11	P13645				58.79169361540863	71.92	40.92	4045.643843148189	Oxidation of M(M271, M291)	Oxidation of M(2)		Single Protein		P13645	20	25	23	19	25	57	75	2.180685358255452	0	Doubtful
12	O95678				59.52403085076316	71.69	7.08	762.0827988629434				Related Proteins	P02538, P48668	O95678, P02538, P48668	4	5	0	0	0	5	7	2.180685358255452	0	Doubtful
13	P35908				65.39321717101762	93.11	34.9	3004.2243903921126	Oxidation of M(M294)	Oxidation of M(1)		Single Protein		P35908	20	24	15	12	16	38	49	2.180685358255452	0	Doubtful
