	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9UKV3				151.77079068994243	73.75	2.76	79.09581840027145					Single Protein		Q9UKV3	3	5	5	3	5	3	4	7	31.612903225806456	Doubtful
2	P68104				50.10910826932214	55.63	12.99	591.2847576431154					Related Proteins	Q5VTE0	P68104, Q5VTE0	7	7	7	7	7	7	14	14	31.612903225806456	Doubtful
3	P25440				88.006311905524	56.3	7.62	269.45418081136	Oxidation of M(M180)	Oxidation of M(1)			Single Protein		P25440	5	6	5	4	6	5	9	9	31.612903225806456	Doubtful
4	P62424				29.97702404887955	90.98	3.38	333.4924905367142					Single Protein		P62424	1	1	1	1	1	1	2	2	31.612903225806456	Doubtful
5	P60660				16.91913314499716	82.12	8.61	293.7384188171059					Single Protein		P60660	1	1	1	1	1	1	1	1	31.612903225806456	Doubtful
6	P13489				49.94108720369384	72.23	2.17	103.63201224622193					Single Protein		P13489	1	1	1	1	1	1	1	1	31.612903225806456	Doubtful
7	Q14204				532.0718395312898	78.09	0.28	20.654016876080554	Oxidation of M(M4339)	Oxidation of M(1)			Single Protein		Q14204	1	2	2	1	2	1	2	4	31.612903225806456	Doubtful
8	P22314				117.77432920492443	58.6	6.99	155.11956718297876	Oxidation of M(M1015)	Oxidation of M(1)			Single Protein		P22314	6	9	9	6	9	6	9	13	31.612903225806456	Doubtful
9	P61964				36.56545229372351	69.16	12.57	486.92566233055186					Single Protein		P61964	3	3	3	3	3	3	6	6	31.612903225806456	Doubtful
10	P43243				94.56479778685481	75.56	6.97	252.34265117278045	Oxidation of M(M403, M539)	Oxidation of M(2)			Single Protein		P43243	5	7	7	5	7	5	8	10	31.612903225806456	Doubtful
11	P61978				50.94440274865072	72.14	3.67	116.11125979419631					Single Protein		P61978	1	1	1	1	1	1	1	1	31.612903225806456	Doubtful
12	Q9BV38				47.37500670859233	46.76	4.4	326.13603853958085					Single Protein		Q9BV38	2	2	2	2	2	2	3	3	31.612903225806456	Doubtful
13	Q8WXI9				65.21999528964584	74.2	4.55	115.73255379356291					Single Protein		Q8WXI9	2	4	3	1	4	2	2	4	31.612903225806456	Doubtful
14	Q7Z4V5				74.27222971678142	85.69	4.47	142.39005213927123					Single Protein		Q7Z4V5	2	5	5	2	5	2	4	10	31.612903225806456	Doubtful
15	Q07955				27.727814961380233	100.0	12.1	596.1626510938574					Single Protein		Q07955	3	3	3	3	3	3	5	5	31.612903225806456	Doubtful
16	P27348				27.746766754682028	79.59	8.98	271.5581708656101					Single Protein		P27348	2	4	2	1	2	1	3	6	31.612903225806456	Doubtful
17	IP_200833_1				6.32925465016726	57.41	16.67	1642.759305236407					Single Protein		IP_200833_1	1	1	1	1	1	1	2	2	31.612903225806456	Doubtful
18	P05388				34.251797655797155	59.94	2.84	186.36345059404616					Related Proteins	Q8NHW5	P05388, Q8NHW5	1	1	1	1	1	1	1	1	31.612903225806456	Doubtful
19	O95218				37.3820216872587	100.0	2.42	268.81515903868484					Single Protein		O95218	1	3	3	1	3	1	2	4	31.612903225806456	Doubtful
20	P61247				29.925739272189062	100.0	3.03	168.009474399178					Single Protein		P61247	1	1	1	1	1	1	1	1	31.612903225806456	Doubtful
21	Q01130				25.461183837817952	100.0	3.62	200.69910063974206					Related Proteins	Q9BRL6	Q01130, Q9BRL6	1	1	0	0	1	1	2	2	31.612903225806456	Doubtful
22	Q14103				38.4103025899212	64.79	3.94	192.84565757123042					Single Protein		Q14103	1	2	2	1	2	1	1	2	31.612903225806456	Doubtful
23	P52272				77.46431371933258	78.36	6.3	167.46575441730363	Oxidation of M(M457, M465, M592, M596)	Oxidation of M(4)			Single Protein		P52272	3	6	6	3	6	3	4	8	31.612903225806456	Doubtful
24	Q14974				97.1080146943779	54.11	1.37	74.17140675816553					Single Protein		Q14974	1	1	1	1	1	1	1	1	31.612903225806456	Doubtful
25	Q14978				73.55963598521475	86.41	1.29	126.90844418135335					Single Protein		Q14978	1	2	2	1	2	1	2	3	31.612903225806456	Doubtful
26	Q14980				238.11522374594037	87.75	7.14	96.91418413768554	Oxidation of M(M793, M1819, M1956)	Oxidation of M(3)			Single Protein		Q14980	11	15	15	11	15	11	15	21	31.612903225806456	Doubtful
27	O94776				74.97573718107209	83.08	1.65	146.62645038473715					Single Protein		O94776	1	2	2	1	2	1	2	3	31.612903225806456	Doubtful
28	P81605				11.27682755014452	63.64	10.0	1267.2714640395138					Single Protein		P81605	1	1	1	1	1	1	2	2	31.612903225806456	Doubtful
29	Q9Y5B9				119.83841950983168	77.84	4.49	149.10394967910065	Oxidation of M(M203, M352)	Oxidation of M(2)			Single Protein		Q9Y5B9	4	4	4	4	4	4	7	7	31.612903225806456	Doubtful
30	P08107				70.00903707472403	63.18	7.64	183.0016842620868					Single Protein		P08107	4	5	3	2	3	2	6	7	31.612903225806456	Doubtful
31	P62241				24.190162647298038	100.0	11.54	533.1069860743148					Single Protein		P62241	2	2	2	2	2	2	3	3	31.612903225806456	Doubtful
32	P67936				28.504491022601155	100.0	18.55	892.6825982688737					Single Protein		P67936	7	9	5	5	5	5	13	16	31.612903225806456	Doubtful
33	P62249				16.43504092989139	100.0	7.53	607.5959074162054					Single Protein		P62249	1	1	1	1	1	1	2	2	31.612903225806456	Doubtful
34	P62258				29.155415999021855	100.0	20.0	687.4740621913703	Oxidation of M(M33)	Oxidation of M(1)			Single Protein		P62258	5	6	5	4	5	4	9	11	31.612903225806456	Doubtful
35	P62263				16.262532812805947	73.51	7.28	799.1802025474412					Single Protein		P62263	1	2	2	1	2	1	2	4	31.612903225806456	Doubtful
36	P29692				31.10278320777167	73.67	20.28	657.6883339469603					Single Protein		P29692	4	4	4	4	4	4	8	8	31.612903225806456	Doubtful
37	P07437				49.63897134453148	54.5	36.26	590.6163829934252	Oxidation of M(M73, M147, M164, M257, M330)	Oxidation of M(5)			Single Protein		P07437	17	17	2	2	2	2	42	44	31.612903225806456	Doubtful
38	P51572				27.974011615458817	76.42	7.32	540.9085517241829	Oxidation of M(M212)	Oxidation of M(1)			Single Protein		P51572	2	2	2	2	2	2	4	4	31.612903225806456	Doubtful
39	Q15287				34.18770139987295	82.3	7.54	363.56148558510654	Oxidation of M(M189, M192)	Oxidation of M(2)			Single Protein		Q15287	2	3	3	2	3	2	3	4	31.612903225806456	Doubtful
40	P15880				31.304595167946374	92.83	12.63	504.6018343729578	Oxidation of M(M215, M216)	Oxidation of M(2)			Single Protein		P15880	3	5	5	3	5	3	5	7	31.612903225806456	Doubtful
41	Q16629				27.350025408227616	100.0	3.78	372.7269011880923	Oxidation of M(M85)	Oxidation of M(1)			Single Protein		Q16629	1	1	1	1	1	1	2	2	31.612903225806456	Doubtful
42	O75369				277.9900580055979	67.18	5.53	102.4942999193141					Single Protein		O75369	12	14	8	6	8	6	19	21	31.612903225806456	Doubtful
43	P68371				49.799001993036754	54.38	39.55	757.761001433064	Oxidation of M(M73, M147, M164, M257, M293, M330)	Oxidation of M(6)			Single Protein		P68371	18	18	3	3	3	3	49	50	31.612903225806456	Doubtful
44	P27824				67.52585021196069	57.94	5.07	278.20923717713345					Single Protein		P27824	3	3	3	3	3	3	4	5	31.612903225806456	Doubtful
45	Q02878				32.70762882198842	100.0	10.42	513.3622828863772					Single Protein		Q02878	3	4	4	3	4	3	5	6	31.612903225806456	Doubtful
46	O43719				85.80056134063028	84.24	1.46	64.2818858570768					Single Protein		O43719	1	3	3	1	3	1	1	3	31.612903225806456	Doubtful
47	Q9H307				81.56496230550445	83.82	12.97	327.87904023091664	Oxidation of M(M134)	Oxidation of M(1)			Single Protein		Q9H307	8	9	9	8	9	8	13	15	31.612903225806456	Doubtful
48	Q13547				55.067726781189066	65.98	4.15	176.8520783149242					Single Protein		Q13547	2	3	2	1	2	1	3	5	31.612903225806456	Doubtful
49	O43707				104.78847372042017	83.1	3.4	172.84427941785938					Single Protein		O43707	3	3	2	2	2	2	5	5	31.612903225806456	Doubtful
50	P08670				53.61907865427834	92.7	7.3	188.2328370583383	Oxidation of M(M193)	Oxidation of M(1)			Single Protein		P08670	3	4	3	3	4	3	3	6	31.612903225806456	Doubtful
51	Q86VM9				106.31549655664293	82.69	2.2	154.00868486591315					Single Protein		Q86VM9	2	3	3	2	3	2	4	5	31.612903225806456	Doubtful
52	P62158				16.826834300721597	59.73	10.74	594.0334987685221					Single Protein		P62158	2	4	4	2	4	2	2	4	31.612903225806456	Doubtful
53	P62191				49.15369363285162	86.36	2.73	110.33458020244525	Oxidation of M(M405)	Oxidation of M(1)			Single Protein		P62191	1	1	1	1	1	1	1	1	31.612903225806456	Doubtful
54	Q9Y4B4				162.66700184086346	62.44	1.3	38.90745722928333	Oxidation of M(M884)	Oxidation of M(1)			Single Protein		Q9Y4B4	1	1	1	1	1	1	1	8	31.612903225806456	Doubtful
55	Q6P2E9				151.56668281413428	51.03	1.14	47.13549547437088					Single Protein		Q6P2E9	1	1	1	1	1	1	1	1	31.612903225806456	Doubtful
56	Q9BR76				54.20024773334737	55.42	6.13	126.72714640395141	Oxidation of M(M419)	Oxidation of M(1)			Single Protein		Q9BR76	1	1	1	1	1	1	1	1	31.612903225806456	Doubtful
57	P62854				13.00708428950836	100.0	13.04	771.3826302849217	Oxidation of M(M115)	Oxidation of M(1)			Related Proteins	Q5JNZ5	P62854, Q5JNZ5	1	1	1	1	1	1	2	2	31.612903225806456	Doubtful
58	P62318				13.907304175913728	100.0	7.94	704.0397022441745					Single Protein		P62318	1	1	1	1	1	1	2	2	31.612903225806456	Doubtful
59	P62314				13.273363994901741	100.0	17.65	559.0903517821386					Single Protein		P62314	2	2	2	2	2	2	2	2	31.612903225806456	Doubtful
60	Q9Y2W1				108.6010168388624	94.76	0.94	98.02099721852595					Single Protein		Q9Y2W1	1	3	3	1	3	1	2	5	31.612903225806456	Doubtful
61	P42025				42.26672405284514	65.16	2.66	58.98204952311568					Related Proteins	P61163	P42025, P61163	1	1	0	0	1	1	1	1	31.612903225806456	Doubtful
62	P26641				50.08714232857586	68.88	12.36	273.72425199342143					Single Protein		P26641	6	7	7	6	7	6	6	8	31.612903225806456	Doubtful
63	P12004				28.750293139136293	78.54	4.98	194.53728614641662	Oxidation of M(M68, M75)	Oxidation of M(2)			Single Protein		P12004	1	1	1	1	1	1	1	1	31.612903225806456	Doubtful
64	Q9UQ35				299.4380101693397	86.99	6.18	80.50976990518603	Oxidation of M(M1343, M2135, M2268, M2371)	Oxidation of M(4)			Single Protein		Q9UQ35	12	12	12	12	12	12	19	19	31.612903225806456	Doubtful
65	P49327				273.25428753049016	58.98	1.19	40.01800472893807	Oxidation of M(M1159)	Oxidation of M(1)			Single Protein		P49327	3	3	3	3	3	3	3	3	31.612903225806456	Doubtful
66	P49321				85.18607231820397	59.14	1.65	66.10208828820119					Single Protein		P49321	1	3	3	1	3	1	1	3	31.612903225806456	Doubtful
67	P35527				62.02681468242336	48.8	19.58	496.54631112502886	Oxidation of M(M269)	Oxidation of M(1)			Single Protein		P35527	8	8	8	8	8	8	14	14	31.612903225806456	Doubtful
68	P62491				24.378412825723224	75.46	5.09	410.68982630910176					Related Proteins	Q15907	P62491, Q15907	1	1	1	1	1	1	2	2	31.612903225806456	Doubtful
69	Q16576				47.79017950716614	38.59	12.0	811.1247325855155	Oxidation of M(M6)	Oxidation of M(1)			Single Protein		Q16576	5	5	3	3	3	3	10	11	31.612903225806456	Doubtful
70	P60709				41.709730139029176	64.53	37.07	614.1915839301251	Oxidation of M(M190, M305, M325)	Oxidation of M(3)	Oxidation of M (M44-{M44 M47})	Oxidation of M (1)	Related Proteins	P63261	P60709, P63261	14	14	4	4	14	14	31	33	31.612903225806456	Doubtful
71	P12814				102.99263258935731	84.19	3.81	142.82772647986326	Oxidation of M(M748)	Oxidation of M(1)			Single Protein		P12814	3	5	4	2	4	2	5	7	31.612903225806456	Doubtful
72	P18124				29.20719768599884	100.0	4.44	178.84879532815722					Single Protein		P18124	1	3	3	1	3	1	1	3	31.612903225806456	Doubtful
73	P07477				26.54108894082115	48.58	4.05	1633.208379043172	Oxidation of M(M109)	Oxidation of M(1)			Single Protein		P07477	3	3	3	3	3	3	8	9	31.612903225806456	Doubtful
74	Q08945				81.02442027045807	78.42	1.83	268.81515903868484					Single Protein		Q08945	1	1	1	1	1	1	4	4	31.612903225806456	Doubtful
75	Q13428				152.0153228971003	62.84	4.1	120.41384328055277					Single Protein		Q13428	5	9	9	5	9	5	9	12	31.612903225806456	Doubtful
76	Q9Y265				50.1963140517197	75.22	2.41	228.04370818191765					Single Protein		Q9Y265	1	3	3	1	3	1	2	5	31.612903225806456	Doubtful
77	Q12824				44.113178059904804	72.21	3.38	125.29520124684461					Single Protein		Q12824	1	1	1	1	1	1	1	1	31.612903225806456	Doubtful
78	Q92973				102.28878151877566	50.33	2.45	135.22713793104572					Single Protein		Q92973	2	4	4	2	4	2	3	5	31.612903225806456	Doubtful
79	Q08170				56.64533079785475	100.0	1.82	59.85762650658973					Related Proteins	Q13243, Q13247	Q08170, Q13243, Q13247	1	1	0	0	1	1	2	2	31.612903225806456	Doubtful
80	O60888				19.10411244227116	46.93	14.53	957.2913936989136	Oxidation of M(M121, M122)	Oxidation of M(2)			Single Protein		O60888	2	2	2	2	2	2	4	4	31.612903225806456	Doubtful
81	Q9Y230				51.12455427949146	82.07	8.86	394.4909236472579					Single Protein		Q9Y230	4	4	4	4	4	4	7	7	31.612903225806456	Doubtful
82	P17480				89.35022633920845	84.82	1.57	131.8112964082704					Single Protein		P17480	1	2	2	1	2	1	2	4	31.612903225806456	Doubtful
83	Q12888				213.4426880477534	57.0	1.98	72.34169417554821					Single Protein		Q12888	3	3	3	3	3	3	5	5	31.612903225806456	Doubtful
84	P53999				14.386410160891673	100.0	8.66	698.4960825414644					Single Protein		P53999	1	1	1	1	1	1	2	2	31.612903225806456	Doubtful
85	Q15059				79.49207399821184	68.18	4.55	264.5707091591267					Single Protein		Q15059	3	4	3	2	4	3	6	7	31.612903225806456	Doubtful
86	P06748				32.55484168905772	70.75	4.42	192.01082788477484					Single Protein		P06748	1	5	5	1	5	1	1	7	31.612903225806456	Doubtful
87	P06753				32.92977753245983	100.0	8.42	477.2648086792089					Single Protein		P06753	3	5	1	1	1	1	6	9	31.612903225806456	Doubtful
88	P62805				11.360381729559025	100.0	21.36	645.9393384667426					Single Protein		P62805	2	2	2	2	2	2	2	2	31.612903225806456	Doubtful
89	P62826				24.40761778465903	76.85	8.8	801.5873718322227					Single Protein		P62826	2	2	2	2	2	2	4	4	31.612903225806456	Doubtful
90	P24534				24.74826223641773	73.78	6.67	229.81606860820202					Single Protein		P24534	1	2	2	1	2	1	1	2	31.612903225806456	Doubtful
91	Q92841				80.22201763115304	70.51	7.0	244.60202890468562	Oxidation of M(M330, M333)	Oxidation of M(2)			Single Protein		Q92841	4	4	3	3	4	4	5	6	31.612903225806456	Doubtful
92	P04264				65.99900087210398	65.22	24.53	797.6005492189242	Oxidation of M(M262)	Oxidation of M(1)			Single Protein		P04264	18	19	15	14	15	14	36	38	31.612903225806456	Doubtful
93	P08621				51.52583342220536	85.58	2.52	221.21945756300744					Single Protein		P08621	1	2	2	1	2	1	2	3	31.612903225806456	Doubtful
94	P46013				358.4737004705798	91.22	1.35	3.588551880370792					Single Protein		P46013	1	2	2	1	2	1	1	2	31.612903225806456	Doubtful
95	P31943				49.19840896001632	71.71	9.58	375.55058983345674					Related Proteins	P55795	P31943, P55795	3	3	3	3	3	3	5	5	31.612903225806456	Doubtful
96	P46060				63.502304200414855	60.31	5.79	189.99202245140688					Single Protein		P46060	3	3	3	3	3	3	3	3	31.612903225806456	Doubtful
97	P63167				10.359108001124186	75.28	12.36	166.12172749581643					Related Proteins	Q96FJ2	P63167, Q96FJ2	1	1	0	0	1	1	1	1	31.612903225806456	Doubtful
98	Q13263				88.49341892803679	51.14	5.63	355.8712718127009	Oxidation of M(M135)	Oxidation of M(1)			Single Protein		Q13263	4	5	5	4	5	4	7	8	31.612903225806456	Doubtful
99	P46821				270.46801045133554	63.61	7.78	96.5212367260489	Oxidation of M(M1484, M1519)	Oxidation of M(2)			Single Protein		P46821	14	17	16	13	17	14	21	24	31.612903225806456	Doubtful
100	Q13200				100.13578946737579	66.85	2.97	110.33458020244525					Single Protein		Q13200	2	2	2	2	2	2	3	3	31.612903225806456	Doubtful
101	P78406				40.94185707677548	64.13	2.45	334.75095276515464					Single Protein		P78406	1	1	1	1	1	1	2	2	31.612903225806456	Doubtful
102	P63104				27.727728395027338	90.2	8.98	452.5969514426836					Single Protein		P63104	2	3	1	1	1	1	4	5	31.612903225806456	Doubtful
103	Q92769				55.32878850409551	66.39	4.1	174.34945456518471					Single Protein		Q92769	2	2	1	1	1	1	3	3	31.612903225806456	Doubtful
104	P61353				15.787747588872511	100.0	30.15	1195.8321413117965	Oxidation of M(M81)	Oxidation of M(1)			Single Protein		P61353	3	3	3	3	3	3	6	8	31.612903225806456	Doubtful
105	O95373				119.43987033421797	52.79	0.87	118.75368471588484					Single Protein		O95373	1	2	2	1	2	1	2	3	31.612903225806456	Doubtful
106	Q96ST3				145.08458909267398	68.34	0.94	86.88442946402154					Single Protein		Q96ST3	1	3	3	1	3	1	2	4	31.612903225806456	Doubtful
107	P38919				46.84118210471682	81.75	3.65	215.83698900916298					Single Protein		P38919	1	2	2	1	2	1	2	3	31.612903225806456	Doubtful
108	Q01105				33.4687054628989	55.52	3.79	234.67990074805815					Single Protein		Q01105	1	1	1	1	1	1	1	1	31.612903225806456	Doubtful
109	Q6ZNL6				159.79111898474147	61.83	1.3	83.68773819128866					Single Protein		Q6ZNL6	1	1	1	1	1	1	2	3	31.612903225806456	Doubtful
110	Q14498				59.342694028015906	73.96	3.21	99.67303649748987					Single Protein		Q14498	1	2	2	1	2	1	1	2	31.612903225806456	Doubtful
111	P58107				555.2789744304341	69.1	2.44	1.9620175011621341					Related Proteins	Q15149	P58107, Q15149	2	2	0	0	2	2	4	4	31.612903225806456	Doubtful
112	P11021				72.28843632474035	82.57	5.35	170.99896682620962					Single Protein		P11021	3	3	2	2	2	2	4	4	31.612903225806456	Doubtful
113	P13647				62.33997694347283	68.98	4.75	225.69014648553167					Single Protein		P13647	4	4	1	1	1	1	7	8	31.612903225806456	Doubtful
114	P13645				58.79169361540863	58.73	25.51	730.4423633056074					Single Protein		P13645	13	13	13	13	13	13	27	27	31.612903225806456	Doubtful
115	Q09028				47.62607244173164	35.76	15.06	955.681615620558					Single Protein		Q09028	5	5	3	3	3	3	10	10	31.612903225806456	Doubtful
116	P30153				65.26691324889306	81.83	3.4	250.11936790253566	Oxidation of M(M528)	Oxidation of M(1)			Single Protein		P30153	2	3	3	2	3	2	4	5	31.612903225806456	Doubtful
117	P07900				84.60668133444835	81.97	1.78	141.4816626519394	Oxidation of M(M98)	Oxidation of M(1)			Related Proteins	P08238, Q14568, Q58FF8, Q58FG1	P07900, P08238, Q14568, Q58FF8, Q58FG1	1	1	0	0	0	0	2	2	31.612903225806456	Doubtful
118	P68363				50.119604615111854	68.51	17.52	282.661519458315	Oxidation of M(M36)	Oxidation of M(1)			Related Proteins	P68366, Q71U36, Q9BQE3	P68363, P68366, Q71U36, Q9BQE3	8	8	0	0	0	0	18	20	31.612903225806456	Doubtful
119	O75821				35.58892028308548	67.5	6.88	207.91172456898278					Single Protein		O75821	2	3	3	2	3	2	2	3	31.612903225806456	Doubtful
120	Q13813				284.36420981391154	90.05	0.85	17.942759401853962					Single Protein		Q13813	1	1	1	1	1	1	1	1	31.612903225806456	Doubtful
121	Q9NYF8				106.05879091271167	96.63	3.26	74.83886598658547					Single Protein		Q9NYF8	2	4	4	2	4	2	2	4	31.612903225806456	Doubtful
122	P05387				11.657847320484041	71.3	10.43	1081.8171034483657					Single Protein		P05387	1	2	2	1	2	1	2	3	31.612903225806456	Doubtful
123	P68363				50.119604615111854	68.51	22.39	307.496548152415	Oxidation of M(M36)	Oxidation of M(1)			Related Proteins	Q13748, Q6PEY2, Q71U36, Q9BQE3	P68363, Q13748, Q6PEY2, Q71U36, Q9BQE3	9	9	0	0	0	0	20	21	31.612903225806456	Doubtful
124	P08238				83.21210205664808	82.46	8.01	215.6121588122785					Related Proteins	Q58FF7	P08238, Q58FF7	5	5	0	0	0	0	7	8	31.612903225806456	Doubtful
125	P11142				70.8542234932565	66.56	20.9	429.60669148638493	Oxidation of M(M61, M87, M237)	Oxidation of M(3)			Single Protein		P11142	12	13	11	10	11	10	21	24	31.612903225806456	Doubtful
