	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9H0E3				110.2554446558843	32.35	0.95	206.38409602634678	Oxidation of M(M1006)	Oxidation of M(1)			Single Protein		Q9H0E3	1	1	1	1	1	1	1	1	100.0	Doubtful
2	NM_003019_1	Homo sapiens surfactant protein D (SFTPD), mRNA|SFTPD|frame-3			8.474285183693507	73.08	15.38	1010.7528805392881	Oxidation of M(M40)	Oxidation of M(1)			Single Protein		NM_003019_1	1	1	1	1	1	1	1	2	100.0	Doubtful
3	Q08170				56.64533079785475	100.0	1.82	319.1851201703015					Related Proteins	Q13243, Q13247	Q08170, Q13243, Q13247	1	1	1	1	1	1	2	2	100.0	Doubtful
4	P29692				31.10278320777167	73.67	16.73	1075.4986166592428	Oxidation of M(M29)	Oxidation of M(1)			Single Protein		P29692	4	4	4	4	4	4	7	7	100.0	Doubtful
5	O60888				19.10411244227116	46.93	7.82	567.1850696551402					Single Protein		O60888	1	1	1	1	1	1	1	1	100.0	Doubtful
6	Q9Y230				51.12455427949146	82.07	2.81	182.9204749003816	Oxidation of M(M46)	Oxidation of M(1)			Single Protein		Q9Y230	1	1	1	1	1	1	1	1	100.0	Doubtful
7	P07437				49.63897134453148	54.5	30.18	709.6854771059997	Oxidation of M(M73, M164, M257, M267, M330, M363, M388)	Oxidation of M(7)			Single Protein		P07437	11	12	3	2	3	2	19	21	100.0	Doubtful
8	P68104				50.10910826932214	55.63	14.07	574.2323562960994	Oxidation of M(M276, M404, M410)	Oxidation of M(3)			Related Proteins	Q5VTE0	P68104, Q5VTE0	4	4	4	4	4	4	6	6	100.0	Doubtful
9	O95373				119.43987033421797	44.99	6.07	381.70466880874596	Oxidation of M(M174, M543)	Oxidation of M(2)			Single Protein		O95373	5	5	5	5	5	5	7	7	100.0	Doubtful
10	P0DME0				34.861296231789474	49.67	3.31	396.1744958897712					Related Proteins	Q01105	P0DME0, Q01105	1	1	1	1	1	1	1	1	100.0	Doubtful
11	Q86V81				26.871620031156695	71.98	5.06	306.7654656889668					Single Protein		Q86V81	1	1	1	1	1	1	1	2	100.0	Doubtful
12	Q15029				109.36628102068903	58.02	4.53	349.124787239416	Oxidation of M(M687, M822)	Oxidation of M(2)			Single Protein		Q15029	4	5	5	4	5	4	7	8	100.0	Doubtful
13	Q99733				42.79689085890892	56.0	12.27	1008.3099732751447	Oxidation of M(M32)	Oxidation of M(1)			Single Protein		Q99733	4	4	3	3	3	3	8	8	100.0	Doubtful
14	Q15061				74.84343669575311	59.08	1.33	132.0581652965904	Oxidation of M(M397)	Oxidation of M(1)			Single Protein		Q15061	1	1	1	1	1	1	1	1	100.0	Doubtful
15	Q5SNT6				136.886879855278	59.86	1.28	68.61507805227542					Related Proteins	Q641Q2, Q9Y4E1	Q5SNT6, Q641Q2, Q9Y4E1	1	1	1	1	1	1	1	1	100.0	Doubtful
16	P49458				10.105110978329646	100.0	22.09	1833.458713536383	Oxidation of M(M23)	Oxidation of M(1)			Single Protein		P49458	2	2	2	2	2	2	3	3	100.0	Doubtful
