	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q86XI2				130.87607918483545	85.21	7.35	38.05962861263207				Single Protein		Q86XI2	5	8	8	5	8	11	15	100.0	0	Confident
2	P68104				50.10910826932214	65.8	21.86	660.9346837628437	Oxidation of M(M276)	Oxidation of M(1)		Related Proteins	Q5VTE0	P68104, Q5VTE0	9	12	12	9	12	146	150	100.0	0	Confident
3	P40227				57.987597263605494	86.44	6.03	59.297990525245496				Single Protein		P40227	2	2	2	2	2	4	4	100.0	0	Confident
4	A6NNZ2				49.540604810831134	50.45	3.15	32.518252868683014				Related Proteins	P04350, P07437, P68371, Q13885, Q3ZCM7, Q9BUF5, Q9BVA1	A6NNZ2, P04350, P07437, P68371, Q13885, Q3ZCM7, Q9BUF5, Q9BVA1	1	2	0	0	2	2	3	100.0	0	Doubtful
5	Q99986				45.44743567821295	91.67	3.54	49.98673581466976				Single Protein		Q99986	1	1	1	1	1	2	2	100.0	0	Doubtful
6	P17844				69.10473382539206	75.73	19.87	146.52983391212345				Single Protein		P17844	11	14	13	10	13	24	32	100.0	0	Confident
7	P35658				213.4882520520574	45.31	1.05	8.534894214828373				Single Protein		P35658	1	1	1	1	1	1	1	100.0	0	Doubtful
8	P22314				117.77432920492443	78.26	2.74	24.78850423596328				Single Protein		P22314	2	5	5	2	5	3	7	100.0	0	Confident
9	P61964				36.56545229372351	82.93	4.79	54.32690149917701				Single Protein		P61964	1	1	1	1	1	2	2	100.0	0	Doubtful
10	P61978				50.94440274865072	82.51	50.11	6137.154627904665	Oxidation of M(M27)	Oxidation of M(1)		Single Protein		P61978	27	30	30	27	30	716	766	100.0	0	Confident
