	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q8WXA9				59.34501049295324	84.06	19.09	156.12596505653414	Oxidation of M(M129, M150)	Oxidation of M(2)		Single Protein		Q8WXA9	6	6	6	6	6	9	10	100.0	0	Confident
2	Q9UKV3				151.77079068994243	73.75	6.11	60.54902834207621	Oxidation of M(M319, M320)	Oxidation of M(2)		Single Protein		Q9UKV3	8	12	12	8	12	11	16	100.0	0	Confident
3	Q92522				22.47353260066597	100.0	12.21	309.42022447503				Single Protein		Q92522	3	3	3	3	3	6	8	100.0	0	Confident
4	P68104				50.10910826932214	55.63	32.47	408.0030023019231	Oxidation of M(M276, M404, M410)	Oxidation of M(3)		Related Proteins	Q5VTE0	P68104, Q5VTE0	11	11	11	11	11	28	28	100.0	0	Confident
5	A6QL64_REVERSED				217.33109465032908	96.39	0.72	37.04173545773859				Related Proteins	Q5JPF3_REVERSED	A6QL64_REVERSED, Q5JPF3_REVERSED	1	3	0	0	3	8	25	99.21875	1	Doubtful
6	Q9BU76				29.39394032622967	100.0	5.32	68.3441145660367				Single Protein		Q9BU76	1	1	1	1	1	1	1	100.0	0	Doubtful
7	Q9BTT0				30.67384802276165	45.15	29.48	477.28903963320886	Oxidation of M(M49)	Oxidation of M(1)		Single Protein		Q9BTT0	6	8	8	6	8	11	13	100.0	0	Confident
8	P25440				88.006311905524	56.3	7.12	131.57699092099932	Oxidation of M(M421)	Oxidation of M(1)		Single Protein		P25440	6	7	3	3	3	13	15	100.0	0	Confident
9	P60660				16.91913314499716	82.12	19.21	357.1093138582977	Oxidation of M(M73)	Oxidation of M(1)		Single Protein		P60660	2	3	3	2	3	4	6	100.0	0	Confident
10	P13489				49.94108720369384	72.23	2.39	83.99300061153106				Single Protein		P13489	1	1	1	1	1	2	2	100.0	0	Doubtful
11	Q14204				532.0718395312898	78.09	0.73	7.672468895597367				Single Protein		Q14204	3	9	9	3	9	3	10	100.0	0	Confident
12	P21127				92.65030386123267	76.35	13.08	63.324036743725486	Oxidation of M(M700)	Oxidation of M(1)		Related Proteins	Q9UQ88	P21127, Q9UQ88	9	12	0	0	12	18	22	100.0	0	Confident
13	P22314				117.77432920492443	58.6	4.35	57.29577181970562	Oxidation of M(M1015)	Oxidation of M(1)		Single Protein		P22314	4	5	5	4	5	6	7	100.0	0	Confident
14	P61964				36.56545229372351	69.16	2.4	107.63174928663263				Single Protein		P61964	1	1	1	1	1	2	2	90.9090909090909	0	Doubtful
15	Q8IWX8				103.63711519008565	51.09	1.2	64.19465046738445				Single Protein		Q8IWX8	1	3	3	1	3	2	4	100.0	0	Doubtful
16	P68363				50.119604615111854	68.51	31.49	243.75968474390325	Oxidation of M(M313)	Oxidation of M(1)		Related Proteins	P68366	P68363, P68366	12	12	0	0	0	35	35	100.0	0	Confident
17	Q9NPF5				52.95979608595446	81.8	2.57	82.83180705468963				Single Protein		Q9NPF5	1	1	1	1	1	2	2	100.0	0	Doubtful
18	P43243				94.56479778685481	75.56	19.24	151.7835145599453	Oxidation of M(M38, M539)	Oxidation of M(2)		Single Protein		P43243	12	15	15	12	15	24	30	100.0	0	Confident
19	P61978				50.94440274865072	72.14	8.64	172.53012516539627				Single Protein		P61978	3	5	5	3	5	6	9	100.0	0	Confident
20	O15042				118.21860259100795	76.19	7.58	64.27380540014325	Oxidation of M(M398, M458)	Oxidation of M(2)		Single Protein		O15042	7	9	8	6	9	9	12	100.0	0	Confident
21	O95678				59.52403085076316	71.69	2.18	22.752534342870444				Related Proteins	P02538, P04259, P13647, P35908, P48668, Q5XKE5	O95678, P02538, P04259, P13647, P35908, P48668, Q5XKE5	1	1	0	0	1	1	1	100.0	0	Doubtful
22	Q9BUQ8				95.52389390005519	93.54	2.44	45.56274304402445				Single Protein		Q9BUQ8	2	3	3	2	3	3	4	100.0	0	Confident
23	Q9UBF2				97.55958291838591	75.77	1.38	22.384186962475276				Related Proteins	Q9Y678	Q9UBF2, Q9Y678	1	1	1	1	1	1	1	100.0	0	Doubtful
24	O75533				145.73809334204142	71.86	1.46	15.589334025036989				Single Protein		O75533	1	3	3	1	3	1	3	100.0	0	Doubtful
25	P55209				45.345933698967606	50.13	6.91	97.58144479298397				Single Protein		P55209	2	3	2	1	2	3	5	100.0	0	Confident
26	Q7Z4V5				74.27222971678142	85.69	33.23	431.71360611936	Oxidation of M(M126, M250, M459)	Oxidation of M(3)		Single Protein		Q7Z4V5	24	35	31	21	35	69	91	100.0	0	Confident
27	O95983				32.82332978686719	76.98	5.15	71.32738940820495				Single Protein		O95983	1	1	1	1	1	1	1	100.0	0	Doubtful
28	Q07955				27.727814961380233	100.0	16.53	283.87150542700925	Oxidation of M(M168)	Oxidation of M(1)		Single Protein		Q07955	4	6	6	4	6	7	10	100.0	0	Confident
29	Q92541				80.26460941650468	81.83	8.31	142.9582996224023	Oxidation of M(M586)	Oxidation of M(1)		Single Protein		Q92541	6	11	11	6	11	11	17	100.0	0	Confident
30	Q8TAQ2				132.7967512662691	56.75	0.66	15.343151626860989				Related Proteins	Q92922	Q8TAQ2, Q92922	1	3	0	0	3	2	4	100.0	0	Doubtful
31	Q8IV35_REVERSED				79.24448189937807	79.77	1.43	59.224059739267375	Oxidation of M(M325)	Oxidation of M(1)		Single Protein		Q8IV35_REVERSED	1	1	1	1	1	2	2	99.2094861660079	1	Doubtful
32	P27348				27.746766754682028	79.59	35.92	279.85642754776563	Oxidation of M(M160, M218)	Oxidation of M(2)		Single Protein		P27348	9	10	6	5	7	16	18	100.0	0	Confident
33	P05388				34.251797655797155	59.94	6.62	188.80779549230724				Related Proteins	Q8NHW5	P05388, Q8NHW5	2	2	2	2	2	3	3	100.0	0	Confident
34	O14686				593.0171998751971	41.39	0.18	5.740818310721063				Single Protein		O14686	1	2	2	1	2	1	2	100.0	0	Doubtful
35	P53618				107.0737488352521	76.92	1.15	20.68412212988222	Oxidation of M(M323)	Oxidation of M(1)		Single Protein		P53618	1	3	3	1	3	1	3	100.0	0	Doubtful
36	P19784				41.18712468290364	85.14	16.57	205.4228814956303	Oxidation of M(M138, M164)	Oxidation of M(2)		Single Protein		P19784	5	5	4	4	4	9	10	100.0	0	Confident
37	P61247				29.925739272189062	100.0	13.26	215.60324525661954	Oxidation of M(M38, M229)	Oxidation of M(2)		Single Protein		P61247	3	4	4	3	4	5	7	100.0	0	Confident
