	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	F56D12.4a.2_4	ref_frame-3|F56D12.4alt_frame-1			22.06252437947449	62.16	0.0	0.0				Single Protein		F56D12.4a.2_4	0	1	1	0	1	0	1	0.0	0	Doubtful
2	Q86GC1	Uncharacterized protein (Q86GC1_CAEEL)	CELE_T04B2.7		40.52313000422442	92.92	0.0	0.0				Single Protein		Q86GC1	0	1	1	0	1	0	1	0.0	0	Doubtful
3	O45587_REVERSED	Uncharacterized protein (O45587_REVERSED_CAEEL)-REVERSED			93.38969400718184	87.05	0.0	0.0				Single Protein		O45587_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
4	O01422_REVERSED	COP9 signalosome complex subunit 2 (CSN2_CAEEL)-REVERSED			56.74450007194301	76.97	0.0	0.0				Single Protein		O01422_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
5	Q17529_REVERSED	Bestrophin homolog 2 (BEST2_CAEEL)-REVERSED			49.952402117803985	70.78	0.0	0.0				Single Protein		Q17529_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
6	Q9TYS3	Ferritin (Q9TYS3_CAEEL)	ftn-2	I	19.58070075291597	100.0	21.18	345.58387270468137				Single Protein		Q9TYS3	4	5	5	4	5	7	8	100.0	0	Confident
7	Q18691_REVERSED	Protein FAM50 homolog (FAM50_CAEEL)-REVERSED			37.881188681146554	100.0	0.0	0.0				Single Protein		Q18691_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
8	O62301_REVERSED	Protein smg-8 (SMG8_CAEEL)-REVERSED			99.90690175183605	76.63	0.0	0.0				Related Proteins	U4PEH8_REVERSED	O62301_REVERSED, U4PEH8_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
9	F30H5.3_2	ref_frame-1|F30H5.3alt_frame-2			24.81163204416632	30.84	0.0	0.0				Single Protein		F30H5.3_2	0	1	1	0	1	0	1	0.0	0	Doubtful
10	O61772	Uncharacterized protein (O61772_CAEEL)	C35E7.4	I	73.86354823093285	68.73	0.0	0.0				Single Protein		O61772	0	1	1	0	1	0	1	0.0	0	Doubtful
11	Q22623	Mitochondrial Ribosomal Protein, Large (Q22623_CAEEL)	mrpl-50	II	32.88662009125559	82.11	0.0	0.0				Single Protein		Q22623	0	1	1	0	1	0	1	0.0	0	Doubtful
12	K06A1.4.1_2_REVERSED	ref_frame-2|K06A1.4alt_frame-3-REVERSED			5.499715026803371	100.0	0.0	0.0				Single Protein		K06A1.4.1_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
13	Q93575_REVERSED	Regulator of telomere elongation helicase 1 homolog (RTEL1_CAEEL)-REVERSED			112.87338902006272	87.53	0.0	0.0				Single Protein		Q93575_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
14	ZK617.1e.1_21	ref_frame-1|ZK617.1alt_frame-2			17.835034104711195	76.97	0.0	0.0				Single Protein		ZK617.1e.1_21	0	1	1	0	1	0	2	0.0	0	Doubtful
15	A0A0S4XR31_REVERSED	TeNSin homolog (A0A0S4XR31_REVERSED_CAEEL)-REVERSED			147.16263780745783	69.1	0.0	0.0				Related Proteins	H2L045_REVERSED, H2L046_REVERSED, H2L047_REVERSED	A0A0S4XR31_REVERSED, H2L045_REVERSED, H2L046_REVERSED, H2L047_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
16	ZK617.1e.1_22	ref_frame-1|ZK617.1alt_frame-2			37.42378376707574	76.0	0.0	0.0				Single Protein		ZK617.1e.1_22	0	1	1	0	1	0	1	0.0	0	Doubtful
17	C6KRI9_REVERSED	Uncharacterized protein (C6KRI9_REVERSED_CAEEL)-REVERSED			263.9990871533381	83.91	0.0	0.0				Related Proteins	Q22847_REVERSED, X5M5W2_REVERSED, X5M900_REVERSED	C6KRI9_REVERSED, Q22847_REVERSED, X5M5W2_REVERSED, X5M900_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
18	T09F3.2_2_REVERSED	ref_frame-1|T09F3.2alt_frame-2-REVERSED			4.70533243815875	100.0	0.0	0.0				Single Protein		T09F3.2_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
19	Q6BES8	Uncharacterized protein (Q6BES8_CAEEL)	CELE_F53F4.16		7.437913756317785	100.0	0.0	0.0				Single Protein		Q6BES8	0	1	1	0	1	0	1	0.0	0	Doubtful
20	G5EFJ4_REVERSED	Condensin complex subunit capg-1 (CAPG1_CAEEL)-REVERSED			131.38192700124537	82.65	0.0	0.0				Single Protein		G5EFJ4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
