	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	P61158				47.34098137951422	76.08	42.82	282.96411244841687	Oxidation of M(M93, M372)	Oxidation of M(2)		Single Protein		P61158	14	14	14	14	14	26	28	100.0	0	Confident
2	Q567U6				73.15190051221317	90.81	19.33	145.71162280400227				Single Protein		Q567U6	12	12	12	12	12	20	24	100.0	0	Confident
3	P61160				44.73223355239567	76.14	19.8	280.7421919363066	Oxidation of M(M309)	Oxidation of M(1)		Single Protein		P61160	9	10	10	9	10	17	18	100.0	0	Confident
4	Q92928				22.00303172145414	100.0	12.94	108.97870982184061				Related Proteins	Q9H0U4	Q92928, Q9H0U4	2	2	0	0	2	3	4	100.0	0	Doubtful
5	Q9UKX7				50.11316358276398	80.77	2.14	35.88584645181842				Single Protein		Q9UKX7	1	2	2	1	2	1	2	98.87640449438202	0	Doubtful
6	Q9UL15				51.16770877839039	94.41	2.68	35.002749559268075				Single Protein		Q9UL15	1	1	1	1	1	1	1	100.0	0	Doubtful
7	Q6Y7W6				149.97826995419558	64.67	1.0	16.96987966702042				Single Protein		Q6Y7W6	1	3	3	1	3	1	3	100.0	0	Doubtful
8	Q92530				29.798014149229743	53.51	6.27	78.62426659795392				Single Protein		Q92530	1	1	1	1	1	1	1	100.0	0	Doubtful
9	Q8WXF1				58.70619460813852	67.11	18.55	211.2987204093381				Single Protein		Q8WXF1	9	12	12	9	12	19	22	100.0	0	Confident
10	P68104				50.10910826932214	60.61	27.06	321.4222065829862				Related Proteins	Q5VTE0	P68104, Q5VTE0	9	12	12	9	12	24	26	100.0	0	Confident
11	Q9UL46				27.384315650885558	100.0	13.81	240.03977626627778	Oxidation of M(M185)	Oxidation of M(1)		Single Protein		Q9UL46	3	4	4	3	4	6	7	100.0	0	Confident
12	Q9NWY4				39.411033409964226	78.9	5.49	57.312194333307076				Single Protein		Q9NWY4	1	2	2	1	2	1	2	100.0	0	Doubtful
13	P49411				49.510181136414104	94.03	5.09	103.84665300658959				Single Protein		P49411	2	2	2	2	2	4	4	100.0	0	Confident
14	Q8WX93				150.47023628320508	62.26	3.9	58.205407981471204				Single Protein		Q8WX93	5	6	6	5	6	8	8	100.0	0	Confident
15	Q14195				61.9240951899085	75.61	23.33	176.5042626854701				Single Protein		Q14195	9	10	7	6	7	17	18	100.0	0	Confident
16	Q9H4A3				250.63998015516705	36.36	0.5	16.13013304432251				Single Protein		Q9H4A3	1	1	1	1	1	1	1	100.0	0	Doubtful
17	O75348				13.749083045087946	100.0	13.56	265.19032293208187				Related Proteins	O95670	O75348, O95670	1	1	1	1	1	2	2	100.0	0	Doubtful
18	P49441				43.97024721041344	66.67	5.01	97.78893158120519				Single Protein		P49441	2	2	2	2	2	3	4	100.0	0	Confident
19	O00764				35.079911919018926	78.53	13.46	170.29909173325532				Single Protein		O00764	3	3	3	3	3	5	5	100.0	0	Confident
20	Q09666				628.6993855112892	92.46	32.99	17.447072512685633	Oxidation of M(M808, M811, M820, M936, M939, M1185, M1188, M1197, M1313, M1316, M1643, M1646, M1655, M1671, M1845, M1848, M1857, M1912, M1915, M1924, M1979, M1982, M1991, M2007, M2119, M2174, M2177, M2202, M2302, M2305, M2376, M2379, M2443, M2446, M2697, M2700, M2709, M2825, M2828, M2953, M2956, M3081, M3084, M3093, M3109, M3209, M3212, M3221, M3545, M3661, M3664, M3747, M3863, M3866, M3875, M3891, M3991, M3994, M4247, M4250, M4375, M4378, M4449, M4452, M4723)	Oxidation of M(65)		Single Protein		Q09666	75	82	82	75	82	149	169	100.0	0	Confident
21	Q96A49				39.90886348129711	59.09	9.09	99.44637109953071				Single Protein		Q96A49	2	2	2	2	2	2	2	100.0	0	Confident
22	Q8IWZ8				72.42547365191643	76.59	2.02	25.990413709290415				Single Protein		Q8IWZ8	1	2	2	1	2	1	2	100.0	0	Doubtful
23	Q16881				70.86221675622504	84.13	1.54	24.108211175643806				Single Protein		Q16881	1	1	1	1	1	1	1	100.0	0	Doubtful
24	Q9NXV6				61.08785219820151	78.1	12.41	99.57587488042068				Single Protein		Q9NXV6	5	5	5	5	5	8	8	100.0	0	Confident
25	P61978				50.94440274865072	77.11	9.07	163.83485919364222				Single Protein		P61978	2	2	2	2	2	6	6	100.0	0	Confident
26	Q14247				61.548531657824725	80.18	14.73	156.19197451130412				Single Protein		Q14247	8	12	12	8	12	15	18	100.0	0	Confident
27	O15067				144.64289009266898	55.38	24.66	106.98687781905872				Single Protein		O15067	24	27	27	24	27	44	50	100.0	0	Confident
28	Q53HV7				29.84241740792325	54.81	4.44	133.7284534443832				Single Protein		Q53HV7	1	1	1	1	1	2	2	100.0	0	Doubtful
29	Q9Y6G5				22.95211705502769	81.68	4.46	189.65126124839796				Single Protein		Q9Y6G5	1	1	1	1	1	2	2	100.0	0	Doubtful
30	Q2TAL8				86.38187420825344	43.56	2.45	128.59914290131093				Single Protein		Q2TAL8	2	2	2	2	2	4	4	100.0	0	Confident
31	Q9NP61				56.89296618672141	74.03	4.26	85.40518042026655				Single Protein		Q9NP61	2	2	2	2	2	3	3	100.0	0	Confident
32	O43929				50.345076021916164	82.11	5.28	53.82876967772763				Single Protein		O43929	2	2	2	2	2	2	4	100.0	0	Confident
33	Q92597				42.807723707616425	51.27	9.9	103.3891787642698				Single Protein		Q92597	2	2	2	2	2	2	2	100.0	0	Confident
34	P27361				43.10811476364532	75.99	5.8	110.44396978583177				Single Protein		P27361	2	3	2	1	2	4	5	100.0	0	Confident
35	Q8ND56				50.49911693069789	72.79	5.18	64.29957145065546				Single Protein		Q8ND56	2	2	2	2	2	2	3	100.0	0	Confident
36	Q52LJ0				37.16702584577766	83.03	12.12	205.64115366069998				Single Protein		Q52LJ0	4	4	4	4	4	7	7	100.0	0	Confident
37	Q8IVF2				616.2423558182049	85.02	0.72	4.3253489825818745				Single Protein		Q8IVF2	2	4	4	2	4	2	5	98.86363636363636	0	Doubtful
38	Q9UJU6				48.177565994735474	76.51	2.56	47.55692721274417				Single Protein		Q9UJU6	1	1	1	1	1	1	1	100.0	0	Doubtful
39	P49591				58.7400472795145	82.1	3.31	98.81828875574419				Single Protein		P49591	2	2	2	2	2	4	4	100.0	0	Confident
