	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q9UL58				59.99598879165774	89.56	0.0	0.0				Single Protein		Q9UL58	0	1	1	0	1	0	1	0.0	0	Doubtful
2	Q9P0X4_REVERSED				244.94538664512393	46.6	0.0	0.0				Single Protein		Q9P0X4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
3	P78346_REVERSED				29.302681612326616	100.0	0.0	0.0				Single Protein		P78346_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
4	NM_012104_2	Homo sapiens beta-site APP-cleaving enzyme 1 (BACE1), transcript variant a, mRNA|BACE1|frame-1			4.592422907845661	100.0	0.0	0.0				Related Proteins	NM_138971_1, NM_138972_2, NM_138973_1	NM_012104_2, NM_138971_1, NM_138972_2, NM_138973_1	0	1	1	0	1	0	1	0.0	0	Doubtful
5	NM_207307_2	Homo sapiens chromosome 3 open reading frame 25 (C3orf25), mRNA|C3orf25|frame-3			8.075013372534954	100.0	0.0	0.0				Single Protein		NM_207307_2	0	1	1	0	1	0	1	0.0	0	Doubtful
6	Q93088_REVERSED				44.96984867656717	93.1	0.0	0.0				Single Protein		Q93088_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
7	Q70EL2_REVERSED				91.67509354658067	92.14	0.0	0.0				Single Protein		Q70EL2_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
8	Q9BXU2_REVERSED				33.946085087001265	66.67	0.0	0.0				Single Protein		Q9BXU2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
9	Q8IZ52_REVERSED				85.41404304872235	63.35	0.0	0.0				Single Protein		Q8IZ52_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
10	Q9UL62				111.3405030812205	65.06	0.0	0.0				Single Protein		Q9UL62	0	1	1	0	1	0	1	0.0	0	Doubtful
11	NM_013440_7_REVERSED	Homo sapiens paired immunoglobin-like type 2 receptor beta (PILRB), transcript variant 1, mRNA|PILRB|frame-3-REVERSED			13.773820305711553	32.82	0.0	0.0				Single Protein		NM_013440_7_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
12	NM_006532_7_REVERSED	Homo sapiens elongation factor RNA polymerase II (ELL), mRNA|ELL|frame-2-REVERSED			5.6276974621629305	53.57	0.0	0.0				Single Protein		NM_006532_7_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
13	P40205				11.724950316893194	71.56	0.0	0.0				Single Protein		P40205	0	1	1	0	1	0	1	0.0	0	Doubtful
14	NM_020638_2_REVERSED	Homo sapiens fibroblast growth factor 23 (FGF23), mRNA|FGF23|frame-3-REVERSED			13.473041406303066	64.66	0.0	0.0				Single Protein		NM_020638_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
15	NM_144613_3_REVERSED	Homo sapiens cytochrome c oxidase subunit VIb polypeptide 2 (testis) (COX6B2), mRNA|COX6B2|frame-1-REVERSED			5.14950414792331	100.0	0.0	0.0				Single Protein		NM_144613_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
16	Q5VVW2				112.78156224949764	70.68	0.0	0.0				Single Protein		Q5VVW2	0	1	1	0	1	0	1	0.0	0	Doubtful
17	Q9UKV3				151.77079068994243	84.49	0.0	0.0				Single Protein		Q9UKV3	0	1	1	0	1	0	1	0.0	0	Doubtful
18	Q567U6				73.15190051221317	90.81	0.0	0.0				Single Protein		Q567U6	0	1	1	0	1	0	1	0.0	0	Doubtful
19	Q9H4K7				43.92805314753311	83.25	0.0	0.0				Single Protein		Q9H4K7	0	1	1	0	1	0	1	0.0	0	Doubtful
20	O14559				137.12763257171864	65.35	0.0	0.0				Single Protein		O14559	0	1	1	0	1	0	4	0.0	0	Doubtful
21	NM_017728_4_REVERSED	Homo sapiens transmembrane protein 104 (TMEM104), mRNA|TMEM104|frame-1-REVERSED			4.844524497764701	39.58	0.0	0.0				Single Protein		NM_017728_4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
22	A4D1P6				83.29173545345338	77.38	0.0	0.0				Single Protein		A4D1P6	0	1	1	0	1	0	1	0.0	0	Doubtful
23	Q92620_REVERSED				140.4150848017291	82.07	0.0	0.0				Single Protein		Q92620_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
24	NM_001659_5	Homo sapiens ADP-ribosylation factor 3 (ARF3), mRNA|ARF3|frame-1			4.32233885218816	29.27	0.0	0.0				Single Protein		NM_001659_5	0	1	1	0	1	0	1	0.0	0	Doubtful
25	NM_021163_1_REVERSED	Homo sapiens RB-associated KRAB zinc finger (RBAK), mRNA|RBAK|frame-2-REVERSED			7.100794851294213	100.0	0.0	0.0				Single Protein		NM_021163_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
26	Q8WXF7_REVERSED				63.50328311442238	78.67	0.0	0.0				Single Protein		Q8WXF7_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
27	Q5BKY9				28.367865857754666	100.0	0.0	0.0				Single Protein		Q5BKY9	0	2	2	0	2	0	2	0.0	0	Doubtful
28	NM_004749_2	Homo sapiens transforming growth factor beta regulator 4 (TBRG4), transcript variant 1, mRNA|TBRG4|frame-2			5.2552532955982105	100.0	0.0	0.0				Related Proteins	NM_030900_2, NM_199122_2	NM_004749_2, NM_030900_2, NM_199122_2	0	1	1	0	1	0	1	0.0	0	Doubtful
29	NM_031899_5_REVERSED	Homo sapiens golgi reassembly stacking protein 1, 65kDa (GORASP1), mRNA|GORASP1|frame-1-REVERSED			9.379769818087873	30.59	0.0	0.0				Single Protein		NM_031899_5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
30	NM_152371_5	Homo sapiens chromosome 1 open reading frame 93 (C1orf93), mRNA|C1orf93|frame-3			7.565738285733981	54.05	0.0	0.0				Single Protein		NM_152371_5	0	1	1	0	1	0	1	0.0	0	Doubtful
31	NM_001114092_1_REVERSED	Homo sapiens THUMP domain containing 3 (THUMPD3), transcript variant 2, mRNA|THUMPD3|frame-1-REVERSED			8.607030146991516	100.0	0.0	0.0				Related Proteins	NM_015453_1_REVERSED	NM_001114092_1_REVERSED, NM_015453_1_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
32	O15381_REVERSED				94.99098712118025	82.36	0.0	0.0				Single Protein		O15381_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
33	Q13702				46.298093681967984	100.0	0.0	0.0				Single Protein		Q13702	0	1	1	0	1	0	1	0.0	0	Doubtful
34	Q9NXE8				49.61699015371626	92.94	0.0	0.0				Single Protein		Q9NXE8	0	1	1	0	1	0	1	0.0	0	Doubtful
35	NM_015009_1_REVERSED	Homo sapiens PDZ domain containing ring finger 3 (PDZRN3), mRNA|PDZRN3|frame-2-REVERSED			16.134780253637036	100.0	0.0	0.0				Single Protein		NM_015009_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
36	Q86XA9				221.86276015291375	74.41	0.0	0.0				Single Protein		Q86XA9	0	2	2	0	2	0	2	0.0	0	Doubtful
37	NM_002836_1	Homo sapiens protein tyrosine phosphatase, receptor type, A (PTPRA), transcript variant 1, mRNA|PTPRA|frame-3			19.724196810511277	83.63	0.0	0.0				Related Proteins	Q9H269	NM_002836_1, Q9H269	0	1	1	0	1	0	1	0.0	0	Doubtful
38	NM_030962_5_REVERSED	Homo sapiens SET binding factor 2 (SBF2), mRNA|SBF2|frame-2-REVERSED			5.245117852276101	100.0	0.0	0.0				Single Protein		NM_030962_5_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
39	NM_000911_2	Homo sapiens opioid receptor, delta 1 (OPRD1), mRNA|OPRD1|frame-1			25.766435544521574	73.77	0.0	0.0				Single Protein		NM_000911_2	0	1	1	0	1	0	2	0.0	0	Doubtful
40	NM_032788_1_REVERSED	Homo sapiens zinc finger protein 514 (ZNF514), mRNA|ZNF514|frame-1-REVERSED			23.566333155510836	100.0	0.0	0.0				Single Protein		NM_032788_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
41	NM_005167_1_REVERSED	Homo sapiens protein phosphatase 1J (PP2C domain containing) (PPM1J), mRNA|PPM1J|frame-2-REVERSED			10.270125951367817	100.0	0.0	0.0				Single Protein		NM_005167_1_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
42	Q86V15_REVERSED				189.9479403410783	74.3	0.0	0.0				Single Protein		Q86V15_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
43	Q96A84				45.26357611142967	53.97	0.0	0.0				Single Protein		Q96A84	0	1	1	0	1	0	1	0.0	0	Doubtful
44	Q96A83				45.35259223585739	63.04	0.0	0.0				Single Protein		Q96A83	0	1	1	0	1	0	1	0.0	0	Doubtful
45	NM_001105531_2	Homo sapiens family with sequence similarity 135, member A (FAM135A), transcript variant 1, mRNA|FAM135A|frame-1			6.493793484091341	100.0	0.0	0.0				Related Proteins	NM_020819_2	NM_001105531_2, NM_020819_2	0	2	2	0	2	0	2	0.0	0	Doubtful
46	NM_058167_3	Homo sapiens ubiquitin-conjugating enzyme E2, J2 (UBC6 homolog, yeast) (UBE2J2), transcript variant 2, mRNA|UBE2J2|frame-3			13.084553094312541	75.61	0.0	0.0				Related Proteins	NM_194315_3, NM_194457_3, NM_194458_4	NM_058167_3, NM_194315_3, NM_194457_3, NM_194458_4	0	1	1	0	1	0	1	0.0	0	Doubtful
47	O14578				231.28581307218153	90.73	0.0	0.0				Single Protein		O14578	0	1	1	0	1	0	2	0.0	0	Doubtful
48	Q9UKP5				125.19153749658801	75.38	0.0	0.0				Single Protein		Q9UKP5	0	1	1	0	1	0	1	0.0	0	Doubtful
