	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Y76G2A.1_1	ref_frame-1|Y76G2A.1alt_frame-2			6.201225281698622	100.0	0.0	0.0				Single Protein		Y76G2A.1_1	0	1	1	0	1	0	1	10.735826296743067	0	Doubtful
2	Y50C1A.2_2	ref_frame-1|Y50C1A.2alt_frame-2			5.225778695815112	100.0	0.0	0.0				Single Protein		Y50C1A.2_2	0	1	1	0	1	0	1	10.735826296743067	0	Doubtful
3	Q17860_REVERSED	Diacylglycerol kinase (Q17860_REVERSED_CAEEL)-REVERSED			106.74754380593204	84.87	0.0	0.0				Related Proteins	Q58AU4_REVERSED, Q7JNZ1_REVERSED	Q17860_REVERSED, Q58AU4_REVERSED, Q7JNZ1_REVERSED	0	3	0	0	0	0	3	10.735826296743067	1	Doubtful
4	F53G2.4b_2_REVERSED	ref_frame-1|F53G2.4alt_frame-3-REVERSED			9.728911085497323	100.0	0.0	0.0				Single Protein		F53G2.4b_2_REVERSED	0	1	1	0	1	0	1	10.735826296743067	1	Doubtful
5	Q20447	Uncharacterized protein (Q20447_CAEEL)	CELE_F46B6.6		78.0857243010205	100.0	0.0	0.0				Single Protein		Q20447	0	1	1	0	1	0	1	10.735826296743067	0	Doubtful
6	Y66D12A.15_1	ref_frame-3|Y66D12A.15alt_frame-1			9.403805976275319	100.0	0.0	0.0				Single Protein		Y66D12A.15_1	0	1	1	0	1	0	2	14.769765421372716	0	Doubtful
7	G5EFM7_REVERSED	Uncharacterized protein (G5EFM7_REVERSED_CAEEL)-REVERSED			61.62426133268799	94.13	0.0	0.0				Single Protein		G5EFM7_REVERSED	0	1	1	0	1	0	1	10.735826296743067	1	Doubtful
8	C34F11.2_1	ref_frame-2|C34F11.2alt_frame-3			5.931235628974843	100.0	0.0	0.0				Single Protein		C34F11.2_1	0	1	1	0	1	0	2	14.769765421372716	0	Doubtful
9	Q9XUG5_REVERSED	Transporter (Q9XUG5_REVERSED_CAEEL)-REVERSED			79.57987676749619	59.47	0.0	0.0				Unrelated Proteins	Q9NF30_REVERSED	Q9NF30_REVERSED, Q9XUG5_REVERSED	0	1	1	0	1	0	1	10.735826296743067	1	Doubtful
10	Q94379_REVERSED	Uncharacterized protein (Q94379_REVERSED_CAEEL)-REVERSED			77.27876577652377	83.77	0.0	0.0				Single Protein		Q94379_REVERSED	0	1	1	0	1	0	1	10.735826296743067	1	Doubtful
11	C54G4.6_1	ref_frame-1|C54G4.6alt_frame-2			6.7805363364320534	100.0	0.0	0.0				Single Protein		C54G4.6_1	0	1	1	0	1	0	1	10.735826296743067	0	Doubtful
12	Q09653	Putative cytochrome P450 CYP13A10 (C13AA_CAEEL)	cyp-13A10	II	59.978821481856976	92.1	0.0	0.0				Single Protein		Q09653	0	1	1	0	1	0	1	10.735826296743067	0	Doubtful
13	G8JY12_REVERSED	NeuroPeptide Receptor family (G8JY12_REVERSED_CAEEL)-REVERSED			58.56716177329521	64.71	0.0	0.0				Related Proteins	Q18904_REVERSED	G8JY12_REVERSED, Q18904_REVERSED	0	1	1	0	1	0	1	10.735826296743067	1	Doubtful
14	Q22621	Uncharacterized protein (Q22621_CAEEL)	CELE_T20H4.2		28.002253497311692	100.0	0.0	0.0				Single Protein		Q22621	0	1	1	0	1	0	1	10.735826296743067	0	Doubtful
15	F38A6.3a_1	ref_frame-3|F38A6.3alt_frame-1			20.505510889757026	75.14	0.0	0.0				Related Proteins	F38A6.3b_2	F38A6.3a_1, F38A6.3b_2	0	1	1	0	1	0	1	10.735826296743067	0	Doubtful
16	F01D4.4.2_2	ref_frame-3|F01D4.4alt_frame-1			7.770057794782526	100.0	0.0	0.0				Single Protein		F01D4.4.2_2	0	2	2	0	2	0	2	10.735826296743067	0	Doubtful
17	T27D12.1a.2_3	ref_frame-3|T27D12.1alt_frame-2			10.121838743313456	100.0	0.0	0.0				Single Protein		T27D12.1a.2_3	0	1	1	0	1	0	1	10.735826296743067	0	Doubtful
18	C29F7.10_1_REVERSED	ref_frame-1|C29F7.10alt_frame-2-REVERSED			11.743659223127299	100.0	0.0	0.0				Single Protein		C29F7.10_1_REVERSED	0	1	1	0	1	0	1	10.735826296743067	1	Doubtful
19	Q18132	Uncharacterized protein (Q18132_CAEEL)	C24H10.4	X	7.502070484724544	100.0	0.0	0.0				Single Protein		Q18132	0	1	1	0	1	0	1	10.735826296743067	0	Doubtful
20	K02B9.2_1_REVERSED	ref_frame-3|K02B9.2alt_frame-1-REVERSED			4.751367126498651	100.0	0.0	0.0				Single Protein		K02B9.2_1_REVERSED	0	1	1	0	1	0	1	10.735826296743067	1	Doubtful
21	T22B11.4b_1	ref_frame-2|T22B11.4alt_frame-3			10.782996882071139	100.0	0.0	0.0				Single Protein		T22B11.4b_1	0	1	1	0	1	0	1	10.735826296743067	0	Doubtful
22	G5EEN7	Uncharacterized protein (G5EEN7_CAEEL)	CELE_Y39A1A.3		23.39906903154823	100.0	0.0	0.0				Single Protein		G5EEN7	0	1	1	0	1	0	1	10.735826296743067	0	Doubtful
