	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	NM_005643_1_REVERSED	Homo sapiens TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa (TAF11), mRNA|TAF11|frame-3-REVERSED			5.208646395482901	100.0	0.0	0.0				Single Protein		NM_005643_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
2	Q9P0L2_REVERSED				88.94721348232125	92.7	0.0	0.0				Single Protein		Q9P0L2_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
3	Q9UL58				59.99598879165774	89.56	0.0	0.0				Single Protein		Q9UL58	0	1	1	0	1	0	1	0.0	0	Doubtful
4	Q9P0X4_REVERSED				244.94538664512393	45.48	0.0	0.0				Single Protein		Q9P0X4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
5	NM_133374_6_REVERSED	Homo sapiens zinc finger protein 618 (ZNF618), mRNA|ZNF618|frame-2-REVERSED			7.068766018941694	100.0	0.0	0.0				Single Protein		NM_133374_6_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
6	Q9H6S3_REVERSED				80.57012193263076	77.34	0.0	0.0				Single Protein		Q9H6S3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
7	NM_144719_1_REVERSED	Homo sapiens coiled-coil domain containing 13 (CCDC13), mRNA|CCDC13|frame-2-REVERSED			5.16954496718947	100.0	0.0	0.0				Single Protein		NM_144719_1_REVERSED	0	2	2	0	2	0	3	0.0	1	Doubtful
8	NM_022142_1	Homo sapiens epididymal sperm binding protein 1 (ELSPBP1), mRNA|ELSPBP1|frame-1			7.990089350272741	59.21	0.0	0.0				Single Protein		NM_022142_1	0	1	1	0	1	0	1	0.0	0	Doubtful
9	XM_001126968_1_REVERSED	PREDICTED: Homo sapiens hypothetical LOC729570 (LOC729570), mRNA|LOC729570|frame-3-REVERSED			5.579957965616691	42.86	0.0	0.0				Related Proteins	XM_001130675_1_REVERSED, XM_001717053_1_REVERSED	XM_001126968_1_REVERSED, XM_001130675_1_REVERSED, XM_001717053_1_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
10	Q8NDW8				150.84731403569302	83.71	0.0	0.0				Single Protein		Q8NDW8	0	1	1	0	1	0	1	0.0	0	Doubtful
11	O00192_REVERSED				104.57742379776047	77.55	0.0	0.0				Single Protein		O00192_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
12	NM_004440_3	Homo sapiens EPH receptor A7 (EPHA7), mRNA|EPHA7|frame-1			5.221695309308032	100.0	0.0	0.0				Single Protein		NM_004440_3	0	1	1	0	1	0	1	0.0	0	Doubtful
13	Q8NE79				41.424134238557116	77.22	0.0	0.0				Single Protein		Q8NE79	0	1	1	0	1	0	1	0.0	0	Doubtful
14	Q9H0X4_REVERSED				59.62213640710142	54.35	0.0	0.0				Single Protein		Q9H0X4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
15	NM_006391_3	Homo sapiens importin 7 (IPO7), mRNA|IPO7|frame-3			12.698860323885855	100.0	0.0	0.0				Single Protein		NM_006391_3	0	1	1	0	1	0	1	0.0	0	Doubtful
16	NM_015090_5_REVERSED	Homo sapiens neurofascin homolog (chicken) (NFASC), mRNA|NFASC|frame-1-REVERSED			16.041432500729933	79.17	0.0	0.0				Single Protein		NM_015090_5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
17	Q8IUN9_REVERSED				35.42306121477457	57.59	0.0	0.0				Single Protein		Q8IUN9_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
18	NM_007345_6	Homo sapiens zinc finger protein 236 (ZNF236), mRNA|ZNF236|frame-2			8.627430363778634	100.0	0.0	0.0				Single Protein		NM_007345_6	0	1	1	0	1	0	1	0.0	0	Doubtful
19	NM_015347_4	Homo sapiens RIMS binding protein 2 (RIMBP2), mRNA|RIMBP2|frame-1			4.570265361658441	100.0	0.0	0.0				Single Protein		NM_015347_4	0	1	1	0	1	0	1	0.0	0	Doubtful
20	NM_003774_5_REVERSED	Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4) (GALNT4), mRNA|GALNT4|frame-3-REVERSED			9.158270841262581	66.25	0.0	0.0				Single Protein		NM_003774_5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
21	NM_002654_1_REVERSED	Homo sapiens pyruvate kinase, muscle (PKM2), transcript variant 1, mRNA|PKM2|frame-3-REVERSED			7.2988427724177125	100.0	0.0	0.0				Related Proteins	NM_182470_2_REVERSED, NM_182471_1_REVERSED	NM_002654_1_REVERSED, NM_182470_2_REVERSED, NM_182471_1_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
22	NM_001033561_1	Homo sapiens PHD finger protein 12 (PHF12), transcript variant 1, mRNA|PHF12|frame-2			4.532130771504621	100.0	0.0	0.0				Related Proteins	NM_020889_1	NM_001033561_1, NM_020889_1	0	1	1	0	1	0	2	0.0	0	Doubtful
23	NM_001017388_1	Homo sapiens toll-like receptor 10 (TLR10), transcript variant 2, mRNA|TLR10|frame-3			6.317223669502422	100.0	0.0	0.0				Related Proteins	NM_030956_1	NM_001017388_1, NM_030956_1	0	1	1	0	1	0	1	0.0	0	Doubtful
24	Q9H4L4				64.96868842987423	65.16	0.0	0.0				Single Protein		Q9H4L4	0	1	1	0	1	0	1	0.0	0	Doubtful
25	B2RU33_REVERSED				61.14883619637741	80.63	0.0	0.0				Single Protein		B2RU33_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
26	Q9H4L7				117.32797618478314	70.57	0.0	0.0				Single Protein		Q9H4L7	0	1	1	0	1	0	1	0.0	0	Doubtful
27	Q9UKU7				45.04047116324456	84.34	0.0	0.0				Single Protein		Q9UKU7	0	1	1	0	1	0	1	0.0	0	Doubtful
28	NM_001142605_4	Homo sapiens elongation factor Tu GTP binding domain containing 2 (EFTUD2), transcript variant 2, mRNA|EFTUD2|frame-1			8.06128859964633	100.0	0.0	0.0				Related Proteins	NM_004247_4	NM_001142605_4, NM_004247_4	0	1	1	0	1	0	1	0.0	0	Doubtful
29	NM_003022_2_REVERSED	Homo sapiens SH3 domain binding glutamic acid-rich protein like (SH3BGRL), mRNA|SH3BGRL|frame-3-REVERSED			4.865412922519191	100.0	0.0	0.0				Single Protein		NM_003022_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
30	NM_194449_1	Homo sapiens PH domain and leucine rich repeat protein phosphatase 1 (PHLPP1), mRNA|PHLPP1|frame-3			6.501032016370779	100.0	0.0	0.0				Single Protein		NM_194449_1	0	1	1	0	1	0	1	0.0	0	Doubtful
31	Q96RN1_REVERSED				108.9354120468599	50.41	0.0	0.0				Single Protein		Q96RN1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
32	A6NN14_REVERSED				144.9264573005643	100.0	0.0	0.0				Single Protein		A6NN14_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
33	NM_018897_8	Homo sapiens dynein, axonemal, heavy chain 7 (DNAH7), mRNA|DNAH7|frame-1			6.9767294503475314	58.06	0.0	0.0				Single Protein		NM_018897_8	0	1	1	0	1	0	1	0.0	0	Doubtful
34	NM_014510_5_REVERSED	Homo sapiens piccolo (presynaptic cytomatrix protein) (PCLO), transcript variant 2, mRNA|PCLO|frame-3-REVERSED			6.901903622061824	100.0	0.0	0.0				Related Proteins	NM_033026_5_REVERSED	NM_014510_5_REVERSED, NM_033026_5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
35	Q9HC35_REVERSED				108.84830154620663	69.72	0.0	0.0				Single Protein		Q9HC35_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
36	P59817_REVERSED				60.777036810904725	74.54	0.0	0.0				Single Protein		P59817_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
37	P30872				42.6578822327327	44.25	0.0	0.0				Single Protein		P30872	0	1	1	0	1	0	1	0.0	0	Doubtful
38	NM_001134380_2	Homo sapiens TBC1 domain family, member 5 (TBC1D5), transcript variant 3, mRNA|TBC1D5|frame-2			5.099433668321653	100.0	0.0	0.0				Related Proteins	NM_001134381_3, NM_014744_5	NM_001134380_2, NM_001134381_3, NM_014744_5	0	1	1	0	1	0	1	0.0	0	Doubtful
39	Q96IJ6				46.26207710292187	51.67	0.0	0.0				Single Protein		Q96IJ6	0	1	1	0	1	0	1	0.0	0	Doubtful
40	Q9H6P5_REVERSED				44.42719095440282	65.48	0.0	0.0				Single Protein		Q9H6P5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
41	P62487				19.281875977056895	100.0	20.35	300.7651638006062				Single Protein		P62487	3	3	3	3	3	5	6	100.0	0	Confident
42	P02462_REVERSED				160.5140538273675	56.5	0.0	0.0				Single Protein		P02462_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
43	A6NC78_REVERSED				71.28624751499011	67.41	0.0	0.0				Related Proteins	H3BSY2_REVERSED	A6NC78_REVERSED, H3BSY2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
44	Q96QZ7				164.48081035871195	63.85	0.0	0.0				Single Protein		Q96QZ7	0	2	2	0	2	0	7	0.0	0	Doubtful
45	NM_024786_4	Homo sapiens zinc finger, DHHC-type containing 11 (ZDHHC11), mRNA|ZDHHC11|frame-1			5.697854825109351	100.0	0.0	0.0				Related Proteins	XM_001716434_8	NM_024786_4, XM_001716434_8	0	1	1	0	1	0	1	0.0	0	Doubtful
46	NM_000059_4_REVERSED	Homo sapiens breast cancer 2, early onset (BRCA2), mRNA|BRCA2|frame-3-REVERSED			8.246163743999631	65.22	0.0	0.0				Single Protein		NM_000059_4_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
47	P43034_REVERSED				46.60815765699225	86.59	0.0	0.0				Single Protein		P43034_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
48	NM_000254_13	Homo sapiens 5-methyltetrahydrofolate-homocysteine methyltransferase (MTR), mRNA|MTR|frame-2			13.277621193149319	100.0	0.0	0.0				Single Protein		NM_000254_13	0	1	1	0	1	0	1	0.0	0	Doubtful
49	NM_152536_2_REVERSED	Homo sapiens FYVE, RhoGEF and PH domain containing 5 (FGD5), mRNA|FGD5|frame-1-REVERSED			16.688162489313275	100.0	0.0	0.0				Single Protein		NM_152536_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
50	NM_006835_2_REVERSED	Homo sapiens cyclin I (CCNI), mRNA|CCNI|frame-3-REVERSED			6.279026024160762	100.0	0.0	0.0				Single Protein		NM_006835_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
51	Q13439_REVERSED				260.97973908221854	96.32	0.0	0.0				Single Protein		Q13439_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
52	Q9H4K7				43.92805314753311	83.25	0.0	0.0				Single Protein		Q9H4K7	0	1	1	0	1	0	1	0.0	0	Doubtful
53	NM_004560_4	Homo sapiens receptor tyrosine kinase-like orphan receptor 2 (ROR2), mRNA|ROR2|frame-3			17.999970708133986	76.1	0.0	0.0				Single Protein		NM_004560_4	0	1	1	0	1	0	1	0.0	0	Doubtful
54	NM_001040427_2	Homo sapiens hydroxyacylglutathione hydrolase (HAGH), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA|HAGH|frame-1			8.714247450258863	62.5	0.0	0.0				Related Proteins	NM_005326_2	NM_001040427_2, NM_005326_2	0	1	1	0	1	0	1	0.0	0	Doubtful
55	Q5JWR5_REVERSED				277.1785969090314	59.92	0.0	0.0				Single Protein		Q5JWR5_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
56	NM_003816_3	Homo sapiens ADAM metallopeptidase domain 9 (meltrin gamma) (ADAM9), transcript variant 1, mRNA|ADAM9|frame-2			5.67900731804456	100.0	0.0	0.0				Single Protein		NM_003816_3	0	1	1	0	1	0	1	0.0	0	Doubtful
57	NM_032855_3_REVERSED	Homo sapiens hematopoietic SH2 domain containing (HSH2D), mRNA|HSH2D|frame-1-REVERSED			11.359209628065255	76.0	0.0	0.0				Single Protein		NM_032855_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
58	NM_152723_1	Homo sapiens coiled-coil domain containing 89 (CCDC89), mRNA|CCDC89|frame-2			5.429692542784592	100.0	0.0	0.0				Single Protein		NM_152723_1	0	1	1	0	1	0	1	0.0	0	Doubtful
59	Q9H4K1				37.03689544027872	100.0	0.0	0.0				Single Protein		Q9H4K1	0	1	1	0	1	0	1	0.0	0	Doubtful
60	NM_003170_1	Homo sapiens suppressor of Ty 6 homolog (S. cerevisiae) (SUPT6H), mRNA|SUPT6H|frame-2			16.214753872110023	100.0	0.0	0.0				Single Protein		NM_003170_1	0	1	1	0	1	0	1	0.0	0	Doubtful
61	NM_145007_2	Homo sapiens NLR family, pyrin domain containing 11 (NLRP11), mRNA|NLRP11|frame-2			5.3687682248677415	100.0	0.0	0.0				Single Protein		NM_145007_2	0	1	1	0	1	0	1	0.0	0	Doubtful
62	Q6YI46				39.638978562566365	44.47	0.0	0.0				Single Protein		Q6YI46	0	1	1	0	1	0	1	0.0	0	Doubtful
63	Q8WXA3				75.00788668336168	90.38	0.0	0.0				Single Protein		Q8WXA3	0	1	1	0	1	0	1	0.0	0	Doubtful
64	NM_001042383_9_REVERSED	Homo sapiens centrosomal protein 63kDa (CEP63), transcript variant 3, mRNA|CEP63|frame-3-REVERSED			5.584920474992501	100.0	0.0	0.0				Related Proteins	NM_001042400_8_REVERSED, NM_025180_9_REVERSED	NM_001042383_9_REVERSED, NM_001042400_8_REVERSED, NM_025180_9_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
65	NM_015423_2	Homo sapiens aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (AASDHPPT), mRNA|AASDHPPT|frame-1			5.842984348560241	100.0	0.0	0.0				Single Protein		NM_015423_2	0	1	1	0	1	0	1	0.0	0	Doubtful
66	Q1ED39				51.55721028096693	100.0	0.0	0.0				Single Protein		Q1ED39	0	1	1	0	1	0	1	0.0	0	Doubtful
67	P62495				49.00014979253837	93.82	2.97	71.02737964352988				Single Protein		P62495	1	2	2	1	2	2	3	100.0	0	Doubtful
68	NM_003882_6	Homo sapiens WNT1 inducible signaling pathway protein 1 (WISP1), transcript variant 1, mRNA|WISP1|frame-1			7.122762858650794	100.0	0.0	0.0				Single Protein		NM_003882_6	0	1	1	0	1	0	1	0.0	0	Doubtful
69	O60423				146.65832841117256	63.0	0.0	0.0				Single Protein		O60423	0	1	1	0	1	0	1	0.0	0	Doubtful
70	Q9Y6A2				56.78463450347116	87.4	0.0	0.0				Single Protein		Q9Y6A2	0	2	2	0	2	0	2	0.0	0	Doubtful
71	Q08462_REVERSED				123.52260027490162	63.89	0.0	0.0				Single Protein		Q08462_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
72	B3KS81_REVERSED				80.30787795299885	92.59	0.0	0.0				Single Protein		B3KS81_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
73	Q8N972_REVERSED				74.60297790732326	95.94	0.0	0.0				Single Protein		Q8N972_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
74	Q8N8V2_REVERSED				72.4671022871318	65.05	0.0	0.0				Single Protein		Q8N8V2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
75	NM_014771_1_REVERSED	Homo sapiens ring finger protein 40 (RNF40), mRNA|RNF40|frame-2-REVERSED			8.553226947111495	100.0	0.0	0.0				Single Protein		NM_014771_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
76	P48147				80.64802916912808	80.42	0.0	0.0				Single Protein		P48147	0	1	1	0	1	0	2	0.0	0	Doubtful
