	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9UKT9				57.98577931559534	85.85	0.0	0.0					Single Protein		Q9UKT9	0	1	1	0	1	0	0	1	0.0	Doubtful
2	NM_001040118_4	Homo sapiens ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 (ARAP1), transcript variant 3, mRNA|ARAP1|frame-2			7.290512217007709	32.84	0.0	0.0					Related Proteins	NM_001135190_2, NM_015242_2	NM_001040118_4, NM_001135190_2, NM_015242_2	0	1	1	0	1	0	0	1	0.0	Doubtful
3	NM_020697_6	Homo sapiens potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2 (KCNS2), mRNA|KCNS2|frame-2			6.7133625034474225	57.41	0.0	0.0					Single Protein		NM_020697_6	0	1	1	0	1	0	0	1	0.0	Doubtful
4	NM_016354_1	Homo sapiens solute carrier organic anion transporter family, member 4A1 (SLCO4A1), mRNA|SLCO4A1|frame-1			5.250595890921404	53.06	0.0	0.0					Single Protein		NM_016354_1	0	1	1	0	1	0	0	1	0.0	Doubtful
5	NM_032301_1	Homo sapiens F-box and WD repeat domain containing 9 (FBXW9), mRNA|FBXW9|frame-2			7.537000420505537	100.0	0.0	0.0					Single Protein		NM_032301_1	0	1	1	0	1	0	0	1	0.0	Doubtful
6	NM_016354_3	Homo sapiens solute carrier organic anion transporter family, member 4A1 (SLCO4A1), mRNA|SLCO4A1|frame-3			5.377556326288911	100.0	0.0	0.0					Single Protein		NM_016354_3	0	1	1	0	1	0	0	1	0.0	Doubtful
7	NM_032982_6	Homo sapiens caspase 2, apoptosis-related cysteine peptidase (CASP2), transcript variant 1, mRNA|CASP2|frame-3			5.697792784933071	100.0	0.0	0.0					Related Proteins	NM_032983_7	NM_032982_6, NM_032983_7	0	1	1	0	1	0	0	1	0.0	Doubtful
8	NM_006401_2	Homo sapiens acidic (leucine-rich) nuclear phosphoprotein 32 family, member B (ANP32B), mRNA|ANP32B|frame-3			8.795846156769956	100.0	0.0	0.0					Single Protein		NM_006401_2	0	1	1	0	1	0	0	1	0.0	Doubtful
9	NM_014393_1	Homo sapiens staufen, RNA binding protein, homolog 2 (Drosophila) (STAU2), mRNA|STAU2|frame-2			7.845357018091175	100.0	0.0	0.0					Single Protein		NM_014393_1	0	1	1	0	1	0	0	1	0.0	Doubtful
10	NM_017757_5	Homo sapiens zinc finger protein 407 (ZNF407), transcript variant 1, mRNA|ZNF407|frame-2			9.396888212831644	100.0	0.0	0.0					Single Protein		NM_017757_5	0	1	1	0	1	0	0	1	0.0	Doubtful
11	NM_001080543_1	Homo sapiens chromosome 19 open reading frame 29 (C19orf29), transcript variant 1, mRNA|C19orf29|frame-1			9.909818982587726	100.0	0.0	0.0					Related Proteins	NM_021231_1	NM_001080543_1, NM_021231_1	0	1	1	0	1	0	0	1	0.0	Doubtful
12	Q9UL62				111.3405030812205	55.4	0.0	0.0					Single Protein		Q9UL62	0	1	1	0	1	0	0	1	0.0	Doubtful
13	Q8N3U4				141.23542813358532	65.23	0.0	0.0					Single Protein		Q8N3U4	0	1	1	0	1	0	0	1	0.0	Doubtful
14	NM_017757_1	Homo sapiens zinc finger protein 407 (ZNF407), transcript variant 1, mRNA|ZNF407|frame-2			6.201267540433419	100.0	0.0	0.0					Single Protein		NM_017757_1	0	1	1	0	1	0	0	2	0.0	Doubtful
15	NM_016091_3	Homo sapiens eukaryotic translation initiation factor 3, subunit L (EIF3L), mRNA|EIF3L|frame-2			6.729120478344501	100.0	0.0	0.0					Single Protein		NM_016091_3	0	2	2	0	2	0	0	2	0.0	Doubtful
16	Q9H4L4				64.96868842987423	65.16	0.0	0.0					Single Protein		Q9H4L4	0	1	1	0	1	0	0	1	0.0	Doubtful
17	Q9UKU7				45.04047116324456	78.8	0.0	0.0					Single Protein		Q9UKU7	0	1	1	0	1	0	0	1	0.0	Doubtful
18	P30876				133.81068609894038	70.44	0.0	0.0					Single Protein		P30876	0	1	1	0	1	0	0	1	0.0	Doubtful
19	Q9NXC5				98.52091917610424	92.8	0.0	0.0					Single Protein		Q9NXC5	0	1	1	0	1	0	0	2	0.0	Doubtful
20	NM_004836_5	Homo sapiens eukaryotic translation initiation factor 2-alpha kinase 3 (EIF2AK3), mRNA|EIF2AK3|frame-3			5.652909870016103	100.0	0.0	0.0					Single Protein		NM_004836_5	0	1	1	0	1	0	0	1	0.0	Doubtful
21	XM_002345578_5	PREDICTED: Homo sapiens similar to RIKEN cDNA C230030N03 (LOC100291878), mRNA|LOC100291878|frame-1			12.158388156584001	79.09	0.0	0.0					Single Protein		XM_002345578_5	0	1	1	0	1	0	0	1	0.0	Doubtful
22	Q8WXB4				91.75271811367953	83.71	0.0	0.0					Single Protein		Q8WXB4	0	2	1	0	1	0	0	2	0.0	Doubtful
23	NM_181844_2	Homo sapiens B-cell CLL/lymphoma 6, member B (zinc finger protein) (BCL6B), mRNA|BCL6B|frame-2			9.028566948949527	100.0	0.0	0.0					Single Protein		NM_181844_2	0	1	1	0	1	0	0	1	0.0	Doubtful
24	A6NDD5				25.77953780868427	20.17	0.0	0.0					Single Protein		A6NDD5	0	1	1	0	1	0	0	1	0.0	Doubtful
25	Q96QZ7				164.48081035871195	63.85	0.0	0.0					Single Protein		Q96QZ7	0	1	1	0	1	0	0	1	0.0	Doubtful
