	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9UL15				51.16770877839039	100.0	7.38	47.533297173422234					Single Protein		Q9UL15	2	2	2	2	2	2	3	3	100.0	Confident
2	Q8WXF1				58.70619460813852	71.89	9.75	106.84747618939527					Single Protein		Q8WXF1	4	4	4	4	4	4	6	6	100.0	Confident
3	P68104				50.10910826932214	65.8	32.25	2807.355032615141					Related Proteins	Q5VTE0	P68104, Q5VTE0	12	13	13	12	13	12	478	494	100.0	Confident
4	P40227				57.987597263605494	86.44	15.82	698.6573614467197					Single Protein		P40227	7	10	10	7	10	7	47	50	100.0	Confident
5	Q9UL46				27.384315650885558	100.0	18.83	207.436104401169					Single Protein		Q9UL46	3	3	3	3	3	3	7	7	100.0	Confident
6	Q9NWY4				39.411033409964226	78.9	14.45	201.05888245790962					Single Protein		Q9NWY4	4	7	7	4	7	4	10	13	100.0	Confident
7	Q8WX93				150.47023628320508	69.41	4.19	53.97155841790494					Single Protein		Q8WX93	4	8	8	4	8	4	12	14	100.0	Confident
8	Q9UKN8				91.92346247902863	89.42	2.31	38.77259824182434					Single Protein		Q9UKN8	1	2	2	1	2	1	3	4	100.0	Doubtful
9	Q9Y696				28.75374442494168	100.0	7.11	41.99087714727221					Single Protein		Q9Y696	1	1	1	1	1	1	1	2	100.0	Doubtful
10	Q96QU8				128.8007201460988	63.47	2.04	13.779107546381153					Single Protein		Q96QU8	1	1	1	1	1	1	1	1	100.0	Doubtful
11	P58304				39.38592316291234	87.53	2.49	0.0					Single Protein		P58304	1	1	1	1	1	1	0	26	98.10426540284361	Doubtful
12	Q86Y56				93.46206404563488	76.02	12.16	113.6638162683123					Single Protein		Q86Y56	8	10	10	8	10	8	17	20	100.0	Confident
13	P61956				10.864363316841555	63.16	27.37	4957.72289518794					Single Protein		P61956	2	2	2	2	2	2	52	52	100.0	Confident
14	P22314				117.77432920492443	78.26	19.28	97.1010365745983					Single Protein		P22314	13	14	14	13	14	13	37	38	100.0	Confident
15	Q96AC1				77.81060980195136	80.0	13.53	147.38940307403757					Single Protein		Q96AC1	9	9	9	9	9	9	29	29	100.0	Confident
16	P00973				45.99934917170766	73.5	3.25	66.19122690504591					Single Protein		P00973	1	2	2	1	2	1	2	3	100.0	Doubtful
17	Q92597				42.807723707616425	57.61	3.55	93.60080985250988					Single Protein		Q92597	1	2	2	1	2	1	2	3	100.0	Doubtful
18	Q96RF0				68.8511707058974	56.53	1.91	48.399507600272756					Single Protein		Q96RF0	1	1	1	1	1	1	2	2	100.0	Doubtful
19	P27361				43.10811476364532	82.32	16.09	96.34230416068999					Single Protein		P27361	5	5	2	2	2	2	9	11	100.0	Confident
20	Q86WB0				55.22606983060394	84.86	2.99	74.81473181873147					Single Protein		Q86WB0	1	1	1	1	1	1	3	3	100.0	Doubtful
21	Q52LJ0				37.16702584577766	90.3	6.97	53.47495932010002					Single Protein		Q52LJ0	2	2	2	2	2	2	2	2	100.0	Confident
22	P51003				82.79101620476592	88.32	10.6	56.480014565088524					Single Protein		P51003	6	6	5	5	6	6	10	10	100.0	Confident
23	P26038				67.77778967478379	94.63	9.53	102.15088382942184					Single Protein		P26038	5	5	2	2	2	2	15	15	100.0	Confident
24	Q9Y547				16.28711805062608	58.33	7.64	188.0299454559269					Single Protein		Q9Y547	1	1	1	1	1	1	2	2	100.0	Doubtful
25	P15311				69.36973778207663	91.64	14.16	409.36245939112047					Single Protein		P15311	8	8	5	5	5	5	38	38	100.0	Confident
26	Q8WVY7				36.78120860379791	78.3	4.4	85.33085878120377					Single Protein		Q8WVY7	1	1	1	1	1	1	2	2	100.0	Doubtful
27	Q9Y613				126.47251982608748	70.45	4.47	35.697889510281826					Single Protein		Q9Y613	3	3	3	3	3	3	5	5	100.0	Confident
28	Q9Y5K6				71.40732601418689	92.8	25.35	137.16603994436056					Single Protein		Q9Y5K6	12	12	12	12	12	12	29	30	100.0	Confident
29	P52272				77.46431371933258	84.66	2.19	343.8087999436851					Single Protein		P52272	1	4	4	1	4	1	24	24	100.0	Doubtful
30	Q92499				82.37975541011615	88.51	25.14	170.79436938899005					Single Protein		Q92499	12	14	14	12	14	12	44	46	100.0	Confident
31	P08107				70.00903707472403	77.69	20.28	160.43284762130023					Single Protein		P08107	9	10	8	7	8	7	30	33	100.0	Confident
32	Q05048				48.326722877502995	73.09	23.2	286.10895166107264					Single Protein		Q05048	6	7	7	6	7	6	16	18	100.0	Confident
33	P31943				49.19840896001632	83.3	2.9	56.8111867286624					Single Protein		P31943	1	1	1	1	1	1	2	2	100.0	Doubtful
34	Q70J99				123.20466364978147	69.36	6.88	29.605757772928442					Single Protein		Q70J99	4	5	5	4	5	4	5	6	100.0	Confident
35	Q06323				28.705014741438443	100.0	4.42	85.33085878120377					Single Protein		Q06323	1	1	1	1	1	1	2	2	100.0	Doubtful
36	Q01518				51.868692610887614	85.68	13.26	235.5405700531623					Single Protein		Q01518	4	4	4	4	4	4	19	19	100.0	Confident
37	Q9NV88				73.76673870999402	52.89	3.19	26.29626712440562					Single Protein		Q9NV88	1	2	2	1	2	1	1	2	100.0	Doubtful
38	Q7Z5L9				60.98665769520671	72.23	2.73	11.066345748187365					Related Proteins	Q9H1B7	Q7Z5L9, Q9H1B7	1	1	0	0	1	1	1	2	100.0	Doubtful
39	Q8WUX9				50.87933966753339	84.77	3.53	25.661091589999682					Single Protein		Q8WUX9	1	1	1	1	1	1	1	1	100.0	Doubtful
