	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q86GC1	Uncharacterized protein (Q86GC1_CAEEL)	CELE_T04B2.7		40.52313000422442	100.0	0.0	NaN					Single Protein		Q86GC1	0	1	1	0	1	0	0	1	11.30643228126248	Doubtful
2	Q9TYS1	Uncharacterized protein (Q9TYS1_CAEEL)	CELE_D1037.1		89.6548989764535	94.91	0.0	NaN					Single Protein		Q9TYS1	0	3	3	0	3	0	0	3	10.746606334841625	Doubtful
3	Q9TYS4	SeMaPhorin related (Q9TYS4_CAEEL)	smp-2	I	71.81613121239266	89.52	0.0	NaN					Single Protein		Q9TYS4	0	1	1	0	1	0	0	1	11.30643228126248	Doubtful
4	F23B12.7.2_4	ref_frame-3|F23B12.7alt_frame-1			12.359327958873614	100.0	0.0	NaN					Single Protein		F23B12.7.2_4	0	2	2	0	2	0	0	2	11.160318866253327	Doubtful
5	Q6BES0	Uncharacterized protein (Q6BES0_CAEEL)	CELE_F16C3.3		45.210565103684324	100.0	0.0	NaN					Single Protein		Q6BES0	0	1	1	0	1	0	0	1	11.30643228126248	Doubtful
6	F45G2.1_1	ref_frame-1|F45G2.1alt_frame-2			9.102602938197187	100.0	0.0	NaN					Single Protein		F45G2.1_1	0	1	1	0	1	0	0	1	11.30643228126248	Doubtful
7	D5SH00	Homolog of Odr-2 (Two) (D5SH00_CAEEL)	hot-2	V	32.684367899106576	86.41	0.0	NaN					Single Protein		D5SH00	0	2	2	0	2	0	0	2	11.30643228126248	Doubtful
8	Q17474	Uncharacterized protein (Q17474_CAEEL)	B0334.3	II	69.10873969082684	82.65	0.0	NaN					Related Proteins	Q17475	Q17474, Q17475	0	1	1	0	1	0	0	1	11.30643228126248	Doubtful
9	F11C7.5_1	ref_frame-2|F11C7.5alt_frame-1			7.281996229558541	100.0	0.0	NaN					Single Protein		F11C7.5_1	0	1	1	0	1	0	0	1	11.30643228126248	Doubtful
10	V6CLJ5	Lin-12 And Glp-1 phenotype (V6CLJ5_CAEEL)	lag-1	IV	87.67686007846969	67.47	0.0	NaN					Single Protein		V6CLJ5	0	1	1	0	1	0	0	1	11.30643228126248	Doubtful
11	Q9TYT4	CUTiclin-Like (Q9TYT4_CAEEL)	cutl-20	I	39.50967994887139	69.72	0.0	NaN					Single Protein		Q9TYT4	0	1	1	0	1	0	0	1	11.30643228126248	Doubtful
12	F36H12.5_2	ref_frame-1|F36H12.5alt_frame-2			7.017990312251984	100.0	0.0	NaN					Single Protein		F36H12.5_2	0	5	5	0	5	0	0	5	10.746606334841625	Doubtful
13	Y58G8A.4b_2	ref_frame-1|Y58G8A.4alt_frame-2			5.382678741156999	100.0	0.0	NaN					Single Protein		Y58G8A.4b_2	0	1	1	0	1	0	0	1	11.30643228126248	Doubtful
