	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9UKV3				151.77079068994243	68.16	4.4	319.1494076149945					Single Protein		Q9UKV3	5	10	10	5	10	5	9	15	100.0	Doubtful
2	P25440				88.006311905524	48.94	1.12	140.7313715968419					Single Protein		P25440	1	1	1	1	1	1	1	1	78.43137254901961	Doubtful
3	Q09666				628.6993855112892	79.75	2.24	7.9186818319213765					Single Protein		Q09666	2	2	2	2	2	2	4	4	100.0	Doubtful
4	Q7Z4V5				74.27222971678142	76.75	3.28	498.88480605397325					Single Protein		Q7Z4V5	2	2	2	2	2	2	5	6	100.0	Doubtful
5	Q07955				27.727814961380233	100.0	16.13	1491.96060950281					Single Protein		Q07955	4	4	4	4	4	4	8	8	100.0	Doubtful
6	Q9UK58				59.59719161427358	73.38	1.9	197.33665661690497					Single Protein		Q9UK58	1	1	1	1	1	1	1	1	78.43137254901961	Doubtful
7	O60885				152.1239473735637	42.8	1.25	343.7477244294474					Related Proteins	Q15059	O60885, Q15059	2	2	2	2	2	2	4	4	78.43137254901961	Doubtful
8	Q01130				25.461183837817952	100.0	3.62	401.81672161813236					Related Proteins	Q9BRL6	Q01130, Q9BRL6	1	1	0	0	1	1	2	2	78.43137254901961	Doubtful
9	Q14152				166.46831430287327	89.22	0.65	131.85077279525945					Single Protein		Q14152	1	1	1	1	1	1	2	2	78.43137254901961	Doubtful
10	Q9UBQ5				25.04344000339325	62.39	5.05	992.1954801967291					Single Protein		Q9UBQ5	1	1	1	1	1	1	2	2	78.43137254901961	Doubtful
11	B5ME19				105.40676263426224	65.32	0.98	230.95317419403705					Related Proteins	Q99613	B5ME19, Q99613	1	1	1	1	1	1	2	2	78.43137254901961	Doubtful
12	P08195				67.95172737646311	51.11	2.06	179.76011230284868					Single Protein		P08195	1	1	1	1	1	1	1	1	78.43137254901961	Doubtful
13	Q14978				73.55963598521475	75.25	7.58	421.35187410691094					Single Protein		Q14978	5	8	8	5	8	5	9	12	100.0	Doubtful
14	Q9Y5B9				119.83841950983168	72.11	10.89	470.5225331603411					Single Protein		Q9Y5B9	9	10	10	9	10	9	16	17	100.0	Doubtful
15	NM_001040653_2	Homo sapiens ZXD family zinc finger C (ZXDC), transcript variant 2, mRNA|ZXDC|frame-2			8.010012454448061	66.2	16.9	1250.7252884170034					Related Proteins	NM_025112_2	NM_001040653_2, NM_025112_2	1	1	1	1	1	1	1	16	78.43137254901961	Doubtful
16	P62241				24.190162647298038	100.0	5.29	853.8605334385312					Single Protein		P62241	1	1	1	1	1	1	2	2	78.43137254901961	Doubtful
17	P29692				31.10278320777167	73.67	20.28	1237.743264367598					Single Protein		P29692	4	4	4	4	4	4	7	8	100.0	Doubtful
18	P07437				49.63897134453148	50.45	6.08	693.7616834188066					Single Protein		P07437	2	4	4	2	4	2	4	7	100.0	Doubtful
19	Q9HCK8				290.33774281358916	56.92	0.31	46.082768800003755					Single Protein		Q9HCK8	1	1	1	1	1	1	1	1	78.43137254901961	Doubtful
20	Q8IUG5				285.00828978744477	74.02	0.66	71.87494575281849					Single Protein		Q8IUG5	1	1	1	1	1	1	2	2	78.43137254901961	Doubtful
21	Q16629				27.350025408227616	100.0	5.04	373.1155272168371					Single Protein		Q16629	1	1	1	1	1	1	1	1	78.43137254901961	Doubtful
22	O43719				85.80056134063028	74.04	1.72	128.69781953276413					Single Protein		O43719	1	2	2	1	2	1	1	2	78.43137254901961	Doubtful
23	P19338				76.568358644663	73.1	1.41	150.25633752556217					Single Protein		P19338	1	1	1	1	1	1	1	1	78.43137254901961	Doubtful
24	Q9H307				81.56496230550445	81.03	2.37	271.56420635353896					Single Protein		Q9H307	1	4	4	1	4	1	3	5	86.74698795180723	Doubtful
