	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q8WXA9				59.34501049295324	88.39	20.67	156.27436054674752					Single Protein		Q8WXA9	6	6	6	6	6	6	10	11	100.0	Confident
2	Q9UKV3				151.77079068994243	77.11	28.04	100.43516741641452					Single Protein		Q9UKV3	33	36	36	33	36	33	69	76	100.0	Confident
3	P68104				50.10910826932214	60.61	19.7	233.1696918486619					Related Proteins	Q5VTE0	P68104, Q5VTE0	7	7	7	7	7	7	17	18	100.0	Confident
4	Q9BU76				29.39394032622967	100.0	5.32	59.954020494287704					Single Protein		Q9BU76	1	2	2	1	2	1	1	2	100.0	Doubtful
5	P11940				70.62586938277288	70.6	2.52	14.179772832731716					Related Proteins	NM_016120_17, NM_183353_17, Q9H361	NM_016120_17, NM_183353_17, P11940, Q9H361	1	1	0	0	1	1	1	1	100.0	Doubtful
6	Q9UKJ3				164.09809164253775	71.3	3.2	32.73290383451474					Single Protein		Q9UKJ3	3	6	6	3	6	3	4	8	100.0	Confident
7	P17844				69.10473382539206	71.5	13.19	131.06584930321307					Single Protein		P17844	9	14	6	4	6	4	15	22	100.0	Confident
8	P21127				92.65030386123267	82.01	2.77	57.97024775734437					Related Proteins	Q9UQ88	P21127, Q9UQ88	2	5	5	2	5	2	3	6	97.3913043478261	Doubtful
9	P61964				36.56545229372351	75.75	15.87	161.2984538397965					Single Protein		P61964	4	5	5	4	5	4	6	8	100.0	Confident
10	P61978				50.94440274865072	77.11	4.54	82.55448895286736					Single Protein		P61978	2	2	2	2	2	2	3	4	100.0	Confident
11	Q9BV38				47.37500670859233	57.18	4.86	86.95537163601655					Single Protein		Q9BV38	2	2	2	2	2	2	2	3	97.3913043478261	Doubtful
12	Q92572				21.718129666205453	66.84	23.32	478.7413742441152					Single Protein		Q92572	4	7	7	4	7	4	8	11	100.0	Confident
13	Q7Z4V5				74.27222971678142	88.97	10.73	129.13943872492933					Single Protein		Q7Z4V5	6	10	9	5	10	6	14	19	100.0	Confident
14	O95983				32.82332978686719	76.98	5.15	125.14212214283863					Single Protein		O95983	1	1	1	1	1	1	2	2	100.0	Doubtful
15	Q07955				27.727814961380233	100.0	13.71	233.12766302415906					Single Protein		Q07955	3	5	5	3	5	3	6	10	100.0	Confident
