	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q8WXA9				59.34501049295324	84.06	7.68	80.91285698037936					Single Protein		Q8WXA9	3	3	3	3	3	3	4	4	100.0	Doubtful
2	Q9UKV3				151.77079068994243	73.75	0.89	27.601042950951822					Single Protein		Q9UKV3	1	3	3	1	3	1	3	4	100.0	Doubtful
3	Q92522				22.47353260066597	100.0	7.04	157.44256894557026					Single Protein		Q92522	1	1	1	1	1	1	2	2	100.0	Doubtful
4	P68104				50.10910826932214	55.63	25.76	326.0715297442586					Related Proteins	Q5VTE0	P68104, Q5VTE0	9	11	11	9	11	9	22	25	100.0	Confident
5	Q9BTT0				30.67384802276165	45.15	23.13	560.4999929764264					Single Protein		Q9BTT0	5	5	5	5	5	5	15	15	100.0	Confident
6	P17844				69.10473382539206	71.5	3.26	42.58446626718281					Single Protein		P17844	2	2	1	1	1	1	2	2	100.0	Confident
7	P22314				117.77432920492443	58.6	2.84	27.487923922464315					Single Protein		P22314	2	4	4	2	4	2	2	4	100.0	Confident
8	P61978				50.94440274865072	72.14	6.26	65.84149316506505					Single Protein		P61978	2	2	2	2	2	2	2	2	100.0	Confident
9	Q5JTH9				143.61109332804048	66.77	9.79	82.0200138550486					Single Protein		Q5JTH9	10	15	15	10	15	10	20	27	100.0	Confident
10	Q7Z4V5				74.27222971678142	85.69	12.52	153.88166883466346					Single Protein		Q7Z4V5	8	11	10	7	11	8	18	21	100.0	Confident
11	O95983				32.82332978686719	76.98	8.59	199.61468562741942					Single Protein		O95983	2	4	4	2	4	2	4	7	100.0	Confident
12	Q07955				27.727814961380233	100.0	5.65	135.2228515540583					Single Protein		Q07955	1	1	1	1	1	1	2	2	100.0	Doubtful
13	Q8TAQ2				132.7967512662691	56.75	0.66	21.46944121985049					Related Proteins	Q92922	Q8TAQ2, Q92922	1	2	0	0	2	1	2	4	100.0	Doubtful
14	P27348				27.746766754682028	79.59	27.35	299.69266345089943					Single Protein		P27348	6	7	3	3	4	4	13	14	100.0	Confident
15	Q13601				43.63766285688655	80.84	3.15	88.01907397744479					Single Protein		Q13601	1	2	2	1	2	1	2	4	100.0	Doubtful
16	Q1KMD3				85.0521685930999	69.88	1.07	54.264186384152865					Single Protein		Q1KMD3	1	1	1	1	1	1	2	2	100.0	Doubtful
17	P52272				77.46431371933258	78.36	15.89	133.58249215638577					Single Protein		P52272	9	11	11	9	11	9	15	17	100.0	Confident
18	Q14974				97.1080146943779	54.11	18.26	175.53490268306044					Single Protein		Q14974	13	15	15	13	15	13	27	30	100.0	Confident
19	Q14978				73.55963598521475	86.41	1.57	47.976061781697375					Single Protein		Q14978	1	4	4	1	4	1	3	6	100.0	Doubtful
20	P52292				57.82594715606122	53.31	2.84	43.89432877671003					Single Protein		P52292	1	2	2	1	2	1	2	2	100.0	Doubtful
21	Q14980				238.11522374594037	87.75	6.81	37.39552746141208					Single Protein		Q14980	11	14	14	11	14	11	17	21	100.0	Confident
22	O75643				244.35261769115783	76.03	3.14	34.73274769159363					Single Protein		O75643	5	7	7	5	7	5	9	10	100.0	Confident
23	O94776				74.97573718107209	83.08	5.99	71.59733352256202					Single Protein		O94776	4	5	5	4	5	4	5	7	100.0	Confident
24	Q9UJX2				68.78999026641262	75.38	9.21	132.98123242871378					Single Protein		Q9UJX2	5	6	6	5	6	5	10	12	100.0	Confident
25	Q9UJX6				93.76884007973463	65.82	6.2	109.10724326166354					Single Protein		Q9UJX6	5	6	6	5	6	5	10	11	100.0	Confident
26	Q9UJX5				92.05770792388299	63.24	7.05	98.96716489162044					Single Protein		Q9UJX5	5	5	5	5	5	5	9	10	100.0	Confident
27	Q9UJX4				85.02277022825565	74.04	10.86	86.44874899760217					Single Protein		Q9UJX4	6	6	6	6	6	6	9	9	100.0	Confident
28	Q9UJX3				66.81284269657043	67.11	25.04	198.97770282704897					Single Protein		Q9UJX3	13	13	13	13	13	13	25	25	100.0	Confident
29	Q9Y5B9				119.83841950983168	77.84	23.4	196.64450254414504					Single Protein		Q9Y5B9	23	29	29	23	29	23	49	57	100.0	Confident
30	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.33	69.86513996959681					Related Proteins	P14678, P63162, Q92611	NM_005678_1, P14678, P63162, Q92611	1	1	0	0	1	1	2	2	100.0	Doubtful
31	O75607				19.33140122125653	66.85	17.42	354.24578012753307					Single Protein		O75607	2	2	2	2	2	2	4	5	100.0	Confident
32	P08107				70.00903707472403	63.18	13.57	94.34867985038075					Single Protein		P08107	7	8	6	5	6	5	12	13	100.0	Confident
33	P67936				28.504491022601155	100.0	16.53	251.85256101943364					Single Protein		P67936	7	8	3	2	3	2	12	12	100.0	Confident
34	P04350				49.5539008224435	54.5	49.32	274.2325732624462					Single Protein		P04350	16	17	1	1	1	1	54	57	100.0	Confident
35	P29692				31.10278320777167	73.67	24.91	272.49890892056266					Single Protein		P29692	5	5	5	5	5	5	10	12	100.0	Confident
36	Q07666				48.19718285574685	61.17	5.42	139.73027993919362					Single Protein		Q07666	2	2	2	2	2	2	3	4	100.0	Doubtful
37	Q9BS18				8.516101684246403	62.16	13.51	453.1792862892766					Single Protein		Q9BS18	1	1	1	1	1	1	2	2	100.0	Doubtful
38	P11142				70.8542234932565	66.56	10.53	67.03054579138761					Related Proteins	P54652	P11142, P54652	6	7	0	0	0	0	12	13	100.0	Confident
39	Q99733				42.79689085890892	60.8	34.67	380.3333184361306					Single Protein		Q99733	11	11	10	10	10	10	31	32	100.0	Confident
