	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9UL59				70.94595136118284	85.15	0.0	0.0					Single Protein		Q9UL59	0	1	1	0	1	0	0	1	0.0	Doubtful
2	Q9UKT9				57.98577931559534	85.85	0.0	0.0					Single Protein		Q9UKT9	0	1	1	0	1	0	0	1	0.0	Doubtful
3	NM_032301_2	Homo sapiens F-box and WD repeat domain containing 9 (FBXW9), mRNA|FBXW9|frame-2			10.493017889443882	100.0	0.0	0.0					Single Protein		NM_032301_2	0	1	1	0	1	0	0	1	0.0	Doubtful
4	NM_012104_2	Homo sapiens beta-site APP-cleaving enzyme 1 (BACE1), transcript variant a, mRNA|BACE1|frame-1			4.592422907845661	100.0	0.0	0.0					Related Proteins	NM_138971_1, NM_138972_2, NM_138973_1	NM_012104_2, NM_138971_1, NM_138972_2, NM_138973_1	0	1	1	0	1	0	0	1	0.0	Doubtful
5	NM_005188_1	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence (CBL), mRNA|CBL|frame-2			14.877910529472706	66.42	0.0	0.0					Single Protein		NM_005188_1	0	1	1	0	1	0	0	1	0.0	Doubtful
6	NM_001042632_2	Homo sapiens sorting nexin family member 21 (SNX21), transcript variant 3, mRNA|SNX21|frame-2			20.59898450772477	75.0	0.0	0.0					Related Proteins	NM_001042633_2, Q969T3	NM_001042632_2, NM_001042633_2, Q969T3	0	1	1	0	1	0	0	1	0.0	Doubtful
7	NM_018052_1	Homo sapiens Vac14 homolog (S. cerevisiae) (VAC14), mRNA|VAC14|frame-2			6.335976991040972	100.0	0.0	0.0					Single Protein		NM_018052_1	0	2	2	0	2	0	0	2	0.0	Doubtful
8	NM_001012320_4	Homo sapiens zinc finger protein 302 (ZNF302), transcript variant 2, mRNA|ZNF302|frame-1			15.412651026140775	80.0	0.0	0.0					Related Proteins	NM_018443_4	NM_001012320_4, NM_018443_4	0	1	1	0	1	0	0	1	0.0	Doubtful
9	A6NDB9				71.65224201192197	69.99	0.0	0.0					Single Protein		A6NDB9	0	2	2	0	2	0	0	2	0.0	Doubtful
10	NM_018448_1	Homo sapiens cullin-associated and neddylation-dissociated 1 (CAND1), mRNA|CAND1|frame-1			5.588149109918073	100.0	0.0	0.0					Single Protein		NM_018448_1	0	1	1	0	1	0	0	1	0.0	Doubtful
11	Q86XE0				46.36987176934028	77.92	0.0	0.0					Single Protein		Q86XE0	0	1	1	0	1	0	0	2	0.0	Doubtful
12	NM_006401_1	Homo sapiens acidic (leucine-rich) nuclear phosphoprotein 32 family, member B (ANP32B), mRNA|ANP32B|frame-3			8.850595638798028	100.0	0.0	0.0					Single Protein		NM_006401_1	0	1	1	0	1	0	0	1	0.0	Doubtful
13	Q8N461				51.62449626500407	62.21	0.0	0.0					Single Protein		Q8N461	0	1	1	0	1	0	0	1	0.0	Doubtful
14	Q8N3U4				141.23542813358532	74.57	0.0	0.0					Single Protein		Q8N3U4	0	1	1	0	1	0	0	1	0.0	Doubtful
15	NM_004376_2	Homo sapiens COX15 homolog, cytochrome c oxidase assembly protein (yeast) (COX15), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA|COX15|frame-2			13.342848330630767	66.67	0.0	0.0					Related Proteins	NM_078470_2	NM_004376_2, NM_078470_2	0	1	1	0	1	0	0	2	0.0	Doubtful
16	NM_001017388_1	Homo sapiens toll-like receptor 10 (TLR10), transcript variant 2, mRNA|TLR10|frame-3			6.317223669502422	100.0	0.0	0.0					Related Proteins	NM_030956_1	NM_001017388_1, NM_030956_1	0	1	1	0	1	0	0	1	0.0	Doubtful
17	Q2TAC6				111.26410254745433	82.16	0.0	0.0					Single Protein		Q2TAC6	0	2	2	0	2	0	0	2	0.0	Doubtful
18	Q9H4L7				117.32797618478314	70.57	0.0	0.0					Single Protein		Q9H4L7	0	1	1	0	1	0	0	1	0.0	Doubtful
19	NM_001855_4	Homo sapiens collagen, type XV, alpha 1 (COL15A1), mRNA|COL15A1|frame-1			5.995999617253053	100.0	0.0	0.0					Single Protein		NM_001855_4	0	1	1	0	1	0	0	1	0.0	Doubtful
20	P48165				48.198592434144715	62.82	0.0	0.0					Single Protein		P48165	0	1	1	0	1	0	0	1	0.0	Doubtful
21	Q7Z4N2				182.0622402206764	76.92	0.0	0.0					Single Protein		Q7Z4N2	0	1	1	0	1	0	0	1	0.0	Doubtful
22	Q5SXJ2				77.54170023463799	72.69	0.0	0.0					Related Proteins	Q8N660	Q5SXJ2, Q8N660	0	1	1	0	1	0	0	3	0.0	Doubtful
23	P0CJ78				111.00608640524653	48.25	0.0	0.0					Single Protein		P0CJ78	0	1	1	0	1	0	0	1	0.0	Doubtful
24	NM_001145446_1	Homo sapiens zinc finger protein 200 (ZNF200), transcript variant 4, mRNA|ZNF200|frame-3			7.6392360615245956	100.0	0.0	0.0					Related Proteins	NM_001145447_2, NM_001145448_1, NM_003454_2, NM_198087_1, NM_198088_1	NM_001145446_1, NM_001145447_2, NM_001145448_1, NM_003454_2, NM_198087_1, NM_198088_1	0	1	1	0	1	0	0	1	0.0	Doubtful
