	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9UKT9				57.98577931559534	81.53	0.0	0.0					Single Protein		Q9UKT9	0	1	1	0	1	0	0	1	0.0	Doubtful
2	NM_005188_2	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence (CBL), mRNA|CBL|frame-1			7.514778787885674	100.0	0.0	0.0					Single Protein		NM_005188_2	0	2	2	0	2	0	0	3	0.0	Doubtful
3	NM_001142936_5	Homo sapiens diacylglycerol lipase, beta (DAGLB), transcript variant 2, mRNA|DAGLB|frame-2			7.263756484914083	100.0	0.0	0.0					Related Proteins	NM_139179_6	NM_001142936_5, NM_139179_6	0	1	1	0	1	0	0	1	0.0	Doubtful
4	A6NDB9				71.65224201192197	59.73	0.0	0.0					Single Protein		A6NDB9	0	2	2	0	2	0	0	2	0.0	Doubtful
5	NM_020697_1	Homo sapiens potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2 (KCNS2), mRNA|KCNS2|frame-2			13.183027755921195	100.0	0.0	0.0					Single Protein		NM_020697_1	0	1	1	0	1	0	0	1	0.0	Doubtful
6	Q86XE3				60.673135583568005	67.92	0.0	0.0					Single Protein		Q86XE3	0	1	1	0	1	0	0	1	0.0	Doubtful
7	NM_002030_1	Homo sapiens formyl peptide receptor 3 (FPR3), mRNA|FPR3|frame-2			5.106632425504242	100.0	0.0	0.0					Single Protein		NM_002030_1	0	1	1	0	1	0	0	1	0.0	Doubtful
8	NM_004693_2	Homo sapiens keratin 75 (KRT75), mRNA|KRT75|frame-3			9.053387331943293	70.37	0.0	0.0					Single Protein		NM_004693_2	0	1	1	0	1	0	0	1	0.0	Doubtful
9	O14544				59.49063106909095	62.24	0.0	0.0					Single Protein		O14544	0	1	1	0	1	0	0	1	0.0	Doubtful
10	NM_016091_3	Homo sapiens eukaryotic translation initiation factor 3, subunit L (EIF3L), mRNA|EIF3L|frame-2			6.729120478344501	100.0	0.0	0.0					Single Protein		NM_016091_3	0	1	1	0	1	0	0	1	0.0	Doubtful
