	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation	Fraction
60	NM_203488_1	Homo sapiens acylphosphatase 1, erythrocyte (common) type (ACYP1), transcript variant 2, mRNA|ACYP1|frame-3			8.317343347999016	100.0	31.51	155.70889027536157					Related Proteins	P07311	NM_203488_1, P07311	2	3	0	0	3	2	4	4	100.0	Confident	WAN100329_OT2_HS3NE_HCW_P1E05_0
143	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	146.33067392278838					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	2	2	2	2	2	2	2	2	100.0	Confident	WAN100425_OT2_HS3NE_HCW_P1H06_0
218	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	187.7220049086949					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	2	2	2	2	2	2	4	4	100.0	Confident	WAN100425_OT2_HS3NE_HCW_P1G08_0
219	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	8.33	166.02389129273874					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	3	3	2	2	3	3	5	5	100.0	Confident	WAN100425_OT2_HS3NE_HCW_P1G10_0
300	NM_020810_8	Homo sapiens TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae) (TRMT5), mRNA|TRMT5|frame-1			7.878419505034465	100.0	20.55	767.9875297491375					Related Proteins	P05204	NM_020810_8, P05204	2	2	0	0	1	1	8	10	100.0	Confident	WAN100329_OT2_HS3NE_HCW_P1F08_0
240	NM_020810_8	Homo sapiens TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae) (TRMT5), mRNA|TRMT5|frame-1			7.878419505034465	100.0	20.55	350.52499446003327					Related Proteins	P05204	NM_020810_8, P05204	2	2	0	0	1	1	9	10	100.0	Confident	WAN100329_OT2_HS3NE_HCW_P1F05_0
116	NM_080738_1	Homo sapiens EDAR-associated death domain (EDARADD), transcript variant B, mRNA|EDARADD|frame-1			42.31468840831927	92.01	5.93	114.04068361145164					Related Proteins	NM_145861_1	NM_080738_1, NM_145861_1	2	3	2	1	2	1	2	3	100.0	Confident	WAN100329_OT2_HS3NE_HCW_P1C04_0
73	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	362.57455445947676					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	2	2	0	0	2	2	4	4	100.0	Confident	WAN100329_OT2_HS3NE_HCW_P2A09_0
106	NM_080738_1	Homo sapiens EDAR-associated death domain (EDARADD), transcript variant B, mRNA|EDARADD|frame-1			42.31468840831927	92.01	6.7	1846.547581955029					Related Proteins	NM_145861_1	NM_080738_1, NM_145861_1	3	4	1	1	1	1	50	58	100.0	Confident	WAN100329_OT2_HS3NE_HCW_P1B02_0
273	NM_020810_8	Homo sapiens TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae) (TRMT5), mRNA|TRMT5|frame-1			7.878419505034465	100.0	20.55	338.74533367337006					Related Proteins	P05204	NM_020810_8, P05204	2	2	1	1	1	1	4	4	100.0	Confident	WAN100329_OT2_HS3NE_HCW_P1F04_0
